# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,CELRUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2020-10-08T13:00:00+00:00Z
# t0_final_iso,2020-10-08T13:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,f796f0cc28f16685
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T13:00:00+00:00Z,2020-10-08T13:59:59.999000+00:00Z,0.00421,0.00426,0.0041,0.00414,10685988.1,44546.533604,288,1323378.9,5554.771134
2020-10-08T14:00:00+00:00Z,2020-10-08T14:59:59.999000+00:00Z,0.00415,0.00425,0.00414,0.00425,7209367.8,30371.986832,123,5327422.2,22476.988247
2020-10-08T15:00:00+00:00Z,2020-10-08T15:59:59.999000+00:00Z,0.00423,0.0043,0.0042,0.0043,10467263.7,44541.384409,173,4902312.6,20902.370655
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,0.0043,0.00455,0.00425,0.00434,7336827.9,31819.889739,152,5977995.5,25953.169552
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,0.00434,0.00437,0.00429,0.0043,3175772.7,13721.348812,107,753487.7,3271.980522
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,0.00431,0.00434,0.00426,0.00432,1907778.5,8204.791615,51,1115464.4,4823.090497
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,0.00432,0.00437,0.0043,0.00435,1845667.9,7993.274011,70,748083.9,3252.904146
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,0.00435,0.00436,0.0043,0.00434,1736927.9,7539.537897,68,843174.2,3672.638708
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,0.00434,0.00435,0.0043,0.00431,270154.7,1168.171497,24,48616.6,211.232695
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,0.00432,0.00441,0.00431,0.00437,2629749.5,11464.795065,72,687417.3,3003.752311
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,0.00437,0.00437,0.00431,0.00432,64859.1,281.093006,17,22814.2,99.088603
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,0.00431,0.00435,0.00428,0.00432,902940.5,3894.41264,45,316521.2,1368.266092
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,0.00433,0.00435,0.00428,0.00431,1383648.2,5952.671684,40,243514.0,1048.453086
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,0.0043,0.00437,0.0043,0.00433,1304849.2,5665.77432,54,1148426.3,4988.242388
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,0.00433,0.00435,0.00433,0.00434,515055.8,2239.400913,35,430227.6,1871.282964
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,0.00435,0.00436,0.00427,0.00432,3023863.0,13123.52864,65,1158830.4,5036.968979
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,0.00432,0.00436,0.0043,0.0043,216654.5,939.294045,18,92092.1,401.386957
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,0.00431,0.00432,0.00425,0.00426,4530890.2,19333.52656,60,1983374.8,8495.018885
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,0.00429,0.00435,0.00428,0.00433,1544381.4,6652.799934,32,740779.6,3197.204437
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,0.00434,0.00441,0.00431,0.00435,2879078.8,12540.866209,91,1524049.7,6648.553131
2020-10-09T09:00:00+00:00Z,2020-10-09T09:59:59.999000+00:00Z,0.00434,0.00434,0.00427,0.00429,1256214.9,5382.024192,65,372002.6,1597.173766
2020-10-09T10:00:00+00:00Z,2020-10-09T10:59:59.999000+00:00Z,0.00429,0.00445,0.00429,0.00443,7774757.4,34042.347812,139,3740048.6,16391.187047
2020-10-09T11:00:00+00:00Z,2020-10-09T11:59:59.999000+00:00Z,0.00443,0.00457,0.00443,0.00443,12099695.5,54540.703779,168,3940802.2,17795.775984
2020-10-09T12:00:00+00:00Z,2020-10-09T12:59:59.999000+00:00Z,0.00443,0.00458,0.00443,0.0045,3914962.1,17672.938542,73,2846666.0,12876.075834
2020-10-09T13:00:00+00:00Z,2020-10-09T13:59:59.999000+00:00Z,0.00451,0.00454,0.00447,0.00451,1002151.5,4525.068046,39,592320.1,2681.769126
2020-10-09T14:00:00+00:00Z,2020-10-09T14:59:59.999000+00:00Z,0.00451,0.0046,0.00451,0.00453,4062428.3,18551.062042,104,2908171.9,13298.746977
2020-10-09T15:00:00+00:00Z,2020-10-09T15:59:59.999000+00:00Z,0.00453,0.00457,0.00448,0.00451,2379858.3,10722.974096,65,724049.8,3288.327058
2020-10-09T16:00:00+00:00Z,2020-10-09T16:59:59.999000+00:00Z,0.00451,0.00457,0.00447,0.00448,2852058.5,12863.838095,70,969353.2,4414.041409
2020-10-09T17:00:00+00:00Z,2020-10-09T17:59:59.999000+00:00Z,0.00446,0.00452,0.00446,0.0045,1479648.8,6622.091128,45,376989.8,1698.588813
2020-10-09T18:00:00+00:00Z,2020-10-09T18:59:59.999000+00:00Z,0.00449,0.0045,0.00439,0.00441,5374211.4,23786.812677,79,2358235.6,10417.185301
2020-10-09T19:00:00+00:00Z,2020-10-09T19:59:59.999000+00:00Z,0.00443,0.00445,0.0044,0.00443,2073103.4,9148.819282,61,890858.7,3936.378982
2020-10-09T20:00:00+00:00Z,2020-10-09T20:59:59.999000+00:00Z,0.00443,0.00444,0.00441,0.00443,409166.3,1805.560715,17,21519.4,95.348148
2020-10-09T21:00:00+00:00Z,2020-10-09T21:59:59.999000+00:00Z,0.00443,0.00445,0.00442,0.00445,2913624.3,12961.130167,39,2628891.9,11697.51699
2020-10-09T22:00:00+00:00Z,2020-10-09T22:59:59.999000+00:00Z,0.00445,0.00445,0.00442,0.00445,475473.3,2114.863746,15,417489.1,1857.646687
2020-10-09T23:00:00+00:00Z,2020-10-09T23:59:59.999000+00:00Z,0.00446,0.00458,0.00446,0.00451,2513143.9,11381.134116,66,2212421.3,10028.795931
2020-10-10T00:00:00+00:00Z,2020-10-10T00:59:59.999000+00:00Z,0.00453,0.00456,0.00451,0.00454,948381.2,4311.468927,74,863758.0,3927.44427
2020-10-10T01:00:00+00:00Z,2020-10-10T01:59:59.999000+00:00Z,0.00453,0.00455,0.00445,0.00454,1978647.0,8899.236974,45,756885.9,3405.433654
2020-10-10T02:00:00+00:00Z,2020-10-10T02:59:59.999000+00:00Z,0.00454,0.0046,0.00454,0.00458,3388883.3,15490.322496,86,2506474.0,11461.769586
2020-10-10T03:00:00+00:00Z,2020-10-10T03:59:59.999000+00:00Z,0.00458,0.00468,0.00455,0.00468,4185358.6,19287.903678,152,2414765.8,11101.804157
2020-10-10T04:00:00+00:00Z,2020-10-10T04:59:59.999000+00:00Z,0.00468,0.00468,0.0046,0.0046,871965.7,4040.73338,50,214572.0,995.88867
2020-10-10T05:00:00+00:00Z,2020-10-10T05:59:59.999000+00:00Z,0.0046,0.00463,0.00456,0.00457,2303326.7,10586.476155,67,1039873.0,4794.199665
2020-10-10T06:00:00+00:00Z,2020-10-10T06:59:59.999000+00:00Z,0.00458,0.00464,0.00457,0.0046,1325931.1,6116.424278,51,1009062.9,4660.966334
2020-10-10T07:00:00+00:00Z,2020-10-10T07:59:59.999000+00:00Z,0.0046,0.00463,0.00458,0.0046,381313.8,1756.276002,25,159735.3,734.427991
2020-10-10T08:00:00+00:00Z,2020-10-10T08:59:59.999000+00:00Z,0.00458,0.00464,0.00457,0.00461,1662110.6,7665.710676,34,995765.3,4602.34712
2020-10-10T09:00:00+00:00Z,2020-10-10T09:59:59.999000+00:00Z,0.00464,0.00464,0.00459,0.0046,1101301.5,5090.430383,33,586145.2,2714.463187
2020-10-10T10:00:00+00:00Z,2020-10-10T10:59:59.999000+00:00Z,0.0046,0.0046,0.00446,0.00453,6843194.6,30843.954619,164,1851787.9,8337.406593
2020-10-10T11:00:00+00:00Z,2020-10-10T11:59:59.999000+00:00Z,0.00453,0.00453,0.00443,0.00446,3262692.9,14602.52288,75,1320062.1,5958.448444
2020-10-10T12:00:00+00:00Z,2020-10-10T12:59:59.999000+00:00Z,0.00446,0.00446,0.00441,0.00443,941304.9,4176.428348,62,242204.0,1078.43012
2020-10-10T13:00:00+00:00Z,2020-10-10T13:59:59.999000+00:00Z,0.00445,0.00457,0.00445,0.00456,5766191.2,26081.922927,138,2530724.6,11406.577435
2020-10-10T14:00:00+00:00Z,2020-10-10T14:59:59.999000+00:00Z,0.00455,0.00457,0.00454,0.00456,816413.3,3714.719784,32,184489.2,841.314516
2020-10-10T15:00:00+00:00Z,2020-10-10T15:59:59.999000+00:00Z,0.00456,0.00457,0.00451,0.00457,1782033.6,8080.757056,59,316217.0,1440.57192
2020-10-10T16:00:00+00:00Z,2020-10-10T16:59:59.999000+00:00Z,0.00457,0.00457,0.00448,0.00449,951284.8,4270.391774,27,92206.9,414.937239
2020-10-10T17:00:00+00:00Z,2020-10-10T17:59:59.999000+00:00Z,0.00449,0.00452,0.00446,0.00449,721045.1,3243.317054,15,549939.8,2475.974877
2020-10-10T18:00:00+00:00Z,2020-10-10T18:59:59.999000+00:00Z,0.0045,0.00453,0.00447,0.00451,518880.6,2340.249033,52,498790.0,2249.785789
2020-10-10T19:00:00+00:00Z,2020-10-10T19:59:59.999000+00:00Z,0.00451,0.00455,0.0045,0.00455,188652.4,855.841946,23,143697.7,652.605015
2020-10-10T20:00:00+00:00Z,2020-10-10T20:59:59.999000+00:00Z,0.00455,0.00456,0.00449,0.00449,850919.3,3845.067801,44,85140.4,387.351969
2020-10-10T21:00:00+00:00Z,2020-10-10T21:59:59.999000+00:00Z,0.00452,0.00455,0.00449,0.00452,455250.0,2061.913306,24,85043.2,384.990395
2020-10-10T22:00:00+00:00Z,2020-10-10T22:59:59.999000+00:00Z,0.0045,0.0045,0.00442,0.00444,5662755.8,25080.765113,42,303675.2,1354.196653
2020-10-10T23:00:00+00:00Z,2020-10-10T23:59:59.999000+00:00Z,0.00444,0.00444,0.00435,0.00438,1621115.0,7122.575686,77,537793.5,2364.67416
2020-10-11T00:00:00+00:00Z,2020-10-11T00:59:59.999000+00:00Z,0.00436,0.00439,0.00436,0.00437,562439.9,2464.654963,23,277746.8,1216.4276
2020-10-11T01:00:00+00:00Z,2020-10-11T01:59:59.999000+00:00Z,0.00436,0.00439,0.00434,0.00439,657499.1,2872.420474,14,290062.1,1273.276543
2020-10-11T02:00:00+00:00Z,2020-10-11T02:59:59.999000+00:00Z,0.00439,0.00441,0.00437,0.00437,217455.4,952.588032,11,50570.6,223.016346
2020-10-11T03:00:00+00:00Z,2020-10-11T03:59:59.999000+00:00Z,0.0044,0.0044,0.00434,0.00436,546036.7,2374.333678,17,12506.0,54.52616
2020-10-11T04:00:00+00:00Z,2020-10-11T04:59:59.999000+00:00Z,0.00436,0.00438,0.00434,0.00435,181689.3,790.630433,19,72157.6,314.58642
2020-10-11T05:00:00+00:00Z,2020-10-11T05:59:59.999000+00:00Z,0.00438,0.00438,0.00434,0.00434,85492.1,372.883546,24,21094.3,91.939483
2020-10-11T06:00:00+00:00Z,2020-10-11T06:59:59.999000+00:00Z,0.00437,0.0044,0.00435,0.00435,396260.1,1733.090231,27,226796.7,994.631236
2020-10-11T07:00:00+00:00Z,2020-10-11T07:59:59.999000+00:00Z,0.00435,0.0044,0.00435,0.0044,291233.4,1279.986196,16,251077.1,1104.578114
2020-10-11T08:00:00+00:00Z,2020-10-11T08:59:59.999000+00:00Z,0.0044,0.0044,0.00436,0.0044,634280.7,2780.286588,13,354194.8,1558.45712
2020-10-11T09:00:00+00:00Z,2020-10-11T09:59:59.999000+00:00Z,0.0044,0.00441,0.00435,0.00437,1521129.6,6639.904779,24,92698.2,407.995955
2020-10-11T10:00:00+00:00Z,2020-10-11T10:59:59.999000+00:00Z,0.00437,0.00448,0.00435,0.00448,6544239.2,28840.807304,88,4318811.2,19111.387938
2020-10-11T11:00:00+00:00Z,2020-10-11T11:59:59.999000+00:00Z,0.00448,0.00455,0.00447,0.0045,4128370.5,18664.880034,152,2021200.8,9133.9407
2020-10-11T12:00:00+00:00Z,2020-10-11T12:59:59.999000+00:00Z,0.00449,0.0045,0.00439,0.00442,3362608.9,14863.178321,88,2058745.0,9075.603174
