# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,SPKUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-06-17T09:00:00+00:00Z
# t0_final_iso,2025-06-17T09:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,74cf6c796b460c49
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-06-17T09:00:00+00:00Z,2025-06-17T09:59:59.999000+00:00Z,0.01,0.069,0.01,0.055316,656129068.0,39621382.431809,148555,327260815.0,19760126.410439
2025-06-17T10:00:00+00:00Z,2025-06-17T10:59:59.999000+00:00Z,0.055314,0.06388,0.054811,0.058055,322761183.0,19126170.392833,86021,163917410.0,9720165.549492
2025-06-17T11:00:00+00:00Z,2025-06-17T11:59:59.999000+00:00Z,0.058055,0.063111,0.056304,0.062235,183200428.0,10786910.117235,54877,102317684.0,6030179.502903
2025-06-17T12:00:00+00:00Z,2025-06-17T12:59:59.999000+00:00Z,0.062207,0.06359,0.0571,0.058696,135433164.0,8074912.443492,38090,70308512.0,4189561.52587
2025-06-17T13:00:00+00:00Z,2025-06-17T13:59:59.999000+00:00Z,0.058676,0.058823,0.055518,0.05706,69909126.0,3974461.526607,24879,34508371.0,1961820.670528
2025-06-17T14:00:00+00:00Z,2025-06-17T14:59:59.999000+00:00Z,0.057076,0.058344,0.053266,0.053602,75021395.0,4213150.554722,24868,38832767.0,2176509.138876
2025-06-17T15:00:00+00:00Z,2025-06-17T15:59:59.999000+00:00Z,0.053628,0.055735,0.053095,0.054034,63474834.0,3440527.748622,20074,33232113.0,1801145.440663
2025-06-17T16:00:00+00:00Z,2025-06-17T16:59:59.999000+00:00Z,0.054039,0.05483,0.048948,0.050258,117816675.0,6041301.11107,30879,55507015.0,2846651.924644
2025-06-17T17:00:00+00:00Z,2025-06-17T17:59:59.999000+00:00Z,0.050276,0.056788,0.049986,0.056736,129249584.0,6900741.648785,29089,66696681.0,3558438.361666
2025-06-17T18:00:00+00:00Z,2025-06-17T18:59:59.999000+00:00Z,0.056737,0.057777,0.054819,0.056499,108834494.0,6130410.165396,27792,57697963.0,3251468.584454
2025-06-17T19:00:00+00:00Z,2025-06-17T19:59:59.999000+00:00Z,0.056499,0.0585,0.056388,0.056756,68467132.0,3940045.645106,18559,35958812.0,2069497.441577
2025-06-17T20:00:00+00:00Z,2025-06-17T20:59:59.999000+00:00Z,0.056763,0.056797,0.0535,0.054421,79279049.0,4349428.81743,27733,42697423.0,2340941.013194
2025-06-17T21:00:00+00:00Z,2025-06-17T21:59:59.999000+00:00Z,0.054322,0.060288,0.05387,0.05725,124321033.0,7182167.44402,36056,63107934.0,3645745.612155
2025-06-17T22:00:00+00:00Z,2025-06-17T22:59:59.999000+00:00Z,0.057274,0.059684,0.055577,0.057287,51573494.0,2957633.232917,24972,26236104.0,1506197.320383
2025-06-17T23:00:00+00:00Z,2025-06-17T23:59:59.999000+00:00Z,0.057269,0.058181,0.056433,0.057645,33825132.0,1937456.934743,15525,16709602.0,957159.09148
2025-06-18T00:00:00+00:00Z,2025-06-18T00:59:59.999000+00:00Z,0.05761,0.061,0.0566,0.057825,76574976.0,4503652.539905,28971,37536944.0,2207006.567384
