# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,DUSKUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2020-10-08T15:00:00+00:00Z
# t0_final_iso,2020-10-08T15:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,542daf4d2d66ce38
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T15:00:00+00:00Z,2020-10-08T15:59:59.999000+00:00Z,0.0377,0.0386,0.0377,0.0383,712573.7,27288.106785,140,487166.7,18668.747168
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,0.0383,0.0385,0.0381,0.0382,21722.13,833.10638,17,4246.15,163.154731
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,0.0382,0.0382,0.0376,0.0381,50645.83,1921.995839,20,19083.83,725.912754
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,0.0379,0.0379,0.0374,0.0377,10079.57,378.866235,17,0.0,0.0
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,0.0375,0.0378,0.0375,0.0377,27704.26,1044.983553,24,6181.12,233.490125
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,0.0376,0.0385,0.0376,0.0379,215601.57,8200.684935,72,125779.65,4785.800375
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,0.0381,0.0382,0.038,0.0382,6847.18,260.488162,8,3135.73,119.41952
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,0.038,0.0382,0.038,0.038,104998.13,4003.059892,16,103983.18,3964.367336
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,0.0379,0.0382,0.0378,0.0382,716.59,27.241859,3,287.95,10.99969
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,0.0382,0.0383,0.0382,0.0383,129005.9,4940.525764,36,5288.8,202.501707
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,0.0384,0.0387,0.0384,0.0387,169719.43,6527.916526,18,111854.85,4305.916654
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,0.0388,0.0388,0.0384,0.0388,49245.33,1900.856565,16,3877.23,150.343007
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,0.0388,0.0388,0.0388,0.0388,1109.28,43.040064,1,1109.28,43.040064
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,0.0388,0.0389,0.0384,0.0384,23022.05,884.995888,10,15442.02,593.256343
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,0.0384,0.0384,0.0384,0.0384,469.54,18.030336,1,0.0,0.0
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,0.0386,0.0386,0.0386,0.0386,25469.04,983.104944,5,6561.07,253.257302
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,0.0384,0.0388,0.0384,0.0388,15069.32,584.325729,7,13813.28,535.799793
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,0.0388,0.0395,0.0387,0.0392,93446.9,3642.500144,29,78911.77,3073.889323
