# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,EDUUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2023-04-28T12:00:00+00:00Z
# t0_final_iso,2023-04-28T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,c114d3078f3e0cb5
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-04-28T12:00:00+00:00Z,2023-04-28T12:59:59.999000+00:00Z,0.05,1.24999,0.05,1.23203,107174094.0,115767213.26391,353413,55388352.0,60174121.87422
2023-04-28T13:00:00+00:00Z,2023-04-28T13:59:59.999000+00:00Z,1.23163,1.49,1.17008,1.32727,89585202.0,119859811.58877,344073,46246439.0,61927070.0307
2023-04-28T14:00:00+00:00Z,2023-04-28T14:59:59.999000+00:00Z,1.32713,1.35618,1.17652,1.28024,58790685.0,73988189.73944,177820,30270479.0,38165976.4254
2023-04-28T15:00:00+00:00Z,2023-04-28T15:59:59.999000+00:00Z,1.28002,1.32895,1.23,1.27861,24035338.0,30773914.7531,94703,12164803.0,15605821.21722
2023-04-28T16:00:00+00:00Z,2023-04-28T16:59:59.999000+00:00Z,1.27616,1.31884,1.24,1.27773,13332977.0,17128678.55188,68548,6719752.0,8648990.19644
2023-04-28T17:00:00+00:00Z,2023-04-28T17:59:59.999000+00:00Z,1.27768,1.34603,1.25737,1.30565,12688097.0,16554777.71083,68914,7267291.0,9487115.75056
2023-04-28T18:00:00+00:00Z,2023-04-28T18:59:59.999000+00:00Z,1.30676,1.345,1.28102,1.33624,7759954.0,10182416.90698,47094,4602276.0,6044870.73437
2023-04-28T19:00:00+00:00Z,2023-04-28T19:59:59.999000+00:00Z,1.33645,1.39585,1.263,1.26909,16856049.0,22577297.86919,89109,9050314.0,12168618.55697
2023-04-28T20:00:00+00:00Z,2023-04-28T20:59:59.999000+00:00Z,1.26925,1.32,1.264,1.30501,6044153.0,7833229.72133,36077,3324882.0,4314271.23853
2023-04-28T21:00:00+00:00Z,2023-04-28T21:59:59.999000+00:00Z,1.305,1.34,1.29543,1.31694,4041674.0,5333352.97409,26694,2228818.0,2942781.86638
2023-04-28T22:00:00+00:00Z,2023-04-28T22:59:59.999000+00:00Z,1.316,1.425,1.31592,1.34107,10592723.0,14495991.32508,58076,5821811.0,7970276.22049
2023-04-28T23:00:00+00:00Z,2023-04-28T23:59:59.999000+00:00Z,1.34151,1.43,1.33099,1.37239,10152297.0,14087516.63483,56546,5601659.0,7774826.04041
2023-04-29T00:00:00+00:00Z,2023-04-29T00:59:59.999000+00:00Z,1.37232,1.4737,1.36001,1.45998,12605071.0,17935999.52304,67717,7062323.0,10067715.51
2023-04-29T01:00:00+00:00Z,2023-04-29T01:59:59.999000+00:00Z,1.46,1.51,1.4283,1.4608,14574240.0,21439724.38666,81983,7973444.0,11751500.86584
2023-04-29T02:00:00+00:00Z,2023-04-29T02:59:59.999000+00:00Z,1.46084,1.46216,1.37325,1.41094,7257218.0,10236859.45417,39321,3464118.0,4888897.68045
2023-04-29T03:00:00+00:00Z,2023-04-29T03:59:59.999000+00:00Z,1.41178,1.41916,1.37487,1.4096,3998759.0,5575613.60111,23859,1978416.0,2759628.96211
2023-04-29T04:00:00+00:00Z,2023-04-29T04:59:59.999000+00:00Z,1.40967,1.45302,1.40953,1.44922,4984798.0,7155309.56092,31428,2764311.0,3967458.9014
2023-04-29T05:00:00+00:00Z,2023-04-29T05:59:59.999000+00:00Z,1.44921,1.58099,1.43001,1.52025,15938436.0,24208910.80819,97773,8880314.0,13472524.10163
2023-04-29T06:00:00+00:00Z,2023-04-29T06:59:59.999000+00:00Z,1.52025,1.64342,1.508,1.57892,20743246.0,32791412.33938,124462,10704164.0,16929586.55873
2023-04-29T07:00:00+00:00Z,2023-04-29T07:59:59.999000+00:00Z,1.57892,1.69493,1.56689,1.69492,19231238.0,31568133.20975,108038,10617785.0,17416561.45824
2023-04-29T08:00:00+00:00Z,2023-04-29T08:59:59.999000+00:00Z,1.69492,1.695,1.485,1.52256,30258688.0,47204056.85054,135154,13375113.0,20878728.89159
2023-04-29T09:00:00+00:00Z,2023-04-29T09:59:59.999000+00:00Z,1.52299,1.55213,1.44025,1.49277,14269171.0,21289960.27732,67134,6614276.0,9886059.65127
2023-04-29T10:00:00+00:00Z,2023-04-29T10:59:59.999000+00:00Z,1.49231,1.53981,1.445,1.51289,10267939.0,15340545.31936,53597,5380183.0,8055999.9677
