# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,TNSRUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-04-08T15:00:00+00:00Z
# t0_final_iso,2024-04-08T15:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,8cd47c0aa4ef1ec8
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-04-08T15:00:00+00:00Z,2024-04-08T15:59:59.999000+00:00Z,0.03,2.689,0.03,1.8997,36893020.4,79013812.98883,185219,17283841.8,37161358.37832
2024-04-08T16:00:00+00:00Z,2024-04-08T16:59:59.999000+00:00Z,1.8997,1.9328,1.738,1.7964,29644840.3,54217635.49882,119209,14644709.8,26796422.04489
2024-04-08T17:00:00+00:00Z,2024-04-08T17:59:59.999000+00:00Z,1.7967,1.935,1.7938,1.8731,15733860.6,29638647.23062,76115,8089852.9,15242616.93652
2024-04-08T18:00:00+00:00Z,2024-04-08T18:59:59.999000+00:00Z,1.8708,1.8854,1.7266,1.798,12020980.6,21669026.45026,61434,5615564.8,10139318.45104
2024-04-08T19:00:00+00:00Z,2024-04-08T19:59:59.999000+00:00Z,1.798,1.8236,1.748,1.7599,5191839.9,9253480.38446,30844,2575557.4,4594569.038
2024-04-08T20:00:00+00:00Z,2024-04-08T20:59:59.999000+00:00Z,1.7599,1.8071,1.7502,1.7591,5370599.8,9565422.92262,26823,2816405.9,5019355.33529
2024-04-08T21:00:00+00:00Z,2024-04-08T21:59:59.999000+00:00Z,1.758,1.7788,1.612,1.62,8567029.5,14516100.92535,35919,3574121.3,6071544.53455
2024-04-08T22:00:00+00:00Z,2024-04-08T22:59:59.999000+00:00Z,1.62,1.6472,1.565,1.6022,9694027.9,15563947.48037,36607,4889480.2,7853490.77129
2024-04-08T23:00:00+00:00Z,2024-04-08T23:59:59.999000+00:00Z,1.6022,1.7186,1.6,1.6558,9652411.6,16025576.36643,43811,5195398.5,8624757.47743
2024-04-09T00:00:00+00:00Z,2024-04-09T00:59:59.999000+00:00Z,1.6558,1.7052,1.6443,1.6784,6205602.2,10398443.17545,35493,3305570.6,5540890.05837
2024-04-09T01:00:00+00:00Z,2024-04-09T01:59:59.999000+00:00Z,1.6783,1.78,1.672,1.7267,10311150.9,17817538.24337,45455,5369877.9,9274708.07865
2024-04-09T02:00:00+00:00Z,2024-04-09T02:59:59.999000+00:00Z,1.7275,1.7288,1.6766,1.6915,4861729.0,8261822.67605,23435,2405454.2,4089825.21277
