# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,REZUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-04-30T12:00:00+00:00Z
# t0_final_iso,2024-04-30T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,ba0e95a3b54b7db4
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-04-30T12:00:00+00:00Z,2024-04-30T12:59:59.999000+00:00Z,0.01,0.2989,0.01,0.1926,534696747.3,106618808.73878,300134,257073185.9,51253202.22024
2024-04-30T13:00:00+00:00Z,2024-04-30T13:59:59.999000+00:00Z,0.1926,0.1974,0.1683,0.1716,98424805.5,17915387.38232,83987,39742559.4,7250585.07965
2024-04-30T14:00:00+00:00Z,2024-04-30T14:59:59.999000+00:00Z,0.1717,0.1795,0.1586,0.1748,124378175.8,20874793.24642,96193,60433065.4,10158377.08573
2024-04-30T15:00:00+00:00Z,2024-04-30T15:59:59.999000+00:00Z,0.1747,0.1789,0.1682,0.1715,64364117.2,11180273.5535,66488,28962211.8,5033633.16001
2024-04-30T16:00:00+00:00Z,2024-04-30T16:59:59.999000+00:00Z,0.1714,0.1727,0.1625,0.1681,52466993.9,8814292.0007,43379,26178053.5,4405118.06266
2024-04-30T17:00:00+00:00Z,2024-04-30T17:59:59.999000+00:00Z,0.1681,0.1718,0.1653,0.171,26662296.2,4496573.15818,26352,12896579.3,2176573.65333
2024-04-30T18:00:00+00:00Z,2024-04-30T18:59:59.999000+00:00Z,0.171,0.1746,0.167,0.1678,23489384.6,3999217.26503,25594,11356707.4,1936352.27663
2024-04-30T19:00:00+00:00Z,2024-04-30T19:59:59.999000+00:00Z,0.1678,0.17,0.1628,0.1651,24971606.7,4143971.15268,25865,12075082.4,2002986.07611
2024-04-30T20:00:00+00:00Z,2024-04-30T20:59:59.999000+00:00Z,0.1651,0.172,0.1649,0.1708,18077669.0,3048788.52784,19789,8277334.4,1396559.95665
2024-04-30T21:00:00+00:00Z,2024-04-30T21:59:59.999000+00:00Z,0.1707,0.1741,0.1671,0.1702,19950696.6,3403330.80464,20578,9848106.9,1681310.21706
2024-04-30T22:00:00+00:00Z,2024-04-30T22:59:59.999000+00:00Z,0.1703,0.1714,0.1651,0.1667,16482453.0,2774362.7661,18051,8238401.4,1387213.81394
2024-04-30T23:00:00+00:00Z,2024-04-30T23:59:59.999000+00:00Z,0.1668,0.169,0.1592,0.16,21704589.9,3543203.97863,17724,8687833.9,1421066.31744
2024-05-01T00:00:00+00:00Z,2024-05-01T00:59:59.999000+00:00Z,0.16,0.16,0.1444,0.1454,54551490.8,8297498.59427,31705,21819429.1,3315562.18613
2024-05-01T01:00:00+00:00Z,2024-05-01T01:59:59.999000+00:00Z,0.1453,0.1579,0.1411,0.1515,42922777.8,6301700.17488,27151,23154211.1,3408364.36015
2024-05-01T02:00:00+00:00Z,2024-05-01T02:59:59.999000+00:00Z,0.1514,0.1536,0.1461,0.1466,18012751.9,2685171.25277,17745,8551955.4,1275977.98517
2024-05-01T03:00:00+00:00Z,2024-05-01T03:59:59.999000+00:00Z,0.1467,0.1566,0.1441,0.1553,19281713.7,2887929.5212,16850,10149633.2,1521343.08309
2024-05-01T04:00:00+00:00Z,2024-05-01T04:59:59.999000+00:00Z,0.1553,0.1638,0.1504,0.1538,38990433.6,6100267.50945,30347,19857794.3,3109352.96932
2024-05-01T05:00:00+00:00Z,2024-05-01T05:59:59.999000+00:00Z,0.1538,0.1554,0.148,0.1498,15138937.4,2282735.35082,14052,7412814.1,1119425.6849
2024-05-01T06:00:00+00:00Z,2024-05-01T06:59:59.999000+00:00Z,0.1498,0.1518,0.1421,0.1455,33294169.8,4834554.334,24388,15775032.2,2294014.77801
2024-05-01T07:00:00+00:00Z,2024-05-01T07:59:59.999000+00:00Z,0.1456,0.1487,0.1372,0.1436,54477694.6,7776432.7585,30308,26284383.4,3762836.62138
2024-05-01T08:00:00+00:00Z,2024-05-01T08:59:59.999000+00:00Z,0.1436,0.149,0.1429,0.1473,26994531.5,3937782.11492,17486,12809494.8,1872024.57274
2024-05-01T09:00:00+00:00Z,2024-05-01T09:59:59.999000+00:00Z,0.1473,0.1493,0.1425,0.1442,13472723.4,1965049.13791,10612,6218793.5,908745.59115
2024-05-01T10:00:00+00:00Z,2024-05-01T10:59:59.999000+00:00Z,0.1442,0.1461,0.1416,0.1455,12402154.2,1782934.16969,8261,6056504.6,870919.4918
2024-05-01T11:00:00+00:00Z,2024-05-01T11:59:59.999000+00:00Z,0.1456,0.1473,0.1415,0.1438,23161086.5,3325778.31991,11725,10672185.3,1531803.7819
2024-05-01T12:00:00+00:00Z,2024-05-01T12:59:59.999000+00:00Z,0.1438,0.1465,0.1415,0.1439,16360174.3,2362097.97228,9776,8294018.1,1198745.7561
2024-05-01T13:00:00+00:00Z,2024-05-01T13:59:59.999000+00:00Z,0.1439,0.144,0.1383,0.1396,20982025.6,2948849.65904,10711,9813700.5,1379382.05295
2024-05-01T14:00:00+00:00Z,2024-05-01T14:59:59.999000+00:00Z,0.1397,0.1414,0.1384,0.1412,16384070.2,2292067.62204,7209,8155891.5,1141985.43654
