# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,PUMPUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-09-11T12:00:00+00:00Z
# t0_final_iso,2025-09-11T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,26e55f9483fc6015
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-09-11T12:00:00+00:00Z,2025-09-11T12:59:59.999000+00:00Z,0.004502,0.00582,0.004502,0.005519,3079348360.0,17403874.439515,64345,1591209953.0,9004089.401668
2025-09-11T13:00:00+00:00Z,2025-09-11T13:59:59.999000+00:00Z,0.005516,0.005648,0.005386,0.005604,1171472838.0,6435460.329163,23406,647902876.0,3558273.195582
2025-09-11T14:00:00+00:00Z,2025-09-11T14:59:59.999000+00:00Z,0.005605,0.005632,0.005411,0.005498,710233782.0,3919538.887683,12007,336830716.0,1859001.577726
2025-09-11T15:00:00+00:00Z,2025-09-11T15:59:59.999000+00:00Z,0.005497,0.00552,0.005283,0.005312,712641590.0,3840360.218012,16347,428083875.0,2305203.860526
2025-09-11T16:00:00+00:00Z,2025-09-11T16:59:59.999000+00:00Z,0.005313,0.005512,0.005306,0.005329,623769462.0,3367003.224571,10999,384782841.0,2079122.130697
2025-09-11T17:00:00+00:00Z,2025-09-11T17:59:59.999000+00:00Z,0.005322,0.00537,0.005252,0.005341,530458227.0,2809357.874725,7766,241383841.0,1279290.047305
2025-09-11T18:00:00+00:00Z,2025-09-11T18:59:59.999000+00:00Z,0.00534,0.005453,0.005312,0.005426,381808406.0,2058054.696426,8030,205272503.0,1107412.942957
2025-09-11T19:00:00+00:00Z,2025-09-11T19:59:59.999000+00:00Z,0.005426,0.005494,0.005405,0.005468,260953981.0,1424865.152505,5642,113395678.0,619213.921028
2025-09-11T20:00:00+00:00Z,2025-09-11T20:59:59.999000+00:00Z,0.00547,0.005633,0.005422,0.005617,304694555.0,1682435.354666,6379,177339217.0,979385.09349
2025-09-11T21:00:00+00:00Z,2025-09-11T21:59:59.999000+00:00Z,0.005615,0.005655,0.005548,0.005642,479991429.0,2690304.607532,10235,206984315.0,1160504.661141
2025-09-11T22:00:00+00:00Z,2025-09-11T22:59:59.999000+00:00Z,0.005644,0.005969,0.005643,0.005963,1349530572.0,7860068.358007,21864,626643714.0,3650384.708106
2025-09-11T23:00:00+00:00Z,2025-09-11T23:59:59.999000+00:00Z,0.005964,0.006072,0.005881,0.005893,997653333.0,5961301.440506,16949,479526600.0,2867079.28207
2025-09-12T00:00:00+00:00Z,2025-09-12T00:59:59.999000+00:00Z,0.005895,0.006022,0.005809,0.005904,769894504.0,4547017.318947,12108,376004842.0,2221514.319477
