# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,OPUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2022-06-01T08:00:00+00:00Z
# t0_final_iso,2022-06-01T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,c742d2ce8364d868
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-06-01T08:00:00+00:00Z,2022-06-01T08:59:59.999000+00:00Z,1.44,2.2,1.44,1.598,25290737.29,42315137.42816,106176,12273352.72,20691718.97914
2022-06-01T09:00:00+00:00Z,2022-06-01T09:59:59.999000+00:00Z,1.597,1.738,1.561,1.593,9578986.28,15787778.67331,41469,4604448.08,7577418.4858
2022-06-01T10:00:00+00:00Z,2022-06-01T10:59:59.999000+00:00Z,1.592,1.648,1.51,1.571,3616530.56,5674444.9868,16930,1526276.6,2401433.3455
2022-06-01T11:00:00+00:00Z,2022-06-01T11:59:59.999000+00:00Z,1.571,1.572,1.257,1.317,11427617.64,15723137.56165,50411,5164207.89,7099564.7364
2022-06-01T12:00:00+00:00Z,2022-06-01T12:59:59.999000+00:00Z,1.318,1.37,1.176,1.259,10318056.44,13066503.97699,44914,5033893.25,6386879.27829
2022-06-01T13:00:00+00:00Z,2022-06-01T13:59:59.999000+00:00Z,1.26,1.419,1.22,1.366,8323890.39,11107077.99814,36102,4098192.42,5456298.27508
2022-06-01T14:00:00+00:00Z,2022-06-01T14:59:59.999000+00:00Z,1.371,1.387,1.23,1.312,7186465.61,9299416.83243,29399,3419527.42,4430192.55224
2022-06-01T15:00:00+00:00Z,2022-06-01T15:59:59.999000+00:00Z,1.311,1.34,1.154,1.175,6177693.15,7614927.42495,23276,2813858.86,3458202.00754
2022-06-01T16:00:00+00:00Z,2022-06-01T16:59:59.999000+00:00Z,1.175,1.175,1.062,1.094,10626602.16,11829422.59542,35249,4951089.76,5520731.65556
2022-06-01T17:00:00+00:00Z,2022-06-01T17:59:59.999000+00:00Z,1.096,1.226,1.039,1.224,9870811.17,11051129.3611,28356,4704770.79,5273997.11959
