# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,FUNUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2020-10-08T14:00:00+00:00Z
# t0_final_iso,2020-10-08T14:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,e0b2b786526e9504
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T14:00:00+00:00Z,2020-10-08T14:59:59.999000+00:00Z,0.002781,0.002824,0.002781,0.002824,615728.0,1729.283962,30,327838.0,920.530481
2020-10-08T15:00:00+00:00Z,2020-10-08T15:59:59.999000+00:00Z,0.002826,0.002897,0.002826,0.002865,1740185.0,4975.798011,84,728076.0,2090.347026
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,0.002865,0.002878,0.00285,0.002857,363925.0,1040.585126,19,88836.0,254.754174
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,0.002857,0.002867,0.00285,0.002867,120755.0,344.5199,5,3509.0,10.060303
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,0.002866,0.002866,0.002866,0.002866,87044.0,249.468104,2,6646.0,19.047436
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,0.002868,0.002878,0.002866,0.002866,89479.0,256.688182,8,51102.0,146.691556
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,0.002877,0.002878,0.00287,0.002878,164381.0,472.562012,8,156869.0,450.972524
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,0.002878,0.00289,0.002868,0.002883,225220.0,649.832347,8,155846.0,450.017428
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,0.002868,0.002878,0.002855,0.002855,403778.0,1155.243015,15,297800.0,851.777264
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,0.002855,0.002855,0.002855,0.002855,0.0,0.0,0,0.0,0.0
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,0.00286,0.002875,0.00286,0.002872,23718.0,67.96407,3,9926.0,28.51895
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,0.002876,0.002876,0.002857,0.002857,11900.0,34.14688,3,4136.0,11.895136
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,0.002875,0.002875,0.002874,0.002874,9847.0,28.304341,2,4063.0,11.681125
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,0.002871,0.002871,0.00287,0.00287,18070.0,51.874789,2,0.0,0.0
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,0.00287,0.00287,0.00287,0.00287,0.0,0.0,0,0.0,0.0
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,0.002855,0.002866,0.002844,0.002866,140307.0,400.487234,6,10202.0,29.238932
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,0.002866,0.002866,0.002866,0.002866,0.0,0.0,0,0.0,0.0
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,0.002853,0.002885,0.002853,0.00288,469779.0,1352.858584,13,311083.0,897.413095
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,0.002886,0.002943,0.002851,0.00288,6426548.0,18534.72296,196,3322274.0,9553.841925
2020-10-09T09:00:00+00:00Z,2020-10-09T09:59:59.999000+00:00Z,0.00288,0.002886,0.002868,0.002868,151250.0,435.649061,10,78212.0,225.43641
2020-10-09T10:00:00+00:00Z,2020-10-09T10:59:59.999000+00:00Z,0.00286,0.002894,0.00286,0.002894,395407.0,1140.317937,27,188782.0,545.281317
2020-10-09T11:00:00+00:00Z,2020-10-09T11:59:59.999000+00:00Z,0.002908,0.002954,0.002829,0.00289,4379794.0,12655.121239,122,1274690.0,3707.115676
2020-10-09T12:00:00+00:00Z,2020-10-09T12:59:59.999000+00:00Z,0.002883,0.003031,0.00288,0.003031,1669276.0,4910.186773,81,1169086.0,3435.084493
