# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,GUNUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-03-31T13:00:00+00:00Z
# t0_final_iso,2025-03-31T13:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,77ccc2daad782535
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-03-31T13:00:00+00:00Z,2025-03-31T13:59:59.999000+00:00Z,0.03,0.15,0.03,0.10822,771309328.0,78608361.07852,260187,394854878.0,40247828.43359
2025-03-31T14:00:00+00:00Z,2025-03-31T14:59:59.999000+00:00Z,0.10821,0.11625,0.09748,0.10143,344234197.0,37443482.84605,145015,167414065.0,18236345.30606
2025-03-31T15:00:00+00:00Z,2025-03-31T15:59:59.999000+00:00Z,0.10143,0.103,0.09556,0.1,166963033.0,16547746.39705,95676,87104854.0,8645187.1396
2025-03-31T16:00:00+00:00Z,2025-03-31T16:59:59.999000+00:00Z,0.1,0.10356,0.097,0.10117,122376662.0,12311337.49839,86223,64154401.0,6457731.99609
2025-03-31T17:00:00+00:00Z,2025-03-31T17:59:59.999000+00:00Z,0.10117,0.102,0.09,0.09187,123543091.0,11801325.63857,84888,57526485.0,5498190.24164
2025-03-31T18:00:00+00:00Z,2025-03-31T18:59:59.999000+00:00Z,0.09185,0.09335,0.08571,0.08799,127358382.0,11350795.86767,73785,65338177.0,5823273.63294
2025-03-31T19:00:00+00:00Z,2025-03-31T19:59:59.999000+00:00Z,0.08799,0.0922,0.08585,0.08747,71379493.0,6340393.83045,64053,35836540.0,3186544.10359
2025-03-31T20:00:00+00:00Z,2025-03-31T20:59:59.999000+00:00Z,0.08747,0.08953,0.08377,0.08488,53336781.0,4661504.70516,57675,23510276.0,2057965.50279
2025-03-31T21:00:00+00:00Z,2025-03-31T21:59:59.999000+00:00Z,0.08488,0.08531,0.07914,0.0813,77593518.0,6356126.0592,58543,38472726.0,3154101.50766
2025-03-31T22:00:00+00:00Z,2025-03-31T22:59:59.999000+00:00Z,0.08129,0.08458,0.07519,0.07644,82259325.0,6474602.68152,59753,38967050.0,3074375.09502
2025-03-31T23:00:00+00:00Z,2025-03-31T23:59:59.999000+00:00Z,0.07644,0.0785,0.07559,0.07752,80099378.0,6156366.86581,56219,41427869.0,3185812.18964
2025-04-01T00:00:00+00:00Z,2025-04-01T00:59:59.999000+00:00Z,0.07752,0.08168,0.07103,0.07388,144636982.0,10911785.95367,71303,72902795.0,5517937.94119
2025-04-01T01:00:00+00:00Z,2025-04-01T01:59:59.999000+00:00Z,0.07388,0.0755,0.07276,0.074,47206878.0,3498868.35193,48601,23159947.0,1717357.89516
2025-04-01T02:00:00+00:00Z,2025-04-01T02:59:59.999000+00:00Z,0.07401,0.08262,0.07383,0.08213,72894280.0,5637002.20956,38079,41301363.0,3198303.27363
2025-04-01T03:00:00+00:00Z,2025-04-01T03:59:59.999000+00:00Z,0.08213,0.08475,0.07812,0.08036,110266491.0,8982824.51902,28748,54367577.0,4433313.16608
2025-04-01T04:00:00+00:00Z,2025-04-01T04:59:59.999000+00:00Z,0.08035,0.08339,0.07777,0.08027,80451231.0,6482840.59558,20525,41705844.0,3366193.28041
2025-04-01T05:00:00+00:00Z,2025-04-01T05:59:59.999000+00:00Z,0.08015,0.08046,0.07525,0.07724,72469440.0,5625080.54483,19029,34808998.0,2700659.48951
2025-04-01T06:00:00+00:00Z,2025-04-01T06:59:59.999000+00:00Z,0.07727,0.07798,0.07375,0.07613,63197185.0,4804831.72878,17301,28704318.0,2182563.32349
2025-04-01T07:00:00+00:00Z,2025-04-01T07:59:59.999000+00:00Z,0.07613,0.07613,0.07288,0.0742,58145952.0,4302960.00552,16914,27797243.0,2055829.45753
2025-04-01T08:00:00+00:00Z,2025-04-01T08:59:59.999000+00:00Z,0.07419,0.07786,0.07375,0.07406,72784174.0,5488817.56095,20791,37357076.0,2818959.39377
