# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,STGUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2022-08-19T09:00:00+00:00Z
# t0_final_iso,2022-08-19T09:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,3bb4111daa1773b0
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-08-19T09:00:00+00:00Z,2022-08-19T09:59:59.999000+00:00Z,0.3364,0.6742,0.3364,0.627,77405716.5,44481748.53619,137690,39665315.5,22733818.26607
2022-08-19T10:00:00+00:00Z,2022-08-19T10:59:59.999000+00:00Z,0.6269,0.8293,0.5982,0.7615,61250162.2,44558615.64253,137878,30423805.0,22176891.76893
2022-08-19T11:00:00+00:00Z,2022-08-19T11:59:59.999000+00:00Z,0.7628,0.7633,0.6688,0.7275,28078158.9,20025690.52023,64447,13360587.4,9538554.61528
2022-08-19T12:00:00+00:00Z,2022-08-19T12:59:59.999000+00:00Z,0.727,0.7425,0.6018,0.6383,20415750.4,13291147.83258,43720,9528525.7,6200873.12714
2022-08-19T13:00:00+00:00Z,2022-08-19T13:59:59.999000+00:00Z,0.6384,0.71,0.62,0.6586,16833509.3,11174480.95043,32137,8703199.2,5783048.14247
2022-08-19T14:00:00+00:00Z,2022-08-19T14:59:59.999000+00:00Z,0.6576,0.6699,0.6111,0.6245,9791349.2,6214895.19508,18871,4380062.7,2781126.3691
2022-08-19T15:00:00+00:00Z,2022-08-19T15:59:59.999000+00:00Z,0.6235,0.683,0.613,0.6587,12116386.2,7883373.34212,22910,6608975.4,4308138.04712
2022-08-19T16:00:00+00:00Z,2022-08-19T16:59:59.999000+00:00Z,0.6587,0.87,0.6587,0.7602,42481731.4,32693196.16626,95883,22172431.6,17017364.21906
2022-08-19T17:00:00+00:00Z,2022-08-19T17:59:59.999000+00:00Z,0.761,0.85,0.758,0.7764,24738831.4,19805692.33293,56476,13304167.0,10668821.15727
2022-08-19T18:00:00+00:00Z,2022-08-19T18:59:59.999000+00:00Z,0.7764,0.795,0.7242,0.7489,8874851.3,6763699.11178,21732,4490325.2,3429766.88895
2022-08-19T19:00:00+00:00Z,2022-08-19T19:59:59.999000+00:00Z,0.7484,0.7777,0.7309,0.7552,6794800.4,5153288.62258,16961,3519271.4,2671622.19497
2022-08-19T20:00:00+00:00Z,2022-08-19T20:59:59.999000+00:00Z,0.7555,0.82,0.7362,0.7607,12612950.8,9893827.15798,26664,6212932.4,4874863.16086
2022-08-19T21:00:00+00:00Z,2022-08-19T21:59:59.999000+00:00Z,0.7607,0.79,0.745,0.7624,4573417.8,3505440.56597,12573,2261307.2,1738333.45777
2022-08-19T22:00:00+00:00Z,2022-08-19T22:59:59.999000+00:00Z,0.7625,0.834,0.735,0.8185,12506715.9,10007745.35852,24222,6937327.3,5558766.94575
