# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,TFUELUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2020-10-08T16:00:00+00:00Z
# t0_final_iso,2020-10-08T16:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,11cb376194d7f883
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,0.009595,0.009616,0.0095,0.009605,5358799.0,51164.032345,156,3805445.0,36341.926539
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,0.00961,0.009692,0.009578,0.009631,2540646.0,24534.150178,121,1009800.0,9745.577964
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,0.009631,0.009667,0.009552,0.00962,830006.0,7959.352844,54,129163.0,1240.13505
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,0.009613,0.00968,0.009558,0.0096,1819935.0,17559.733498,86,503636.0,4859.454621
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,0.009622,0.009671,0.009617,0.009626,1507155.0,14551.192747,44,748954.0,7237.180012
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,0.009659,0.009672,0.00962,0.00967,1102172.0,10637.23143,63,268765.0,2597.980533
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,0.009665,0.009692,0.00962,0.00962,1413792.0,13642.481715,125,414852.0,4008.480851
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,0.00965,0.009685,0.00956,0.009643,1659798.0,15969.659312,95,800332.0,7715.241389
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,0.009636,0.009636,0.00954,0.009551,3185348.0,30544.672246,171,1388825.0,13335.106143
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,0.009585,0.009616,0.009537,0.009616,4187791.0,40084.060935,90,3495014.0,33447.906961
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,0.00962,0.009643,0.009564,0.009643,830184.0,7972.676926,53,336187.0,3234.342256
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,0.009643,0.009649,0.00959,0.009608,840345.0,8070.523999,47,107601.0,1035.464214
