# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,VANAUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-12-16T11:00:00+00:00Z
# t0_final_iso,2024-12-16T11:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,d67af72585200b0b
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-12-16T11:00:00+00:00Z,2024-12-16T11:59:59.999000+00:00Z,1.0,29.0,1.0,25.982,7272092.02,178569615.01649,385479,3726206.8,91681571.64729
2024-12-16T12:00:00+00:00Z,2024-12-16T12:59:59.999000+00:00Z,25.96,30.46,24.9,28.858,5917729.0,164272588.88508,377751,2997472.48,83344136.71229
2024-12-16T13:00:00+00:00Z,2024-12-16T13:59:59.999000+00:00Z,28.856,30.391,25.54,26.051,2847259.78,78702120.99985,202875,1225741.17,33919971.6157
2024-12-16T14:00:00+00:00Z,2024-12-16T14:59:59.999000+00:00Z,26.066,26.454,24.45,24.985,1740839.42,44112222.54496,126243,821697.69,20844365.63409
2024-12-16T15:00:00+00:00Z,2024-12-16T15:59:59.999000+00:00Z,24.992,28.108,24.962,27.834,1551119.39,40949176.68687,114066,834593.1,22037010.85298
2024-12-16T16:00:00+00:00Z,2024-12-16T16:59:59.999000+00:00Z,27.816,28.6,26.51,27.065,1307093.36,35875170.43987,104242,616958.38,16941952.66627
2024-12-16T17:00:00+00:00Z,2024-12-16T17:59:59.999000+00:00Z,27.061,28.603,26.8,28.101,867672.93,23914404.05383,76441,416045.3,11469624.06672
2024-12-16T18:00:00+00:00Z,2024-12-16T18:59:59.999000+00:00Z,28.109,29.999,27.908,29.684,1103378.03,32170819.96201,100724,581091.12,16951894.79773
2024-12-16T19:00:00+00:00Z,2024-12-16T19:59:59.999000+00:00Z,29.693,33.0,28.994,32.003,2054231.24,64416569.6504,195718,1085402.65,34011396.27021
2024-12-16T20:00:00+00:00Z,2024-12-16T20:59:59.999000+00:00Z,32.024,35.0,31.882,33.878,1512364.56,51600498.71653,160915,773717.89,26387288.91637
2024-12-16T21:00:00+00:00Z,2024-12-16T21:59:59.999000+00:00Z,33.881,34.9,31.713,34.407,1045160.93,34792597.29356,113307,533396.31,17778857.37883
2024-12-16T22:00:00+00:00Z,2024-12-16T22:59:59.999000+00:00Z,34.407,34.89,32.927,33.875,877735.23,29777936.17283,88779,429929.85,14597191.65928
2024-12-16T23:00:00+00:00Z,2024-12-16T23:59:59.999000+00:00Z,33.888,34.709,33.667,34.401,841934.99,28857352.31512,88019,443779.0,15214484.38998
2024-12-17T00:00:00+00:00Z,2024-12-17T00:59:59.999000+00:00Z,34.42,35.8,28.651,30.404,2471209.97,80327985.30396,192978,1199265.22,39037330.58857
2024-12-17T01:00:00+00:00Z,2024-12-17T01:59:59.999000+00:00Z,30.409,31.059,24.6,26.138,2208575.54,60392788.99607,157554,1110137.44,30418860.3818
2024-12-17T02:00:00+00:00Z,2024-12-17T02:59:59.999000+00:00Z,26.138,27.075,22.059,22.583,1754835.49,42462234.16246,97213,990317.9,23940465.73628
2024-12-17T03:00:00+00:00Z,2024-12-17T03:59:59.999000+00:00Z,22.583,23.88,22.097,23.442,920417.39,21240844.25382,76530,481705.67,11117372.97966
2024-12-17T04:00:00+00:00Z,2024-12-17T04:59:59.999000+00:00Z,23.46,23.621,22.171,22.715,598010.25,13666649.36507,59206,276044.24,6314606.30549
2024-12-17T05:00:00+00:00Z,2024-12-17T05:59:59.999000+00:00Z,22.716,24.37,22.397,23.509,732357.23,17189879.68953,79678,378526.88,8886271.21033
2024-12-17T06:00:00+00:00Z,2024-12-17T06:59:59.999000+00:00Z,23.516,23.99,22.765,23.213,512686.52,11967279.44323,72929,245535.85,5734968.23452
2024-12-17T07:00:00+00:00Z,2024-12-17T07:59:59.999000+00:00Z,23.223,23.51,22.25,22.576,539196.98,12297292.71723,66266,290152.9,6609579.27908
2024-12-17T08:00:00+00:00Z,2024-12-17T08:59:59.999000+00:00Z,22.576,22.99,20.681,20.978,896587.47,19488678.52623,112452,434401.19,9437768.72134
2024-12-17T09:00:00+00:00Z,2024-12-17T09:59:59.999000+00:00Z,20.978,21.371,20.436,20.899,785092.42,16401029.24679,105224,392819.64,8209342.39546
2024-12-17T10:00:00+00:00Z,2024-12-17T10:59:59.999000+00:00Z,20.898,20.979,20.133,20.507,612272.6,12520704.85099,71349,243997.06,4987738.32082
