# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,FETUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2020-10-08T15:00:00+00:00Z
# t0_final_iso,2020-10-08T15:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,676bcd30438a33a9
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T15:00:00+00:00Z,2020-10-08T15:59:59.999000+00:00Z,0.04698,0.04797,0.04575,0.04688,3614544.6,168511.269387,876,1877599.8,87731.359612
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,0.04697,0.04729,0.04647,0.04729,825107.0,38778.717577,330,382997.4,18033.414406
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,0.0473,0.0473,0.04651,0.04675,613806.6,28849.888295,132,247196.5,11603.546897
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,0.04675,0.04716,0.04617,0.04655,1231421.4,57434.961784,280,736721.4,34354.849472
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,0.04652,0.04691,0.04629,0.04665,1727734.7,80450.349116,130,1474811.7,68690.199784
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,0.04663,0.04701,0.04662,0.04692,489279.9,22923.281131,126,259828.6,12171.435598
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,0.04691,0.05264,0.0469,0.05063,7321691.8,358368.686207,1737,5586079.7,272554.793307
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,0.05064,0.05319,0.05035,0.05146,1825654.9,94345.078707,759,1093289.7,56535.718347
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,0.05147,0.05212,0.05072,0.05109,669345.8,34342.16028,364,235312.6,12102.396422
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,0.05109,0.05128,0.04912,0.04989,730723.3,36593.609199,419,227045.7,11379.532959
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,0.04994,0.05068,0.04988,0.05055,215068.2,10825.867558,169,120760.5,6080.354887
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,0.05055,0.05102,0.05045,0.05069,241249.2,12234.184171,119,142052.8,7208.296612
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,0.05069,0.05069,0.04963,0.04977,529440.3,26508.114899,189,109715.6,5482.178616
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,0.0498,0.05014,0.04954,0.04986,1145121.1,57117.634662,186,747798.0,37337.244081
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,0.04977,0.04993,0.04926,0.04934,262074.8,13014.868152,137,73935.5,3666.608204
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,0.04926,0.0501,0.0485,0.05,1656639.7,81588.883521,441,1044017.2,51538.721896
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,0.05,0.05202,0.04991,0.05202,2131881.5,109569.0689,316,1739171.3,89448.99238
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,0.05203,0.05267,0.05161,0.05196,1079953.7,56339.022787,377,477925.8,24925.918706
2020-10-09T09:00:00+00:00Z,2020-10-09T09:59:59.999000+00:00Z,0.0519,0.05198,0.05063,0.05086,1123123.1,57510.998569,319,692561.1,35450.537475
2020-10-09T10:00:00+00:00Z,2020-10-09T10:59:59.999000+00:00Z,0.05088,0.0522,0.05054,0.0515,1621025.5,83328.125408,443,921167.7,47384.009181
2020-10-09T11:00:00+00:00Z,2020-10-09T11:59:59.999000+00:00Z,0.05142,0.05241,0.0513,0.05155,1925464.6,99758.427651,553,859912.6,44619.811529
2020-10-09T12:00:00+00:00Z,2020-10-09T12:59:59.999000+00:00Z,0.05156,0.052,0.05128,0.05198,421594.7,21774.626875,170,177237.5,9151.768125
2020-10-09T13:00:00+00:00Z,2020-10-09T13:59:59.999000+00:00Z,0.05197,0.05239,0.05135,0.05166,543446.0,28182.334208,186,177129.4,9185.364071
2020-10-09T14:00:00+00:00Z,2020-10-09T14:59:59.999000+00:00Z,0.05172,0.05282,0.0515,0.05218,1773637.6,92351.871805,413,1222693.8,63644.716882
2020-10-09T15:00:00+00:00Z,2020-10-09T15:59:59.999000+00:00Z,0.05231,0.054,0.05203,0.0537,2043826.2,108892.744109,585,1379115.3,73453.28958
2020-10-09T16:00:00+00:00Z,2020-10-09T16:59:59.999000+00:00Z,0.0537,0.05446,0.05309,0.05402,1588164.8,85545.84418,578,1106957.3,59718.613777
2020-10-09T17:00:00+00:00Z,2020-10-09T17:59:59.999000+00:00Z,0.05415,0.05517,0.05329,0.05444,1349668.0,72895.320628,645,623241.4,33724.16405
2020-10-09T18:00:00+00:00Z,2020-10-09T18:59:59.999000+00:00Z,0.05435,0.0544,0.05278,0.05312,1150422.0,61319.066486,371,521647.3,27705.269249
2020-10-09T19:00:00+00:00Z,2020-10-09T19:59:59.999000+00:00Z,0.05307,0.05351,0.0524,0.05287,452583.6,23925.54622,261,239360.3,12631.673741
2020-10-09T20:00:00+00:00Z,2020-10-09T20:59:59.999000+00:00Z,0.05286,0.05357,0.05281,0.05336,259364.0,13795.547772,145,159507.9,8476.649211
2020-10-09T21:00:00+00:00Z,2020-10-09T21:59:59.999000+00:00Z,0.05347,0.05408,0.05343,0.05408,122225.6,6562.503901,156,73934.3,3972.01902
2020-10-09T22:00:00+00:00Z,2020-10-09T22:59:59.999000+00:00Z,0.05408,0.05414,0.05306,0.05389,395424.9,21235.472979,194,119903.1,6439.799955
2020-10-09T23:00:00+00:00Z,2020-10-09T23:59:59.999000+00:00Z,0.05387,0.05464,0.05352,0.05365,396579.2,21431.145639,177,202017.9,10922.803037
2020-10-10T00:00:00+00:00Z,2020-10-10T00:59:59.999000+00:00Z,0.05351,0.05402,0.0534,0.05385,231534.5,12433.609592,156,150029.9,8051.967455
2020-10-10T01:00:00+00:00Z,2020-10-10T01:59:59.999000+00:00Z,0.05396,0.05399,0.05311,0.0533,324260.8,17328.425751,132,197090.2,10529.767747
2020-10-10T02:00:00+00:00Z,2020-10-10T02:59:59.999000+00:00Z,0.0533,0.05498,0.0533,0.05464,279072.8,15207.994909,256,117630.0,6401.278289
2020-10-10T03:00:00+00:00Z,2020-10-10T03:59:59.999000+00:00Z,0.05447,0.05508,0.05407,0.05475,1676207.9,91595.79597,331,1353551.3,73988.282398
2020-10-10T04:00:00+00:00Z,2020-10-10T04:59:59.999000+00:00Z,0.05475,0.05475,0.05441,0.05459,277504.9,15161.245884,134,197306.2,10785.969683
2020-10-10T05:00:00+00:00Z,2020-10-10T05:59:59.999000+00:00Z,0.0547,0.05565,0.054,0.05562,1334489.8,73713.2661,342,1131283.6,62579.281788
2020-10-10T06:00:00+00:00Z,2020-10-10T06:59:59.999000+00:00Z,0.05558,0.05598,0.05547,0.05569,1098476.7,61161.716833,202,784906.3,43711.741749
2020-10-10T07:00:00+00:00Z,2020-10-10T07:59:59.999000+00:00Z,0.05558,0.05625,0.05555,0.05578,2205768.0,123068.472003,256,1495348.1,83399.462978
2020-10-10T08:00:00+00:00Z,2020-10-10T08:59:59.999000+00:00Z,0.05589,0.05615,0.05579,0.05593,1571809.4,88059.903146,134,1404096.5,78688.299461
