# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,DYDXUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2021-09-09T02:00:00+00:00Z
# t0_final_iso,2021-09-09T02:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,71f4f3f38e902ae3
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-09-09T02:00:00+00:00Z,2021-09-09T02:59:59.999000+00:00Z,3.0,14.5,3.0,14.276,6548015.32,80605357.68799,91008,3613861.67,44720917.00437
2021-09-09T03:00:00+00:00Z,2021-09-09T03:59:59.999000+00:00Z,14.289,14.849,12.803,13.499,3158433.91,43639164.22362,63920,1593314.59,22100890.01042
2021-09-09T04:00:00+00:00Z,2021-09-09T04:59:59.999000+00:00Z,13.499,14.099,12.264,12.344,1481900.7,19223634.76172,34758,748660.44,9718728.25697
2021-09-09T05:00:00+00:00Z,2021-09-09T05:59:59.999000+00:00Z,12.342,13.345,12.156,12.592,1194686.86,15238653.82181,27050,671582.91,8551533.48894
2021-09-09T06:00:00+00:00Z,2021-09-09T06:59:59.999000+00:00Z,12.584,12.779,11.514,11.749,1019990.9,12248124.46564,24565,430897.06,5174210.87061
2021-09-09T07:00:00+00:00Z,2021-09-09T07:59:59.999000+00:00Z,11.75,12.4,11.302,11.939,1337256.69,15733831.89245,28185,683809.14,8060852.78298
2021-09-09T08:00:00+00:00Z,2021-09-09T08:59:59.999000+00:00Z,11.949,13.8,11.805,12.761,2179665.0,28107809.27845,49182,1048914.46,13494908.5606
2021-09-09T09:00:00+00:00Z,2021-09-09T09:59:59.999000+00:00Z,12.769,13.949,12.443,12.972,1495704.91,19815365.14477,33718,790277.79,10482227.7435
2021-09-09T10:00:00+00:00Z,2021-09-09T10:59:59.999000+00:00Z,12.964,13.341,12.5,13.142,890577.38,11489019.80069,24154,401188.41,5175748.57454
2021-09-09T11:00:00+00:00Z,2021-09-09T11:59:59.999000+00:00Z,13.147,16.1,13.01,16.082,3503090.66,51432903.8671,72795,2132103.1,31354641.83996
2021-09-09T12:00:00+00:00Z,2021-09-09T12:59:59.999000+00:00Z,16.091,16.435,13.919,14.804,3711636.78,55432540.958,76659,1750476.87,26130889.23331
2021-09-09T13:00:00+00:00Z,2021-09-09T13:59:59.999000+00:00Z,14.802,15.487,13.71,14.142,1793799.95,25998117.05242,43998,837089.11,12143269.88111
2021-09-09T14:00:00+00:00Z,2021-09-09T14:59:59.999000+00:00Z,14.146,15.027,13.651,14.352,1400728.84,20027603.54455,36287,657919.85,9428006.412
2021-09-09T15:00:00+00:00Z,2021-09-09T15:59:59.999000+00:00Z,14.352,15.97,13.897,15.798,2193401.79,33107723.85662,53333,1099053.86,16605258.22523
2021-09-09T16:00:00+00:00Z,2021-09-09T16:59:59.999000+00:00Z,15.797,16.182,14.684,15.135,1824229.98,27761489.25071,46679,851306.09,12978912.33301
2021-09-09T17:00:00+00:00Z,2021-09-09T17:59:59.999000+00:00Z,15.126,15.126,14.221,14.57,828483.7,12096033.72636,22499,433837.24,6332077.33269
2021-09-09T18:00:00+00:00Z,2021-09-09T18:59:59.999000+00:00Z,14.569,14.831,13.7,13.985,825474.04,11600506.54143,19189,372659.82,5233150.27536
2021-09-09T19:00:00+00:00Z,2021-09-09T19:59:59.999000+00:00Z,13.984,13.985,13.051,13.171,829423.67,11082638.58253,17753,334974.59,4470843.72336
2021-09-09T20:00:00+00:00Z,2021-09-09T20:59:59.999000+00:00Z,13.17,13.497,12.704,12.74,537894.32,7002654.89684,12382,242004.18,3152119.02629
2021-09-09T21:00:00+00:00Z,2021-09-09T21:59:59.999000+00:00Z,12.74,13.302,12.731,13.284,519815.15,6802169.33689,11392,268659.05,3520939.42076
2021-09-09T22:00:00+00:00Z,2021-09-09T22:59:59.999000+00:00Z,13.284,13.317,12.543,12.688,529428.29,6823571.60503,10818,199854.61,2583402.58914
2021-09-09T23:00:00+00:00Z,2021-09-09T23:59:59.999000+00:00Z,12.679,13.368,12.675,12.971,642402.12,8371347.25727,14358,312574.3,4073600.96061
2021-09-10T00:00:00+00:00Z,2021-09-10T00:59:59.999000+00:00Z,12.992,14.5,12.932,14.195,1134541.27,15706423.23327,21750,590454.92,8166133.85657
2021-09-10T01:00:00+00:00Z,2021-09-10T01:59:59.999000+00:00Z,14.186,14.197,13.551,13.638,631229.52,8740785.56452,12527,272617.22,3770024.47598
2021-09-10T02:00:00+00:00Z,2021-09-10T02:59:59.999000+00:00Z,13.638,13.65,13.126,13.505,447427.11,5987476.53823,9430,203260.97,2716067.61634
2021-09-10T03:00:00+00:00Z,2021-09-10T03:59:59.999000+00:00Z,13.505,13.518,12.62,12.803,756164.34,9786548.46109,18650,352275.57,4557325.75812
2021-09-10T04:00:00+00:00Z,2021-09-10T04:59:59.999000+00:00Z,12.805,13.7,12.804,13.463,586532.65,7806193.34569,15285,290477.01,3859739.59164
2021-09-10T05:00:00+00:00Z,2021-09-10T05:59:59.999000+00:00Z,13.459,13.483,12.755,12.888,365279.84,4821849.87153,11823,146084.71,1934472.41434
2021-09-10T06:00:00+00:00Z,2021-09-10T06:59:59.999000+00:00Z,12.907,13.091,12.325,12.431,669089.84,8451738.16245,15950,311625.7,3928681.31189
2021-09-10T07:00:00+00:00Z,2021-09-10T07:59:59.999000+00:00Z,12.431,12.58,11.468,12.088,1540977.65,18604832.77498,32394,677620.21,8144654.54026
2021-09-10T08:00:00+00:00Z,2021-09-10T08:59:59.999000+00:00Z,12.084,12.35,11.655,11.932,693245.92,8286930.10247,17101,322839.04,3856753.89686
