# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,MAGICUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2022-12-12T08:00:00+00:00Z
# t0_final_iso,2022-12-12T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,ffea0f133ad0585a
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-12-12T08:00:00+00:00Z,2022-12-12T08:59:59.999000+00:00Z,0.3821,0.96,0.3821,0.8988,22829638.1,19341687.07242,66680,12379046.5,10463866.25637
2022-12-12T09:00:00+00:00Z,2022-12-12T09:59:59.999000+00:00Z,0.8994,0.91,0.783,0.8483,6870098.6,5768535.58765,24517,3029482.2,2536570.8368
2022-12-12T10:00:00+00:00Z,2022-12-12T10:59:59.999000+00:00Z,0.8463,1.0333,0.8441,0.8713,14376240.1,13442394.35858,48782,7495953.2,7015443.35736
2022-12-12T11:00:00+00:00Z,2022-12-12T11:59:59.999000+00:00Z,0.8725,0.9491,0.871,0.9483,6028759.2,5551947.30565,17730,3088972.7,2848565.23048
2022-12-12T12:00:00+00:00Z,2022-12-12T12:59:59.999000+00:00Z,0.9448,0.9786,0.8266,0.836,6105043.0,5551193.77093,18458,2765368.9,2532481.96103
2022-12-12T13:00:00+00:00Z,2022-12-12T13:59:59.999000+00:00Z,0.8361,0.8715,0.8121,0.8352,2967293.5,2506700.43636,8929,1481870.3,1253639.18938
2022-12-12T14:00:00+00:00Z,2022-12-12T14:59:59.999000+00:00Z,0.8342,0.86,0.7814,0.7873,2742333.3,2260522.82259,8066,1249585.6,1033145.71811
2022-12-12T15:00:00+00:00Z,2022-12-12T15:59:59.999000+00:00Z,0.7895,0.8246,0.7566,0.7842,2867342.7,2249968.89364,8117,1336652.7,1051778.92048
2022-12-12T16:00:00+00:00Z,2022-12-12T16:59:59.999000+00:00Z,0.7842,0.8094,0.7704,0.791,2111172.9,1676812.75899,6779,1048757.7,833938.29574
2022-12-12T17:00:00+00:00Z,2022-12-12T17:59:59.999000+00:00Z,0.7915,0.8222,0.7674,0.7999,2044102.6,1629863.88272,6363,1049797.2,837968.85569
2022-12-12T18:00:00+00:00Z,2022-12-12T18:59:59.999000+00:00Z,0.7972,0.8021,0.777,0.7892,993913.5,783079.31599,3122,406029.3,319962.45775
2022-12-12T19:00:00+00:00Z,2022-12-12T19:59:59.999000+00:00Z,0.7892,0.7956,0.75,0.7669,1139208.8,878754.18049,3362,477169.9,368831.8055
2022-12-12T20:00:00+00:00Z,2022-12-12T20:59:59.999000+00:00Z,0.7658,0.7672,0.71,0.725,1767053.9,1284773.96318,5151,826749.1,600156.03654
2022-12-12T21:00:00+00:00Z,2022-12-12T21:59:59.999000+00:00Z,0.7259,0.7433,0.7148,0.7351,730024.8,532120.75878,2435,416456.6,303300.1782
2022-12-12T22:00:00+00:00Z,2022-12-12T22:59:59.999000+00:00Z,0.7359,0.763,0.7126,0.7251,1198753.2,887959.82778,3575,543819.6,404077.57426
2022-12-12T23:00:00+00:00Z,2022-12-12T23:59:59.999000+00:00Z,0.7251,0.7789,0.7156,0.7649,1172449.6,880208.45306,3495,603945.1,452859.55514
2022-12-13T00:00:00+00:00Z,2022-12-13T00:59:59.999000+00:00Z,0.7649,0.7879,0.7449,0.7598,1234472.0,947543.10842,4009,603438.7,464430.5511
2022-12-13T01:00:00+00:00Z,2022-12-13T01:59:59.999000+00:00Z,0.7594,0.7637,0.7312,0.7635,678868.0,506696.41183,2106,296734.1,221719.97674
2022-12-13T02:00:00+00:00Z,2022-12-13T02:59:59.999000+00:00Z,0.7634,0.8282,0.7463,0.8221,2139311.3,1700178.09009,4509,1147237.4,911176.43639
