# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,MEMEUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2023-11-03T08:00:00+00:00Z
# t0_final_iso,2023-11-03T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,0b0d925efb2ff8aa
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-11-03T08:00:00+00:00Z,2023-11-03T08:59:59.999000+00:00Z,0.001,0.1,0.001,0.020096,3095518117.0,71950808.395916,256487,1525391144.0,35548708.098742
2023-11-03T09:00:00+00:00Z,2023-11-03T09:59:59.999000+00:00Z,0.02008,0.021631,0.01848,0.020769,1447854069.0,28689071.252517,117268,747717263.0,14866007.969928
2023-11-03T10:00:00+00:00Z,2023-11-03T10:59:59.999000+00:00Z,0.020769,0.02217,0.020703,0.021438,880091848.0,19000751.812408,95224,456008198.0,9848341.108362
2023-11-03T11:00:00+00:00Z,2023-11-03T11:59:59.999000+00:00Z,0.021439,0.022888,0.021404,0.022263,631371539.0,14116751.639237,65258,319383297.0,7142597.915091
2023-11-03T12:00:00+00:00Z,2023-11-03T12:59:59.999000+00:00Z,0.02226,0.025479,0.022,0.025468,964625427.0,22652169.728497,93836,559937077.0,13145840.635759
2023-11-03T13:00:00+00:00Z,2023-11-03T13:59:59.999000+00:00Z,0.025468,0.029402,0.02506,0.028,2095385502.0,56986347.079993,235134,1110961605.0,30198544.916377
2023-11-03T14:00:00+00:00Z,2023-11-03T14:59:59.999000+00:00Z,0.028,0.0292,0.023501,0.025863,1691046689.0,44157399.306235,183171,796831836.0,20816886.827538
2023-11-03T15:00:00+00:00Z,2023-11-03T15:59:59.999000+00:00Z,0.025851,0.026244,0.023158,0.0243,827500351.0,20943632.992908,84266,387280864.0,9830265.959219
2023-11-03T16:00:00+00:00Z,2023-11-03T16:59:59.999000+00:00Z,0.024304,0.02486,0.02222,0.023299,761633790.0,17865834.531194,78252,349662771.0,8212959.045785
2023-11-03T17:00:00+00:00Z,2023-11-03T17:59:59.999000+00:00Z,0.023298,0.024969,0.023029,0.02439,607183056.0,14647863.735004,53076,322756011.0,7786603.613821
2023-11-03T18:00:00+00:00Z,2023-11-03T18:59:59.999000+00:00Z,0.024385,0.02445,0.023011,0.023035,320400765.0,7627657.749032,29927,157750951.0,3760583.613222
2023-11-03T19:00:00+00:00Z,2023-11-03T19:59:59.999000+00:00Z,0.023034,0.023876,0.022699,0.023708,314259499.0,7365470.100005,28554,153452474.0,3600259.376827
2023-11-03T20:00:00+00:00Z,2023-11-03T20:59:59.999000+00:00Z,0.023697,0.024322,0.023228,0.024322,209013574.0,4948570.367325,20288,106258970.0,2519208.402662
2023-11-03T21:00:00+00:00Z,2023-11-03T21:59:59.999000+00:00Z,0.024322,0.0249,0.023717,0.024294,346984307.0,8458802.330822,35917,176114463.0,4297278.194137
2023-11-03T22:00:00+00:00Z,2023-11-03T22:59:59.999000+00:00Z,0.024295,0.0257,0.024275,0.025456,359193792.0,8979026.528042,36435,192550145.0,4810821.896543
2023-11-03T23:00:00+00:00Z,2023-11-03T23:59:59.999000+00:00Z,0.025455,0.02723,0.025334,0.026208,614161770.0,16141345.289287,53044,310339739.0,8165590.141765
2023-11-04T00:00:00+00:00Z,2023-11-04T00:59:59.999000+00:00Z,0.026186,0.026358,0.024706,0.024965,365852208.0,9311915.724679,37114,175920559.0,4480785.555168
2023-11-04T01:00:00+00:00Z,2023-11-04T01:59:59.999000+00:00Z,0.024962,0.0265,0.024962,0.025946,260971884.0,6710468.356533,25803,136150572.0,3501432.366055
2023-11-04T02:00:00+00:00Z,2023-11-04T02:59:59.999000+00:00Z,0.025946,0.025949,0.022801,0.023245,542200152.0,12905752.080623,48415,243099136.0,5779965.740829
2023-11-04T03:00:00+00:00Z,2023-11-04T03:59:59.999000+00:00Z,0.023234,0.023889,0.023099,0.023518,155874853.0,3673738.54639,15183,74666348.0,1760510.694479
2023-11-04T04:00:00+00:00Z,2023-11-04T04:59:59.999000+00:00Z,0.02352,0.024145,0.023,0.02408,214992407.0,5069575.005315,18511,102432796.0,2421597.752821
2023-11-04T05:00:00+00:00Z,2023-11-04T05:59:59.999000+00:00Z,0.02408,0.02476,0.023524,0.024462,253871596.0,6145837.952517,22781,127919365.0,3101305.895628
2023-11-04T06:00:00+00:00Z,2023-11-04T06:59:59.999000+00:00Z,0.024459,0.0256,0.024208,0.024633,386587048.0,9633454.581351,33691,192370841.0,4793379.142822
2023-11-04T07:00:00+00:00Z,2023-11-04T07:59:59.999000+00:00Z,0.024632,0.0248,0.024115,0.024348,202783438.0,4964196.775506,19963,96951501.0,2374539.626566
2023-11-04T08:00:00+00:00Z,2023-11-04T08:59:59.999000+00:00Z,0.024344,0.024619,0.023258,0.024088,305863803.0,7361645.299244,29574,151236115.0,3641652.299868
