# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,JOEUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2021-12-28T11:00:00+00:00Z
# t0_final_iso,2021-12-28T11:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,56fcb4c17d7963c6
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-12-28T11:00:00+00:00Z,2021-12-28T11:59:59.999000+00:00Z,2.21,2.79,2.21,2.427,8456452.33,21721621.07158,58202,4382013.92,11316194.02352
2021-12-28T12:00:00+00:00Z,2021-12-28T12:59:59.999000+00:00Z,2.427,2.544,2.414,2.472,1897900.6,4730287.18357,14273,974858.28,2430939.08728
2021-12-28T13:00:00+00:00Z,2021-12-28T13:59:59.999000+00:00Z,2.471,2.477,2.335,2.411,961400.69,2330669.48031,7726,375627.23,912220.02355
2021-12-28T14:00:00+00:00Z,2021-12-28T14:59:59.999000+00:00Z,2.412,2.423,2.294,2.35,840080.09,1977141.28429,5789,385193.43,907798.37452
2021-12-28T15:00:00+00:00Z,2021-12-28T15:59:59.999000+00:00Z,2.35,2.439,2.33,2.414,635638.47,1509952.33968,3980,348543.62,827545.58815
2021-12-28T16:00:00+00:00Z,2021-12-28T16:59:59.999000+00:00Z,2.412,2.419,2.262,2.344,783704.09,1826200.84737,4798,381943.11,889926.76
2021-12-28T17:00:00+00:00Z,2021-12-28T17:59:59.999000+00:00Z,2.344,2.355,2.224,2.241,466153.97,1062891.79972,3072,238073.16,543660.23545
2021-12-28T18:00:00+00:00Z,2021-12-28T18:59:59.999000+00:00Z,2.24,2.314,2.225,2.241,502540.53,1135619.66376,3169,206638.77,466539.33602
2021-12-28T19:00:00+00:00Z,2021-12-28T19:59:59.999000+00:00Z,2.242,2.299,2.202,2.289,485740.12,1089104.42238,2830,217600.49,489047.61486
2021-12-28T20:00:00+00:00Z,2021-12-28T20:59:59.999000+00:00Z,2.29,2.456,2.245,2.359,807108.45,1909693.38069,5735,396994.47,938957.59059
2021-12-28T21:00:00+00:00Z,2021-12-28T21:59:59.999000+00:00Z,2.358,2.49,2.329,2.367,655878.05,1562852.48284,4237,294224.95,701979.48041
2021-12-28T22:00:00+00:00Z,2021-12-28T22:59:59.999000+00:00Z,2.367,2.406,2.306,2.374,445402.14,1055798.19631,2573,209360.88,496738.06548
