# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,VRAUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2023-03-13T10:00:00+00:00Z
# t0_final_iso,2023-03-13T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,8a26550f9eb7653c
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-03-13T10:00:00+00:00Z,2023-03-13T11:00:00+00:00Z,0.005,0.007766,0.00416,0.006285,54709962.49,323426.53476549,0,0,0
2023-03-13T11:00:00+00:00Z,2023-03-13T12:00:00+00:00Z,0.006285,0.006397,0.0062,0.006201,6456980.32,40666.85707668,0,0,0
2023-03-13T12:00:00+00:00Z,2023-03-13T13:00:00+00:00Z,0.006201,0.006298,0.006065,0.00616,5050050.99,31203.88559548,0,0,0
2023-03-13T13:00:00+00:00Z,2023-03-13T14:00:00+00:00Z,0.00616,0.0064,0.006065,0.006396,6543688.16,40978.09158069,0,0,0
2023-03-13T14:00:00+00:00Z,2023-03-13T15:00:00+00:00Z,0.006396,0.0067,0.006201,0.00661,10766549.33,70420.27250347,0,0,0
2023-03-13T15:00:00+00:00Z,2023-03-13T16:00:00+00:00Z,0.00661,0.007357,0.006433,0.0069,21283172.59,144906.35099638,0,0,0
2023-03-13T16:00:00+00:00Z,2023-03-13T17:00:00+00:00Z,0.0069,0.006988,0.0067,0.0068,10327985.31,70555.16927058,0,0,0
2023-03-13T17:00:00+00:00Z,2023-03-13T18:00:00+00:00Z,0.0068,0.0069,0.006627,0.006872,5984127.39,40436.12495819,0,0,0
2023-03-13T18:00:00+00:00Z,2023-03-13T19:00:00+00:00Z,0.006872,0.007,0.006736,0.006811,6806292.58,46485.92509594,0,0,0
2023-03-13T19:00:00+00:00Z,2023-03-13T20:00:00+00:00Z,0.006811,0.0069,0.0067,0.006886,5304060.41,35892.42453014,0,0,0
2023-03-13T20:00:00+00:00Z,2023-03-13T21:00:00+00:00Z,0.006886,0.007035,0.00675,0.006863,7188073.1,49502.97710658,0,0,0
2023-03-13T21:00:00+00:00Z,2023-03-13T22:00:00+00:00Z,0.006863,0.006999,0.006696,0.00685,8112267.54,55201.73001479,0,0,0
2023-03-13T22:00:00+00:00Z,2023-03-13T23:00:00+00:00Z,0.00685,0.006869,0.006736,0.006767,3165450.09,21502.75887607,0,0,0
2023-03-13T23:00:00+00:00Z,2023-03-14T00:00:00+00:00Z,0.006767,0.006988,0.006576,0.006736,7626958.94,51465.78931667,0,0,0
2023-03-14T00:00:00+00:00Z,2023-03-14T01:00:00+00:00Z,0.006736,0.007,0.0067,0.006702,5771418.96,39046.85602889,0,0,0
2023-03-14T01:00:00+00:00Z,2023-03-14T02:00:00+00:00Z,0.006702,0.006869,0.0067,0.006869,6745912.44,45530.68885355,0,0,0
2023-03-14T02:00:00+00:00Z,2023-03-14T03:00:00+00:00Z,0.006869,0.006948,0.006725,0.006817,6028311.15,40934.93169878,0,0,0
2023-03-14T03:00:00+00:00Z,2023-03-14T04:00:00+00:00Z,0.006817,0.00694,0.006737,0.006817,4257831.01,29031.63863637,0,0,0
2023-03-14T04:00:00+00:00Z,2023-03-14T05:00:00+00:00Z,0.006817,0.006869,0.006745,0.006798,4646111.79,31505.59714219,0,0,0
2023-03-14T05:00:00+00:00Z,2023-03-14T06:00:00+00:00Z,0.006798,0.00695,0.006736,0.006832,4741617.89,32434.82960466,0,0,0
2023-03-14T06:00:00+00:00Z,2023-03-14T07:00:00+00:00Z,0.006832,0.006845,0.006725,0.006737,4173061.6,28383.43686683,0,0,0
2023-03-14T07:00:00+00:00Z,2023-03-14T08:00:00+00:00Z,0.006737,0.0068,0.006556,0.006652,5767174.81,38609.68887306,0,0,0
2023-03-14T08:00:00+00:00Z,2023-03-14T09:00:00+00:00Z,0.006652,0.006669,0.00622,0.006392,7866742.72,50340.18926011,0,0,0
2023-03-14T09:00:00+00:00Z,2023-03-14T10:00:00+00:00Z,0.006392,0.006509,0.006133,0.006418,10571862.01,67273.71019107,0,0,0
