# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,XUSDUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-09-10T10:00:00+00:00Z
# t0_final_iso,2025-09-10T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,0e6706eb777ea868
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-09-10T10:00:00+00:00Z,2025-09-10T11:00:00+00:00Z,0.9999,1.002,0.98,1.0003,281351.85,292136.953205,0,0,0
2025-09-10T11:00:00+00:00Z,2025-09-10T12:00:00+00:00Z,1.0003,1.0008,1.0003,1.0008,22041.66,22055.938137,0,0,0
2025-09-10T12:00:00+00:00Z,2025-09-10T13:00:00+00:00Z,1.0008,1.0008,1.0003,1.0005,60380.3,60419.262183,0,0,0
2025-09-10T13:00:00+00:00Z,2025-09-10T14:00:00+00:00Z,1.0005,1.0008,1.0005,1.0006,45117.77,45146.23302,0,0,0
2025-09-10T14:00:00+00:00Z,2025-09-10T15:00:00+00:00Z,1.0006,1.0006,1.0005,1.0006,24207.04,24221.180582,0,0,0
2025-09-10T15:00:00+00:00Z,2025-09-10T16:00:00+00:00Z,1.0006,1.0009,1.0005,1.0009,68279.67,68325.305526,0,0,0
2025-09-10T16:00:00+00:00Z,2025-09-10T17:00:00+00:00Z,1.0009,1.001,1.0006,1.0009,20039.92,20056.124243,0,0,0
2025-09-10T17:00:00+00:00Z,2025-09-10T18:00:00+00:00Z,1.0009,1.001,1.0009,1.001,9708.03,9717.597487,0,0,0
2025-09-10T18:00:00+00:00Z,2025-09-10T19:00:00+00:00Z,1.001,1.001,1.0007,1.0009,27624.06,27651.045664,0,0,0
2025-09-10T19:00:00+00:00Z,2025-09-10T20:00:00+00:00Z,1.0009,1.001,1.0008,1.001,10884.13,10894.461447,0,0,0
2025-09-10T20:00:00+00:00Z,2025-09-10T21:00:00+00:00Z,1.001,1.001,1.0009,1.001,12423.96,12436.253578,0,0,0
2025-09-10T21:00:00+00:00Z,2025-09-10T22:00:00+00:00Z,1.001,1.001,1.0009,1.001,20993.86,21014.532273,0,0,0
2025-09-10T22:00:00+00:00Z,2025-09-10T23:00:00+00:00Z,1.001,1.002,1.0009,1.0017,42861.89,42905.674481,0,0,0
2025-09-10T23:00:00+00:00Z,2025-09-11T00:00:00+00:00Z,1.0017,1.002,1.0009,1.0019,15180.54,15207.096012,0,0,0
2025-09-11T00:00:00+00:00Z,2025-09-11T01:00:00+00:00Z,1.0019,1.0019,1.0009,1.001,10167.41,10177.30298,0,0,0
2025-09-11T01:00:00+00:00Z,2025-09-11T02:00:00+00:00Z,1.001,1.0012,1.0009,1.001,20350.82,20369.746821,0,0,0
2025-09-11T02:00:00+00:00Z,2025-09-11T03:00:00+00:00Z,1.001,1.002,1.001,1.0013,19984.23,20017.912551,0,0,0
2025-09-11T03:00:00+00:00Z,2025-09-11T04:00:00+00:00Z,1.0013,1.0028,1.0011,1.0027,87803.42,87976.652498,0,0,0
