# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,USDEUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-04-02T08:00:00+00:00Z
# t0_final_iso,2024-04-02T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,7fc8a0993a41a82f
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-04-02T08:00:00+00:00Z,2024-04-02T09:00:00+00:00Z,0.999,1.008,0.9975,0.9997,991494.73,993439.49162,0,0,0
2024-04-02T09:00:00+00:00Z,2024-04-02T10:00:00+00:00Z,0.9997,1.0007,0.9991,1.0004,638177.54,638329.09454,0,0,0
2024-04-02T10:00:00+00:00Z,2024-04-02T11:00:00+00:00Z,1.0004,1.0007,0.9996,1.0,536906.69,537003.090137,0,0,0
2024-04-02T11:00:00+00:00Z,2024-04-02T12:00:00+00:00Z,1.0,1.0003,0.9995,0.9999,76572.22,76566.332691,0,0,0
2024-04-02T12:00:00+00:00Z,2024-04-02T13:00:00+00:00Z,0.9999,1.0004,0.9999,1.0,28608.47,28612.179158,0,0,0
2024-04-02T13:00:00+00:00Z,2024-04-02T14:00:00+00:00Z,1.0,1.0003,0.9995,1.0001,34887.22,34886.025514,0,0,0
2024-04-02T14:00:00+00:00Z,2024-04-02T15:00:00+00:00Z,1.0001,1.0004,0.9995,1.0,78153.35,78156.466111,0,0,0
2024-04-02T15:00:00+00:00Z,2024-04-02T16:00:00+00:00Z,1.0,1.0008,0.9996,1.0,326594.36,326701.468036,0,0,0
2024-04-02T16:00:00+00:00Z,2024-04-02T17:00:00+00:00Z,1.0,1.0003,0.9997,1.0002,177917.0,177934.658082,0,0,0
2024-04-02T17:00:00+00:00Z,2024-04-02T18:00:00+00:00Z,1.0002,1.0003,0.9999,1.0,84007.98,84007.356572,0,0,0
2024-04-02T18:00:00+00:00Z,2024-04-02T19:00:00+00:00Z,1.0,1.0001,1.0,1.0,27487.8,27488.770907,0,0,0
2024-04-02T19:00:00+00:00Z,2024-04-02T20:00:00+00:00Z,1.0,1.0009,1.0,1.0001,15735.25,15737.158398,0,0,0
2024-04-02T20:00:00+00:00Z,2024-04-02T21:00:00+00:00Z,1.0001,1.0004,1.0,1.0,22844.94,22845.285927,0,0,0
2024-04-02T21:00:00+00:00Z,2024-04-02T22:00:00+00:00Z,1.0,1.0003,1.0,1.0001,28562.25,28565.071509,0,0,0
2024-04-02T22:00:00+00:00Z,2024-04-02T23:00:00+00:00Z,1.0001,1.0001,1.0,1.0,11593.68,11593.961062,0,0,0
2024-04-02T23:00:00+00:00Z,2024-04-03T00:00:00+00:00Z,1.0,1.0001,1.0,1.0,19424.77,19425.57395,0,0,0
2024-04-03T00:00:00+00:00Z,2024-04-03T01:00:00+00:00Z,1.0,1.0002,1.0,1.0002,131442.27,131452.421607,0,0,0
2024-04-03T01:00:00+00:00Z,2024-04-03T02:00:00+00:00Z,1.0002,1.0002,1.0,1.0001,2372.45,2372.495698,0,0,0
2024-04-03T02:00:00+00:00Z,2024-04-03T03:00:00+00:00Z,1.0001,1.0002,1.0,1.0001,4667.05,4667.445914,0,0,0
2024-04-03T03:00:00+00:00Z,2024-04-03T04:00:00+00:00Z,1.0001,1.0002,1.0,1.0001,19950.1,19952.483155,0,0,0
2024-04-03T04:00:00+00:00Z,2024-04-03T05:00:00+00:00Z,1.0001,1.0001,1.0,1.0,5678.74,5678.899574,0,0,0
2024-04-03T05:00:00+00:00Z,2024-04-03T06:00:00+00:00Z,1.0,1.0002,1.0,1.0001,32219.95,32223.947046,0,0,0
2024-04-03T06:00:00+00:00Z,2024-04-03T07:00:00+00:00Z,1.0001,1.0005,1.0001,1.0004,98509.36,98546.616898,0,0,0
2024-04-03T07:00:00+00:00Z,2024-04-03T08:00:00+00:00Z,1.0004,1.0009,1.0,1.0004,294365.7,294553.338181,0,0,0
2024-04-03T08:00:00+00:00Z,2024-04-03T09:00:00+00:00Z,1.0004,1.0009,1.0,1.0,100457.31,100493.488129,0,0,0
2024-04-03T09:00:00+00:00Z,2024-04-03T10:00:00+00:00Z,1.0,1.0009,0.9999,1.0003,145685.95,145710.876263,0,0,0
2024-04-03T10:00:00+00:00Z,2024-04-03T11:00:00+00:00Z,1.0003,1.0009,0.9999,1.0003,134063.36,134114.660622,0,0,0
2024-04-03T11:00:00+00:00Z,2024-04-03T12:00:00+00:00Z,1.0003,1.0005,1.0001,1.0003,111586.12,111622.85386,0,0,0
2024-04-03T12:00:00+00:00Z,2024-04-03T13:00:00+00:00Z,1.0003,1.001,1.0002,1.0006,208793.36,208927.516391,0,0,0
