# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,PELLUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-03-13T10:00:00+00:00Z
# t0_final_iso,2025-03-13T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,d38ad0dfc623a141
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-03-13T10:00:00+00:00Z,2025-03-13T11:00:00+00:00Z,0.00714,0.082,0.00714,0.01015,198765003.0,3131761.23945,0,0,0
2025-03-13T11:00:00+00:00Z,2025-03-13T12:00:00+00:00Z,0.01015,0.01164,0.0088,0.00898,65768047.0,660356.59799,0,0,0
2025-03-13T12:00:00+00:00Z,2025-03-13T13:00:00+00:00Z,0.00898,0.00993,0.00851,0.00894,49406097.0,458964.09344,0,0,0
2025-03-13T13:00:00+00:00Z,2025-03-13T14:00:00+00:00Z,0.00894,0.0094,0.00866,0.00919,39160576.0,357260.72809,0,0,0
2025-03-13T14:00:00+00:00Z,2025-03-13T15:00:00+00:00Z,0.00919,0.00919,0.00857,0.00863,35035477.0,310436.79405,0,0,0
2025-03-13T15:00:00+00:00Z,2025-03-13T16:00:00+00:00Z,0.00863,0.00895,0.00824,0.0087,28775775.0,251210.98016,0,0,0
2025-03-13T16:00:00+00:00Z,2025-03-13T17:00:00+00:00Z,0.0087,0.00895,0.00845,0.00885,20324876.0,177161.38592,0,0,0
2025-03-13T17:00:00+00:00Z,2025-03-13T18:00:00+00:00Z,0.00885,0.00935,0.00871,0.00902,13666904.0,122460.54418,0,0,0
2025-03-13T18:00:00+00:00Z,2025-03-13T19:00:00+00:00Z,0.00902,0.00906,0.00855,0.00865,8835438.0,77378.39183,0,0,0
2025-03-13T19:00:00+00:00Z,2025-03-13T20:00:00+00:00Z,0.00865,0.00904,0.00864,0.00875,26732130.0,235274.67047,0,0,0
2025-03-13T20:00:00+00:00Z,2025-03-13T21:00:00+00:00Z,0.00875,0.00897,0.0083,0.00879,15871088.0,138730.46575,0,0,0
2025-03-13T21:00:00+00:00Z,2025-03-13T22:00:00+00:00Z,0.00879,0.00902,0.0087,0.00879,13654057.0,120161.357,0,0,0
2025-03-13T22:00:00+00:00Z,2025-03-13T23:00:00+00:00Z,0.00879,0.00879,0.0086,0.00863,4297225.0,37373.28475,0,0,0
2025-03-13T23:00:00+00:00Z,2025-03-14T00:00:00+00:00Z,0.00863,0.0093,0.0083,0.00879,52691185.0,458388.75575,0,0,0
2025-03-14T00:00:00+00:00Z,2025-03-14T01:00:00+00:00Z,0.00879,0.0089,0.00851,0.00868,27701892.0,241259.36063,0,0,0
2025-03-14T01:00:00+00:00Z,2025-03-14T02:00:00+00:00Z,0.00868,0.00924,0.00859,0.00901,15545476.0,138177.95959,0,0,0
2025-03-14T02:00:00+00:00Z,2025-03-14T03:00:00+00:00Z,0.00901,0.00932,0.00877,0.00926,9076993.0,82029.10765,0,0,0
2025-03-14T03:00:00+00:00Z,2025-03-14T04:00:00+00:00Z,0.00926,0.00985,0.00891,0.00899,18972351.0,176540.81897,0,0,0
2025-03-14T04:00:00+00:00Z,2025-03-14T05:00:00+00:00Z,0.00899,0.01257,0.00894,0.0114,28093753.0,305736.32422,0,0,0
2025-03-14T05:00:00+00:00Z,2025-03-14T06:00:00+00:00Z,0.0114,0.01245,0.011,0.01228,21672210.0,252699.06945,0,0,0
2025-03-14T06:00:00+00:00Z,2025-03-14T07:00:00+00:00Z,0.01228,0.01405,0.0118,0.01319,35379131.0,464028.15197,0,0,0
2025-03-14T07:00:00+00:00Z,2025-03-14T08:00:00+00:00Z,0.01319,0.01335,0.01185,0.01299,18957700.0,238824.02648,0,0,0
2025-03-14T08:00:00+00:00Z,2025-03-14T09:00:00+00:00Z,0.01299,0.0166,0.01292,0.01518,37454343.0,561631.02878,0,0,0
2025-03-14T09:00:00+00:00Z,2025-03-14T10:00:00+00:00Z,0.01518,0.01695,0.01458,0.01672,30734194.0,481740.63658,0,0,0
2025-03-14T10:00:00+00:00Z,2025-03-14T11:00:00+00:00Z,0.01672,0.01745,0.01481,0.01738,44319225.0,713146.10402,0,0,0
2025-03-14T11:00:00+00:00Z,2025-03-14T12:00:00+00:00Z,0.01738,0.0175,0.016,0.0174,25959669.0,433741.35869,0,0,0
2025-03-14T12:00:00+00:00Z,2025-03-14T13:00:00+00:00Z,0.0174,0.02173,0.01731,0.02076,63849819.0,1262738.83677,0,0,0
2025-03-14T13:00:00+00:00Z,2025-03-14T14:00:00+00:00Z,0.02076,0.02723,0.0207,0.02315,97080585.0,2319951.88308,0,0,0
2025-03-14T14:00:00+00:00Z,2025-03-14T15:00:00+00:00Z,0.02315,0.02348,0.01938,0.02033,65848766.0,1387556.95484,0,0,0
2025-03-14T15:00:00+00:00Z,2025-03-14T16:00:00+00:00Z,0.02033,0.02098,0.016,0.01621,51860625.0,942833.21254,0,0,0
2025-03-14T16:00:00+00:00Z,2025-03-14T17:00:00+00:00Z,0.01621,0.02127,0.01621,0.01929,68251479.0,1246354.22074,0,0,0
2025-03-14T17:00:00+00:00Z,2025-03-14T18:00:00+00:00Z,0.01929,0.02051,0.01787,0.0194,62202914.0,1197279.39166,0,0,0
2025-03-14T18:00:00+00:00Z,2025-03-14T19:00:00+00:00Z,0.0194,0.01943,0.0174,0.01861,30688770.0,562130.77912,0,0,0
2025-03-14T19:00:00+00:00Z,2025-03-14T20:00:00+00:00Z,0.01861,0.01955,0.01779,0.01823,30885367.0,577882.66544,0,0,0
2025-03-14T20:00:00+00:00Z,2025-03-14T21:00:00+00:00Z,0.01823,0.0186,0.01739,0.01819,14977855.0,268436.6255,0,0,0
2025-03-14T21:00:00+00:00Z,2025-03-14T22:00:00+00:00Z,0.01819,0.01996,0.01784,0.01981,19969164.0,381567.15798,0,0,0
2025-03-14T22:00:00+00:00Z,2025-03-14T23:00:00+00:00Z,0.01981,0.02463,0.01967,0.0216,63265470.0,1434977.01636,0,0,0
2025-03-14T23:00:00+00:00Z,2025-03-15T00:00:00+00:00Z,0.0216,0.02335,0.02045,0.02225,34460269.0,752577.98222,0,0,0
2025-03-15T00:00:00+00:00Z,2025-03-15T01:00:00+00:00Z,0.02225,0.02561,0.02173,0.0251,37636222.0,886907.04102,0,0,0
2025-03-15T01:00:00+00:00Z,2025-03-15T02:00:00+00:00Z,0.0251,0.0251,0.02127,0.02181,34407807.0,804960.67045,0,0,0
