# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,PRIMEUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2023-03-01T19:00:00+00:00Z
# t0_final_iso,2023-03-01T19:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,a2cc2e2f080f906b
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-03-01T19:00:00+00:00Z,2023-03-01T20:00:00+00:00Z,3.75,10.999,3.75,4.981,125666.62,697046.52852,0,0,0
2023-03-01T20:00:00+00:00Z,2023-03-01T21:00:00+00:00Z,4.981,5.659,4.912,5.193,60292.19,316532.78999,0,0,0
2023-03-01T21:00:00+00:00Z,2023-03-01T22:00:00+00:00Z,5.193,5.569,4.917,5.569,27608.59,143399.48483,0,0,0
2023-03-01T22:00:00+00:00Z,2023-03-01T23:00:00+00:00Z,5.569,6.0,5.444,5.722,23085.45,132892.11808,0,0,0
2023-03-01T23:00:00+00:00Z,2023-03-02T00:00:00+00:00Z,5.722,5.821,5.219,5.585,7126.49,39342.39584,0,0,0
2023-03-02T00:00:00+00:00Z,2023-03-02T01:00:00+00:00Z,5.585,5.885,5.31,5.857,7697.64,42520.03429,0,0,0
2023-03-02T01:00:00+00:00Z,2023-03-02T02:00:00+00:00Z,5.857,5.857,5.47,5.541,6929.85,38801.12501,0,0,0
2023-03-02T02:00:00+00:00Z,2023-03-02T03:00:00+00:00Z,5.541,5.541,5.01,5.088,2798.09,14456.91502,0,0,0
2023-03-02T03:00:00+00:00Z,2023-03-02T04:00:00+00:00Z,5.088,5.088,4.542,5.0,5619.4,27678.65858,0,0,0
2023-03-02T04:00:00+00:00Z,2023-03-02T05:00:00+00:00Z,5.0,5.445,4.957,5.2,3610.98,18918.27353,0,0,0
2023-03-02T05:00:00+00:00Z,2023-03-02T06:00:00+00:00Z,5.2,5.2,4.659,4.685,18009.65,86566.81423,0,0,0
2023-03-02T06:00:00+00:00Z,2023-03-02T07:00:00+00:00Z,4.685,4.897,4.579,4.653,6810.98,32165.71558,0,0,0
2023-03-02T07:00:00+00:00Z,2023-03-02T08:00:00+00:00Z,4.653,4.664,3.76,4.25,28931.92,121796.64868,0,0,0
2023-03-02T08:00:00+00:00Z,2023-03-02T09:00:00+00:00Z,4.25,4.35,3.93,4.172,29190.54,119749.75728,0,0,0
2023-03-02T09:00:00+00:00Z,2023-03-02T10:00:00+00:00Z,4.172,4.298,3.85,3.921,6855.49,27797.81895,0,0,0
2023-03-02T10:00:00+00:00Z,2023-03-02T11:00:00+00:00Z,3.921,4.007,3.886,3.935,6784.11,26715.40134,0,0,0
2023-03-02T11:00:00+00:00Z,2023-03-02T12:00:00+00:00Z,3.935,4.239,3.839,4.239,6193.47,24641.68269,0,0,0
2023-03-02T12:00:00+00:00Z,2023-03-02T13:00:00+00:00Z,4.239,4.239,3.64,3.64,8021.36,31271.44908,0,0,0
2023-03-02T13:00:00+00:00Z,2023-03-02T14:00:00+00:00Z,3.64,3.716,3.5,3.707,8839.12,32176.71289,0,0,0
2023-03-02T14:00:00+00:00Z,2023-03-02T15:00:00+00:00Z,3.707,3.877,3.55,3.807,15186.78,56611.79782,0,0,0
2023-03-02T15:00:00+00:00Z,2023-03-02T16:00:00+00:00Z,3.807,4.093,3.67,4.093,7692.17,29922.61532,0,0,0
2023-03-02T16:00:00+00:00Z,2023-03-02T17:00:00+00:00Z,4.093,4.46,4.001,4.286,8769.43,36211.70457,0,0,0
2023-03-02T17:00:00+00:00Z,2023-03-02T18:00:00+00:00Z,4.286,4.459,4.01,4.044,14481.5,61587.09058,0,0,0
2023-03-02T18:00:00+00:00Z,2023-03-02T19:00:00+00:00Z,4.044,4.308,4.023,4.186,29388.43,122702.16739,0,0,0
2023-03-02T19:00:00+00:00Z,2023-03-02T20:00:00+00:00Z,4.186,4.186,3.671,3.905,9592.87,37854.42807,0,0,0
2023-03-02T20:00:00+00:00Z,2023-03-02T21:00:00+00:00Z,3.905,4.034,3.725,3.87,7603.62,29673.02062,0,0,0
2023-03-02T21:00:00+00:00Z,2023-03-02T22:00:00+00:00Z,3.87,4.0,3.839,3.887,8803.55,34422.95889,0,0,0
2023-03-02T22:00:00+00:00Z,2023-03-02T23:00:00+00:00Z,3.887,3.999,3.755,3.901,9029.86,35057.80485,0,0,0
2023-03-02T23:00:00+00:00Z,2023-03-03T00:00:00+00:00Z,3.901,3.984,3.73,3.73,6886.08,26397.94609,0,0,0
2023-03-03T00:00:00+00:00Z,2023-03-03T01:00:00+00:00Z,3.73,3.762,3.623,3.638,6521.23,24013.56723,0,0,0
2023-03-03T01:00:00+00:00Z,2023-03-03T02:00:00+00:00Z,3.638,3.784,3.123,3.245,10088.17,35932.52111,0,0,0
2023-03-03T02:00:00+00:00Z,2023-03-03T03:00:00+00:00Z,3.245,3.408,3.191,3.314,2824.17,9299.82527,0,0,0
