# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,KCSUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2023-11-30T10:00:00+00:00Z
# t0_final_iso,2023-11-30T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,8e0e0c3b89f7e59a
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-11-30T10:00:00+00:00Z,2023-11-30T11:00:00+00:00Z,7.0,8.3118,7.0,8.215,138417.58,1139896.927724,0,0,0
2023-11-30T11:00:00+00:00Z,2023-11-30T12:00:00+00:00Z,8.215,8.221,8.1014,8.1357,19696.62,160687.90414,0,0,0
2023-11-30T12:00:00+00:00Z,2023-11-30T13:00:00+00:00Z,8.1357,8.1577,8.0946,8.1178,12665.01,102932.440919,0,0,0
2023-11-30T13:00:00+00:00Z,2023-11-30T14:00:00+00:00Z,8.1178,8.1239,8.0596,8.0635,9812.66,79407.179788,0,0,0
2023-11-30T14:00:00+00:00Z,2023-11-30T15:00:00+00:00Z,8.0635,8.0873,7.9526,8.0148,10149.58,81585.294626,0,0,0
2023-11-30T15:00:00+00:00Z,2023-11-30T16:00:00+00:00Z,8.0148,8.05,7.9899,8.0453,5926.69,47540.986708,0,0,0
2023-11-30T16:00:00+00:00Z,2023-11-30T17:00:00+00:00Z,8.0453,8.05,8.001,8.0221,4993.57,40085.897625,0,0,0
2023-11-30T17:00:00+00:00Z,2023-11-30T18:00:00+00:00Z,8.0221,8.046,8.012,8.04,3230.09,25935.004375,0,0,0
2023-11-30T18:00:00+00:00Z,2023-11-30T19:00:00+00:00Z,8.04,8.0945,8.04,8.0646,3840.63,31003.352885,0,0,0
2023-11-30T19:00:00+00:00Z,2023-11-30T20:00:00+00:00Z,8.0646,8.0864,8.04,8.0556,3176.35,25619.709187,0,0,0
2023-11-30T20:00:00+00:00Z,2023-11-30T21:00:00+00:00Z,8.0556,8.0622,8.0167,8.0249,2547.82,20460.806965,0,0,0
2023-11-30T21:00:00+00:00Z,2023-11-30T22:00:00+00:00Z,8.0249,8.0249,7.9677,8.0073,1820.64,14552.02756,0,0,0
2023-11-30T22:00:00+00:00Z,2023-11-30T23:00:00+00:00Z,8.0073,8.0073,7.9569,7.959,1146.72,9151.957189,0,0,0
2023-11-30T23:00:00+00:00Z,2023-12-01T00:00:00+00:00Z,7.959,7.98,7.958,7.9749,1061.4,8457.993436,0,0,0
2023-12-01T00:00:00+00:00Z,2023-12-01T01:00:00+00:00Z,7.9749,8.0347,7.9707,8.0347,1886.82,15090.646208,0,0,0
