# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,ALCHUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-12-26T10:00:00+00:00Z
# t0_final_iso,2024-12-26T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,a4bc3996d554daee
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-12-26T10:00:00+00:00Z,2024-12-26T11:00:00+00:00Z,0.03,0.12555,0.03,0.08784,13991667.62,1300161.0314303,0,0,0
2024-12-26T11:00:00+00:00Z,2024-12-26T12:00:00+00:00Z,0.08784,0.09384,0.0855,0.09013,3524778.85,316807.0859054,0,0,0
2024-12-26T12:00:00+00:00Z,2024-12-26T13:00:00+00:00Z,0.09013,0.094,0.0899,0.09271,2031283.16,186818.9094411,0,0,0
2024-12-26T13:00:00+00:00Z,2024-12-26T14:00:00+00:00Z,0.09271,0.0929,0.08172,0.08194,3125728.14,271607.5996169,0,0,0
2024-12-26T14:00:00+00:00Z,2024-12-26T15:00:00+00:00Z,0.08194,0.08675,0.0818,0.08326,2767437.99,232172.2143819,0,0,0
2024-12-26T15:00:00+00:00Z,2024-12-26T16:00:00+00:00Z,0.08326,0.085,0.083,0.08319,1372325.79,115084.4236484,0,0,0
2024-12-26T16:00:00+00:00Z,2024-12-26T17:00:00+00:00Z,0.08319,0.08576,0.0812,0.08347,2047226.77,170274.2316311,0,0,0
2024-12-26T17:00:00+00:00Z,2024-12-26T18:00:00+00:00Z,0.08347,0.0857,0.08253,0.08353,842722.53,71141.8194962,0,0,0
2024-12-26T18:00:00+00:00Z,2024-12-26T19:00:00+00:00Z,0.08353,0.08418,0.081,0.081,865826.13,71803.0313209,0,0,0
2024-12-26T19:00:00+00:00Z,2024-12-26T20:00:00+00:00Z,0.081,0.08143,0.07696,0.07797,1242985.02,98050.8497597,0,0,0
