# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,TRCUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2023-12-22T10:00:00+00:00Z
# t0_final_iso,2023-12-22T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,b9027d5227bc5843
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-12-22T10:00:00+00:00Z,2023-12-22T11:00:00+00:00Z,0.07,0.11607,0.07,0.1067,11085629.6,1200733.033013,0,0,0
2023-12-22T11:00:00+00:00Z,2023-12-22T12:00:00+00:00Z,0.1067,0.10985,0.1057,0.10946,2393877.42,258496.9044739,0,0,0
2023-12-22T12:00:00+00:00Z,2023-12-22T13:00:00+00:00Z,0.10946,0.11061,0.10891,0.10971,8365669.43,918612.8054012,0,0,0
2023-12-22T13:00:00+00:00Z,2023-12-22T14:00:00+00:00Z,0.10971,0.113,0.10802,0.11191,8286142.97,915297.0761463,0,0,0
2023-12-22T14:00:00+00:00Z,2023-12-22T15:00:00+00:00Z,0.11191,0.1215,0.11175,0.12021,1378129.16,159506.2281295,0,0,0
2023-12-22T15:00:00+00:00Z,2023-12-22T16:00:00+00:00Z,0.12021,0.12101,0.12008,0.12059,427398.03,51512.525656,0,0,0
2023-12-22T16:00:00+00:00Z,2023-12-22T17:00:00+00:00Z,0.12059,0.12132,0.12003,0.12078,296544.92,35781.7974887,0,0,0
2023-12-22T17:00:00+00:00Z,2023-12-22T18:00:00+00:00Z,0.12078,0.121,0.11862,0.12033,300598.8,36130.1399152,0,0,0
2023-12-22T18:00:00+00:00Z,2023-12-22T19:00:00+00:00Z,0.12033,0.1209,0.12017,0.12042,189408.08,22823.6070338,0,0,0
2023-12-22T19:00:00+00:00Z,2023-12-22T20:00:00+00:00Z,0.12042,0.121,0.11982,0.12081,267080.79,32235.2879699,0,0,0
2023-12-22T20:00:00+00:00Z,2023-12-22T21:00:00+00:00Z,0.12081,0.12081,0.11993,0.12018,220603.0,26573.5379871,0,0,0
2023-12-22T21:00:00+00:00Z,2023-12-22T22:00:00+00:00Z,0.12018,0.12067,0.12011,0.12032,191731.47,23068.4664559,0,0,0
2023-12-22T22:00:00+00:00Z,2023-12-22T23:00:00+00:00Z,0.12032,0.12038,0.1187,0.11927,531640.99,63528.8612741,0,0,0
2023-12-22T23:00:00+00:00Z,2023-12-23T00:00:00+00:00Z,0.11927,0.11981,0.11927,0.11971,187121.05,22386.6110665,0,0,0
2023-12-23T00:00:00+00:00Z,2023-12-23T01:00:00+00:00Z,0.11971,0.1201,0.11958,0.11996,255485.95,30639.2783934,0,0,0
2023-12-23T01:00:00+00:00Z,2023-12-23T02:00:00+00:00Z,0.11996,0.12039,0.11913,0.12032,510946.99,61089.6346733,0,0,0
2023-12-23T02:00:00+00:00Z,2023-12-23T03:00:00+00:00Z,0.12032,0.12042,0.11999,0.12028,227609.59,27352.8420693,0,0,0
2023-12-23T03:00:00+00:00Z,2023-12-23T04:00:00+00:00Z,0.12028,0.12065,0.11985,0.12061,486325.78,58488.9283,0,0,0
2023-12-23T04:00:00+00:00Z,2023-12-23T05:00:00+00:00Z,0.12061,0.12062,0.12003,0.12003,221801.47,26692.2348837,0,0,0
2023-12-23T05:00:00+00:00Z,2023-12-23T06:00:00+00:00Z,0.12003,0.12029,0.11971,0.12015,430727.11,51688.1203064,0,0,0
2023-12-23T06:00:00+00:00Z,2023-12-23T07:00:00+00:00Z,0.12015,0.12021,0.11979,0.12005,234018.38,28090.5524606,0,0,0
2023-12-23T07:00:00+00:00Z,2023-12-23T08:00:00+00:00Z,0.12005,0.12032,0.11985,0.12003,204834.45,24611.1096989,0,0,0
2023-12-23T08:00:00+00:00Z,2023-12-23T09:00:00+00:00Z,0.12003,0.12026,0.11965,0.1197,340368.35,40792.0983958,0,0,0
2023-12-23T09:00:00+00:00Z,2023-12-23T10:00:00+00:00Z,0.1197,0.11987,0.11903,0.11919,442892.42,52889.1749129,0,0,0
2023-12-23T10:00:00+00:00Z,2023-12-23T11:00:00+00:00Z,0.11919,0.11919,0.11601,0.11657,1214341.95,142090.2282584,0,0,0
2023-12-23T11:00:00+00:00Z,2023-12-23T12:00:00+00:00Z,0.11657,0.11657,0.11501,0.11522,579581.99,66945.819207,0,0,0
2023-12-23T12:00:00+00:00Z,2023-12-23T13:00:00+00:00Z,0.11522,0.11548,0.1118,0.11202,379688.27,43312.2152565,0,0,0
2023-12-23T13:00:00+00:00Z,2023-12-23T14:00:00+00:00Z,0.11202,0.11446,0.10807,0.1096,392196.14,43321.4875748,0,0,0
2023-12-23T14:00:00+00:00Z,2023-12-23T15:00:00+00:00Z,0.1096,0.11,0.10916,0.10916,123476.18,13533.2554884,0,0,0
2023-12-23T15:00:00+00:00Z,2023-12-23T16:00:00+00:00Z,0.10916,0.11,0.10771,0.10796,334337.84,36190.871479,0,0,0
2023-12-23T16:00:00+00:00Z,2023-12-23T17:00:00+00:00Z,0.10796,0.10829,0.09995,0.10299,440331.8,46366.4832761,0,0,0
2023-12-23T17:00:00+00:00Z,2023-12-23T18:00:00+00:00Z,0.10299,0.1035,0.10244,0.10257,148368.33,15268.2376145,0,0,0
2023-12-23T18:00:00+00:00Z,2023-12-23T19:00:00+00:00Z,0.10257,0.10342,0.10179,0.10299,208847.27,21456.7620159,0,0,0
2023-12-23T19:00:00+00:00Z,2023-12-23T20:00:00+00:00Z,0.10299,0.10496,0.10289,0.10442,442205.81,46009.045852,0,0,0
2023-12-23T20:00:00+00:00Z,2023-12-23T21:00:00+00:00Z,0.10442,0.10443,0.1031,0.10312,306726.01,31855.0612693,0,0,0
2023-12-23T21:00:00+00:00Z,2023-12-23T22:00:00+00:00Z,0.10312,0.10321,0.09938,0.10084,523015.89,52354.5622401,0,0,0
2023-12-23T22:00:00+00:00Z,2023-12-23T23:00:00+00:00Z,0.10084,0.10111,0.09897,0.0993,278373.92,27749.5709923,0,0,0
2023-12-23T23:00:00+00:00Z,2023-12-24T00:00:00+00:00Z,0.0993,0.09958,0.09804,0.09866,250022.3,24701.5067714,0,0,0
2023-12-24T00:00:00+00:00Z,2023-12-24T01:00:00+00:00Z,0.09866,0.09971,0.09861,0.09886,184148.4,18259.2911647,0,0,0
2023-12-24T01:00:00+00:00Z,2023-12-24T02:00:00+00:00Z,0.09886,0.09924,0.09801,0.09857,232089.48,22834.7482386,0,0,0
2023-12-24T02:00:00+00:00Z,2023-12-24T03:00:00+00:00Z,0.09857,0.09997,0.09833,0.0994,287811.92,28626.013615,0,0,0
2023-12-24T03:00:00+00:00Z,2023-12-24T04:00:00+00:00Z,0.0994,0.10084,0.09929,0.10022,288671.59,28958.4909167,0,0,0
2023-12-24T04:00:00+00:00Z,2023-12-24T05:00:00+00:00Z,0.10022,0.10113,0.09982,0.10081,179564.0,18020.5640185,0,0,0
2023-12-24T05:00:00+00:00Z,2023-12-24T06:00:00+00:00Z,0.10081,0.10144,0.09872,0.09881,236614.25,23606.5718417,0,0,0
2023-12-24T06:00:00+00:00Z,2023-12-24T07:00:00+00:00Z,0.09881,0.09957,0.09827,0.09873,189274.13,18694.2793132,0,0,0
2023-12-24T07:00:00+00:00Z,2023-12-24T08:00:00+00:00Z,0.09873,0.099,0.09792,0.09809,276193.41,27159.6145396,0,0,0
2023-12-24T08:00:00+00:00Z,2023-12-24T09:00:00+00:00Z,0.09809,0.09944,0.098,0.09939,184434.31,18206.4308071,0,0,0
2023-12-24T09:00:00+00:00Z,2023-12-24T10:00:00+00:00Z,0.09939,0.0999,0.09808,0.09897,183529.7,18161.0125833,0,0,0
2023-12-24T10:00:00+00:00Z,2023-12-24T11:00:00+00:00Z,0.09897,0.10008,0.09752,0.09819,197032.88,19438.676256,0,0,0
2023-12-24T11:00:00+00:00Z,2023-12-24T12:00:00+00:00Z,0.09819,0.09889,0.09794,0.09811,172251.99,16928.6645849,0,0,0
2023-12-24T12:00:00+00:00Z,2023-12-24T13:00:00+00:00Z,0.09811,0.09888,0.098,0.09801,144290.09,14191.1581542,0,0,0
2023-12-24T13:00:00+00:00Z,2023-12-24T14:00:00+00:00Z,0.09801,0.09872,0.09782,0.09809,131197.91,12878.3688707,0,0,0
