# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,MAJORUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-11-28T12:00:00+00:00Z
# t0_final_iso,2024-11-28T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,d1c1fed155df42f0
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-11-28T12:00:00+00:00Z,2024-11-28T13:00:00+00:00Z,0.5,1.5,0.5,1.1779,16649530.7,17467313.36519,0,0,0
2024-11-28T13:00:00+00:00Z,2024-11-28T14:00:00+00:00Z,1.1779,1.24,1.0118,1.1379,5329662.4,6143236.48217,0,0,0
2024-11-28T14:00:00+00:00Z,2024-11-28T15:00:00+00:00Z,1.1379,1.1394,1.0562,1.0766,2186968.4,2407663.43683,0,0,0
2024-11-28T15:00:00+00:00Z,2024-11-28T16:00:00+00:00Z,1.0766,1.0882,0.9541,1.0424,2870672.6,2934729.2092,0,0,0
2024-11-28T16:00:00+00:00Z,2024-11-28T17:00:00+00:00Z,1.0424,1.1732,0.9656,1.0022,4110419.0,4260193.61721,0,0,0
2024-11-28T17:00:00+00:00Z,2024-11-28T18:00:00+00:00Z,1.0022,1.1295,0.9989,1.1035,2112403.0,2244566.38439,0,0,0
2024-11-28T18:00:00+00:00Z,2024-11-28T19:00:00+00:00Z,1.1035,1.155,1.0485,1.1502,1477133.0,1624952.50274,0,0,0
2024-11-28T19:00:00+00:00Z,2024-11-28T20:00:00+00:00Z,1.1502,1.3855,1.1236,1.3213,4359666.0,5436712.02216,0,0,0
2024-11-28T20:00:00+00:00Z,2024-11-28T21:00:00+00:00Z,1.3213,1.3265,1.203,1.2653,2951523.6,3747888.06595,0,0,0
2024-11-28T21:00:00+00:00Z,2024-11-28T22:00:00+00:00Z,1.2653,1.2872,1.2,1.2273,1394630.8,1738121.89259,0,0,0
2024-11-28T22:00:00+00:00Z,2024-11-28T23:00:00+00:00Z,1.2273,1.2431,1.121,1.197,1402925.7,1658423.8484,0,0,0
2024-11-28T23:00:00+00:00Z,2024-11-29T00:00:00+00:00Z,1.197,1.2855,1.1694,1.2181,1388836.3,1730840.06312,0,0,0
2024-11-29T00:00:00+00:00Z,2024-11-29T01:00:00+00:00Z,1.2181,1.2978,1.1857,1.2153,1180997.9,1474539.09825,0,0,0
2024-11-29T01:00:00+00:00Z,2024-11-29T02:00:00+00:00Z,1.2153,1.2474,1.1681,1.233,755379.1,917085.26066,0,0,0
2024-11-29T02:00:00+00:00Z,2024-11-29T03:00:00+00:00Z,1.233,1.2476,1.1727,1.2067,522240.9,629921.50367,0,0,0
2024-11-29T03:00:00+00:00Z,2024-11-29T04:00:00+00:00Z,1.2067,1.2171,1.16,1.1952,508388.1,608330.14477,0,0,0
2024-11-29T04:00:00+00:00Z,2024-11-29T05:00:00+00:00Z,1.1952,1.1991,1.1383,1.1588,694573.0,809703.60862,0,0,0
2024-11-29T05:00:00+00:00Z,2024-11-29T06:00:00+00:00Z,1.1588,1.1713,1.1,1.1355,861558.6,972770.33045,0,0,0
