# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,2ZUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-10-02T13:00:00+00:00Z
# t0_final_iso,2025-10-02T13:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,1aab00ddb93cb46c
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-10-02T13:00:00+00:00Z,2025-10-02T14:00:00+00:00Z,0.075,1.1099,0.075,0.5001,27985223.1,18290377.5238,0,0,0
2025-10-02T14:00:00+00:00Z,2025-10-02T15:00:00+00:00Z,0.5001,0.6387,0.4883,0.5715,17083647.1,9544135.00071,0,0,0
2025-10-02T15:00:00+00:00Z,2025-10-02T16:00:00+00:00Z,0.5715,0.5936,0.5287,0.568,7614728.7,4326803.16258,0,0,0
2025-10-02T16:00:00+00:00Z,2025-10-02T17:00:00+00:00Z,0.568,0.6962,0.5415,0.6893,10406785.4,6160896.2124,0,0,0
2025-10-02T17:00:00+00:00Z,2025-10-02T18:00:00+00:00Z,0.6893,0.7782,0.6429,0.7004,10736828.3,7668659.31621,0,0,0
2025-10-02T18:00:00+00:00Z,2025-10-02T19:00:00+00:00Z,0.7004,0.7096,0.6121,0.666,8044921.1,5282341.75811,0,0,0
2025-10-02T19:00:00+00:00Z,2025-10-02T20:00:00+00:00Z,0.666,0.6848,0.6071,0.63,4700962.3,3005470.86709,0,0,0
2025-10-02T20:00:00+00:00Z,2025-10-02T21:00:00+00:00Z,0.63,0.6408,0.5559,0.5764,6102947.5,3570427.70614,0,0,0
2025-10-02T21:00:00+00:00Z,2025-10-02T22:00:00+00:00Z,0.5764,0.6091,0.5685,0.6006,4278009.3,2489386.95493,0,0,0
2025-10-02T22:00:00+00:00Z,2025-10-02T23:00:00+00:00Z,0.6006,0.6367,0.5831,0.6217,2450641.5,1497775.56109,0,0,0
2025-10-02T23:00:00+00:00Z,2025-10-03T00:00:00+00:00Z,0.6217,0.6299,0.5904,0.5985,2284210.3,1390979.56076,0,0,0
2025-10-03T00:00:00+00:00Z,2025-10-03T01:00:00+00:00Z,0.5985,0.6215,0.5618,0.575,3908392.0,2331941.20572,0,0,0
2025-10-03T01:00:00+00:00Z,2025-10-03T02:00:00+00:00Z,0.575,0.6064,0.5653,0.5698,2131107.1,1237218.2228,0,0,0
2025-10-03T02:00:00+00:00Z,2025-10-03T03:00:00+00:00Z,0.5698,0.57,0.5134,0.5304,3548065.2,1899215.29711,0,0,0
2025-10-03T03:00:00+00:00Z,2025-10-03T04:00:00+00:00Z,0.5304,0.5463,0.5258,0.542,2440752.0,1314031.42999,0,0,0
2025-10-03T04:00:00+00:00Z,2025-10-03T05:00:00+00:00Z,0.542,0.5774,0.5356,0.5582,2931597.4,1629657.57692,0,0,0
2025-10-03T05:00:00+00:00Z,2025-10-03T06:00:00+00:00Z,0.5582,0.5589,0.5309,0.5431,2181607.1,1184621.44939,0,0,0
2025-10-03T06:00:00+00:00Z,2025-10-03T07:00:00+00:00Z,0.5431,0.5462,0.5276,0.5333,2544845.1,1369881.3177,0,0,0
2025-10-03T07:00:00+00:00Z,2025-10-03T08:00:00+00:00Z,0.5333,0.5404,0.525,0.5348,2110108.0,1128159.63158,0,0,0
