# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,NEARUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2022-03-11T11:00:00+00:00Z
# t0_final_iso,2022-03-11T11:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,c8d4f7f4efac5df4
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-03-11T11:00:00+00:00Z,2022-03-11T12:00:00+00:00Z,10.3,11.1234,10.3,10.87,269.5,2906.921712,0,0,0
2022-03-11T12:00:00+00:00Z,2022-03-11T13:00:00+00:00Z,10.87,11.4089,10.87,11.2127,160.48,1802.69468,0,0,0
2022-03-11T13:00:00+00:00Z,2022-03-11T14:00:00+00:00Z,11.2127,11.3678,10.9861,11.0227,658.83,7398.580986,0,0,0
2022-03-11T14:00:00+00:00Z,2022-03-11T15:00:00+00:00Z,11.0227,11.2195,10.8305,10.8305,91.22,1004.247866,0,0,0
2022-03-11T15:00:00+00:00Z,2022-03-11T16:00:00+00:00Z,10.8305,11.0452,10.6351,10.7745,424.77,4598.429109,0,0,0
2022-03-11T16:00:00+00:00Z,2022-03-11T17:00:00+00:00Z,10.7745,10.7861,10.54,10.5763,45.59,484.064481,0,0,0
2022-03-11T17:00:00+00:00Z,2022-03-11T18:00:00+00:00Z,10.5763,10.6836,10.315,10.4921,175.19,1851.328428,0,0,0
2022-03-11T18:00:00+00:00Z,2022-03-11T19:00:00+00:00Z,10.4921,10.5656,10.2222,10.3785,308.25,3184.065948,0,0,0
2022-03-11T19:00:00+00:00Z,2022-03-11T20:00:00+00:00Z,10.3785,10.5655,10.3346,10.439,53.6,558.672657,0,0,0
2022-03-11T20:00:00+00:00Z,2022-03-11T21:00:00+00:00Z,10.439,10.5305,10.2091,10.3509,40.73,422.695185,0,0,0
2022-03-11T21:00:00+00:00Z,2022-03-11T22:00:00+00:00Z,10.3509,10.4912,10.2668,10.4647,58.4,605.405906,0,0,0
2022-03-11T22:00:00+00:00Z,2022-03-11T23:00:00+00:00Z,10.4647,10.5,10.3311,10.5,55.81,582.254607,0,0,0
2022-03-11T23:00:00+00:00Z,2022-03-12T00:00:00+00:00Z,10.5,10.5,10.1307,10.2865,41.41,428.994577,0,0,0
