# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,FLUIDUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-12-18T10:00:00+00:00Z
# t0_final_iso,2024-12-18T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,04055d0a7f598d97
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-12-18T10:00:00+00:00Z,2024-12-18T11:00:00+00:00Z,5.0,10.7027,5.0,9.1502,143823.08,1361619.652482,0,0,0
2024-12-18T11:00:00+00:00Z,2024-12-18T12:00:00+00:00Z,9.1502,9.7,8.2,9.007,37586.66,341697.700629,0,0,0
2024-12-18T12:00:00+00:00Z,2024-12-18T13:00:00+00:00Z,9.007,9.0392,8.5,8.8984,18935.7,168898.786369,0,0,0
2024-12-18T13:00:00+00:00Z,2024-12-18T14:00:00+00:00Z,8.8984,9.0998,8.5,8.7636,54355.38,478811.343699,0,0,0
2024-12-18T14:00:00+00:00Z,2024-12-18T15:00:00+00:00Z,8.7636,8.789,8.3135,8.4321,50470.91,431153.498274,0,0,0
2024-12-18T15:00:00+00:00Z,2024-12-18T16:00:00+00:00Z,8.4321,8.5,8.38,8.4822,22168.91,187696.78858,0,0,0
2024-12-18T16:00:00+00:00Z,2024-12-18T17:00:00+00:00Z,8.4822,8.5,8.39,8.4068,25612.85,216549.229777,0,0,0
2024-12-18T17:00:00+00:00Z,2024-12-18T18:00:00+00:00Z,8.4068,8.4191,8.35,8.3719,21347.66,179059.762915,0,0,0
2024-12-18T18:00:00+00:00Z,2024-12-18T19:00:00+00:00Z,8.3719,8.48,8.35,8.4717,19876.51,167397.464239,0,0,0
2024-12-18T19:00:00+00:00Z,2024-12-18T20:00:00+00:00Z,8.4717,8.48,8.1657,8.1701,19329.0,161413.919321,0,0,0
2024-12-18T20:00:00+00:00Z,2024-12-18T21:00:00+00:00Z,8.1701,8.34,8.0,8.1273,21941.0,177371.569653,0,0,0
2024-12-18T21:00:00+00:00Z,2024-12-18T22:00:00+00:00Z,8.1273,8.1389,8.0,8.1172,18997.7,152963.67118,0,0,0
2024-12-18T22:00:00+00:00Z,2024-12-18T23:00:00+00:00Z,8.1172,8.1878,8.0,8.0568,16973.81,137654.57951,0,0,0
2024-12-18T23:00:00+00:00Z,2024-12-19T00:00:00+00:00Z,8.0568,8.0592,7.6942,7.7672,16093.58,128350.779554,0,0,0
2024-12-19T00:00:00+00:00Z,2024-12-19T01:00:00+00:00Z,7.7672,8.0001,7.7672,7.9272,10752.56,85559.33455,0,0,0
2024-12-19T01:00:00+00:00Z,2024-12-19T02:00:00+00:00Z,7.9272,7.9423,7.719,7.8559,6914.69,54514.191462,0,0,0
2024-12-19T02:00:00+00:00Z,2024-12-19T03:00:00+00:00Z,7.8559,7.8857,7.2412,7.8106,13911.62,105983.188634,0,0,0
2024-12-19T03:00:00+00:00Z,2024-12-19T04:00:00+00:00Z,7.8106,7.98,7.7911,7.9426,10756.25,84699.577985,0,0,0
2024-12-19T04:00:00+00:00Z,2024-12-19T05:00:00+00:00Z,7.9426,7.9804,7.8408,7.9009,9453.6,74732.996812,0,0,0
2024-12-19T05:00:00+00:00Z,2024-12-19T06:00:00+00:00Z,7.9009,7.9467,7.8807,7.8965,8809.52,69612.495787,0,0,0
2024-12-19T06:00:00+00:00Z,2024-12-19T07:00:00+00:00Z,7.8965,8.271,7.7606,7.7671,18642.63,148566.085761,0,0,0
2024-12-19T07:00:00+00:00Z,2024-12-19T08:00:00+00:00Z,7.7671,7.8055,7.5468,7.7732,11228.3,86605.671306,0,0,0
2024-12-19T08:00:00+00:00Z,2024-12-19T09:00:00+00:00Z,7.7732,7.7999,7.733,7.7674,6604.09,51203.963218,0,0,0
2024-12-19T09:00:00+00:00Z,2024-12-19T10:00:00+00:00Z,7.7674,7.9415,7.7476,7.8699,10172.56,79920.173968,0,0,0
2024-12-19T10:00:00+00:00Z,2024-12-19T11:00:00+00:00Z,7.8699,8.0986,7.8621,7.9711,24395.87,194847.146466,0,0,0
2024-12-19T11:00:00+00:00Z,2024-12-19T12:00:00+00:00Z,7.9711,8.0172,7.7632,8.0052,15828.25,125868.104185,0,0,0
2024-12-19T12:00:00+00:00Z,2024-12-19T13:00:00+00:00Z,8.0052,8.0438,7.9729,7.9927,23043.91,184498.089415,0,0,0
2024-12-19T13:00:00+00:00Z,2024-12-19T14:00:00+00:00Z,7.9927,8.0087,7.8029,7.9208,27746.77,219931.724677,0,0,0
2024-12-19T14:00:00+00:00Z,2024-12-19T15:00:00+00:00Z,7.9208,7.9376,7.8701,7.8937,21513.61,170089.736025,0,0,0
2024-12-19T15:00:00+00:00Z,2024-12-19T16:00:00+00:00Z,7.8937,7.8963,7.6857,7.7634,25763.93,200435.557826,0,0,0
2024-12-19T16:00:00+00:00Z,2024-12-19T17:00:00+00:00Z,7.7634,7.8396,7.6811,7.8299,23548.54,182985.432104,0,0,0
2024-12-19T17:00:00+00:00Z,2024-12-19T18:00:00+00:00Z,7.8299,7.8334,7.5701,7.5795,15679.09,120728.616111,0,0,0
2024-12-19T18:00:00+00:00Z,2024-12-19T19:00:00+00:00Z,7.5795,7.5881,7.3389,7.5599,16040.76,119829.901158,0,0,0
