# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,GALAUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2021-11-24T06:00:00+00:00Z
# t0_final_iso,2021-11-24T06:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,e0c2bcfe5e8db3ae
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-11-24T06:00:00+00:00Z,2021-11-24T07:00:00+00:00Z,0.43157,0.44042,0.43157,0.43442,1179.33,514.5891395,0,0,0
2021-11-24T07:00:00+00:00Z,2021-11-24T08:00:00+00:00Z,0.43442,0.4615,0.42415,0.43659,66950.57,30104.5164664,0,0,0
2021-11-24T08:00:00+00:00Z,2021-11-24T09:00:00+00:00Z,0.43659,0.44941,0.41213,0.41213,49502.27,21652.8739162,0,0,0
2021-11-24T09:00:00+00:00Z,2021-11-24T10:00:00+00:00Z,0.41213,0.42951,0.37811,0.40848,132683.17,53541.5561401,0,0,0
2021-11-24T10:00:00+00:00Z,2021-11-24T11:00:00+00:00Z,0.40848,0.42585,0.4,0.4227,21526.46,8773.8258017,0,0,0
2021-11-24T11:00:00+00:00Z,2021-11-24T12:00:00+00:00Z,0.4227,0.42453,0.40112,0.40315,10069.75,4189.045063,0,0,0
2021-11-24T12:00:00+00:00Z,2021-11-24T13:00:00+00:00Z,0.40315,0.6,0.40315,0.43422,186448.38,81585.0284368,0,0,0
2021-11-24T13:00:00+00:00Z,2021-11-24T14:00:00+00:00Z,0.43422,0.43495,0.41478,0.42643,67539.69,28721.9283248,0,0,0
2021-11-24T14:00:00+00:00Z,2021-11-24T15:00:00+00:00Z,0.42643,0.45276,0.42022,0.45075,69332.84,30492.2609841,0,0,0
2021-11-24T15:00:00+00:00Z,2021-11-24T16:00:00+00:00Z,0.45075,0.45422,0.40819,0.45084,34289.15,14810.8596403,0,0,0
2021-11-24T16:00:00+00:00Z,2021-11-24T17:00:00+00:00Z,0.45084,0.4751,0.44077,0.46574,102593.29,47778.0078623,0,0,0
2021-11-24T17:00:00+00:00Z,2021-11-24T18:00:00+00:00Z,0.46574,0.50913,0.46574,0.48149,354422.97,175798.3063638,0,0,0
2021-11-24T18:00:00+00:00Z,2021-11-24T19:00:00+00:00Z,0.48149,0.51818,0.47001,0.5148,115853.15,57078.1303451,0,0,0
2021-11-24T19:00:00+00:00Z,2021-11-24T20:00:00+00:00Z,0.5148,0.56628,0.5148,0.56107,75003.21,41172.9837683,0,0,0
