# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,WOOUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2021-11-10T01:00:00+00:00Z
# t0_final_iso,2021-11-10T01:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,df32accbfea36736
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-11-10T01:00:00+00:00Z,2021-11-10T02:00:00+00:00Z,1.30519,1.30519,1.28963,1.29169,611.22,792.0021568,0,0,0
2021-11-10T02:00:00+00:00Z,2021-11-10T03:00:00+00:00Z,1.29169,1.30616,1.28069,1.28069,1712.55,2216.3436971,0,0,0
2021-11-10T03:00:00+00:00Z,2021-11-10T04:00:00+00:00Z,1.28069,1.29152,1.27432,1.27888,1732.87,2221.5485612,0,0,0
2021-11-10T04:00:00+00:00Z,2021-11-10T05:00:00+00:00Z,1.27888,1.28236,1.25595,1.27,2097.8,2660.8713552,0,0,0
2021-11-10T05:00:00+00:00Z,2021-11-10T06:00:00+00:00Z,1.27,1.30187,1.25241,1.29185,12429.72,15799.3650059,0,0,0
2021-11-10T06:00:00+00:00Z,2021-11-10T07:00:00+00:00Z,1.29185,1.30592,1.27898,1.28776,2144.7,2772.0839447,0,0,0
2021-11-10T07:00:00+00:00Z,2021-11-10T08:00:00+00:00Z,1.28776,1.30492,1.26635,1.27424,2058.46,2634.1293724,0,0,0
2021-11-10T08:00:00+00:00Z,2021-11-10T09:00:00+00:00Z,1.27424,1.30234,1.27023,1.28464,6118.92,7918.5911778,0,0,0
2021-11-10T09:00:00+00:00Z,2021-11-10T10:00:00+00:00Z,1.28464,1.32466,1.28464,1.31609,30879.28,40400.8791278,0,0,0
2021-11-10T10:00:00+00:00Z,2021-11-10T11:00:00+00:00Z,1.31609,1.34175,1.2921,1.329,92858.38,122498.1574373,0,0,0
2021-11-10T11:00:00+00:00Z,2021-11-10T12:00:00+00:00Z,1.329,1.35,1.3,1.34999,160005.99,211266.35539,0,0,0
2021-11-10T12:00:00+00:00Z,2021-11-10T13:00:00+00:00Z,1.34999,1.35196,1.31601,1.32093,224103.03,297214.524044,0,0,0
2021-11-10T13:00:00+00:00Z,2021-11-10T14:00:00+00:00Z,1.32093,1.37015,1.30066,1.3466,216596.36,288744.5274661,0,0,0
2021-11-10T14:00:00+00:00Z,2021-11-10T15:00:00+00:00Z,1.3466,1.42099,1.3466,1.41219,309384.83,426625.038878,0,0,0
2021-11-10T15:00:00+00:00Z,2021-11-10T16:00:00+00:00Z,1.41219,1.50675,1.39099,1.46469,342864.85,487483.0070373,0,0,0
2021-11-10T16:00:00+00:00Z,2021-11-10T17:00:00+00:00Z,1.46469,1.8,1.45,1.50286,397261.33,588753.3454824,0,0,0
2021-11-10T17:00:00+00:00Z,2021-11-10T18:00:00+00:00Z,1.50286,1.55,1.4648,1.47938,272340.28,411708.1497012,0,0,0
2021-11-10T18:00:00+00:00Z,2021-11-10T19:00:00+00:00Z,1.47938,1.49194,1.452,1.475,157792.14,231938.0019203,0,0,0
2021-11-10T19:00:00+00:00Z,2021-11-10T20:00:00+00:00Z,1.475,1.51723,1.42836,1.42836,138869.66,204489.8591207,0,0,0
