# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,CHILLGUYUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-11-26T08:00:00+00:00Z
# t0_final_iso,2024-11-26T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,c84ae238130529fe
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-11-26T08:00:00+00:00Z,2024-11-26T09:00:00+00:00Z,0.2,0.5145,0.2,0.4505,2048179.0,982786.31117,0,0,0
2024-11-26T09:00:00+00:00Z,2024-11-26T10:00:00+00:00Z,0.4505,0.4845,0.4249,0.4657,1675967.6,768313.86151,0,0,0
2024-11-26T10:00:00+00:00Z,2024-11-26T11:00:00+00:00Z,0.4657,0.4865,0.4372,0.4401,1422449.4,658405.42029,0,0,0
2024-11-26T11:00:00+00:00Z,2024-11-26T12:00:00+00:00Z,0.4401,0.4622,0.415,0.4622,1244137.2,542277.60094,0,0,0
2024-11-26T12:00:00+00:00Z,2024-11-26T13:00:00+00:00Z,0.4622,0.494,0.4504,0.4741,1527487.5,720645.75123,0,0,0
2024-11-26T13:00:00+00:00Z,2024-11-26T14:00:00+00:00Z,0.4741,0.5588,0.4662,0.5145,1959926.1,1016348.11769,0,0,0
2024-11-26T14:00:00+00:00Z,2024-11-26T15:00:00+00:00Z,0.5145,0.546,0.4898,0.5087,2167155.5,1131964.76134,0,0,0
2024-11-26T15:00:00+00:00Z,2024-11-26T16:00:00+00:00Z,0.5087,0.544,0.4939,0.5329,1544224.2,802921.14954,0,0,0
2024-11-26T16:00:00+00:00Z,2024-11-26T17:00:00+00:00Z,0.5329,0.5336,0.5011,0.506,1141124.2,587986.3599,0,0,0
2024-11-26T17:00:00+00:00Z,2024-11-26T18:00:00+00:00Z,0.506,0.5073,0.487,0.4911,890927.5,441178.96654,0,0,0
2024-11-26T18:00:00+00:00Z,2024-11-26T19:00:00+00:00Z,0.4911,0.4976,0.4582,0.459,1779216.7,838680.88498,0,0,0
2024-11-26T19:00:00+00:00Z,2024-11-26T20:00:00+00:00Z,0.459,0.4921,0.4236,0.4804,2355924.0,1072415.29447,0,0,0
2024-11-26T20:00:00+00:00Z,2024-11-26T21:00:00+00:00Z,0.4804,0.488,0.4548,0.4797,888269.8,420449.02238,0,0,0
2024-11-26T21:00:00+00:00Z,2024-11-26T22:00:00+00:00Z,0.4797,0.5135,0.4713,0.5055,959015.9,470328.63196,0,0,0
2024-11-26T22:00:00+00:00Z,2024-11-26T23:00:00+00:00Z,0.5055,0.546,0.497,0.5071,1382779.0,726228.34591,0,0,0
