# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,ENJUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2021-11-09T07:00:00+00:00Z
# t0_final_iso,2021-11-09T07:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,202084cb847951ee
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-11-09T07:00:00+00:00Z,2021-11-09T08:00:00+00:00Z,3.09491,3.11119,3.06454,3.07841,400.67,1237.3277193,0,0,0
2021-11-09T08:00:00+00:00Z,2021-11-09T09:00:00+00:00Z,3.07841,3.10513,3.05369,3.09548,638.73,1966.1934904,0,0,0
2021-11-09T09:00:00+00:00Z,2021-11-09T10:00:00+00:00Z,3.09548,3.16099,3.09247,3.14401,665.91,2076.5272845,0,0,0
2021-11-09T10:00:00+00:00Z,2021-11-09T11:00:00+00:00Z,3.14401,3.16139,3.09153,3.09153,681.64,2130.7464012,0,0,0
2021-11-09T11:00:00+00:00Z,2021-11-09T12:00:00+00:00Z,3.09153,3.10499,3.03579,3.07444,749.24,2305.6085643,0,0,0
2021-11-09T12:00:00+00:00Z,2021-11-09T13:00:00+00:00Z,3.07444,3.0869,3.0361,3.07147,753.14,2310.2270919,0,0,0
2021-11-09T13:00:00+00:00Z,2021-11-09T14:00:00+00:00Z,3.07147,3.09298,3.04856,3.09298,775.46,2380.252467,0,0,0
2021-11-09T14:00:00+00:00Z,2021-11-09T15:00:00+00:00Z,3.09298,3.09298,3.03249,3.04286,729.43,2232.8527975,0,0,0
2021-11-09T15:00:00+00:00Z,2021-11-09T16:00:00+00:00Z,3.04286,3.05878,2.97023,3.03003,3539.51,10764.0036227,0,0,0
2021-11-09T16:00:00+00:00Z,2021-11-09T17:00:00+00:00Z,3.03003,3.04792,2.98003,3.02509,989.71,2987.0711436,0,0,0
2021-11-09T17:00:00+00:00Z,2021-11-09T18:00:00+00:00Z,3.02509,3.06596,2.98786,3.05184,762.19,2303.6812386,0,0,0
2021-11-09T18:00:00+00:00Z,2021-11-09T19:00:00+00:00Z,3.05184,3.05971,2.96906,2.98589,834.43,2520.5538046,0,0,0
2021-11-09T19:00:00+00:00Z,2021-11-09T20:00:00+00:00Z,2.98589,3.00549,2.95285,3.00263,945.32,2817.5772336,0,0,0
2021-11-09T20:00:00+00:00Z,2021-11-09T21:00:00+00:00Z,3.00263,3.01698,2.97134,3.01161,1073.78,3220.2867499,0,0,0
2021-11-09T21:00:00+00:00Z,2021-11-09T22:00:00+00:00Z,3.01161,3.03364,2.98466,3.01621,724.01,2179.84702,0,0,0
2021-11-09T22:00:00+00:00Z,2021-11-09T23:00:00+00:00Z,3.01621,3.03163,2.99555,3.01753,669.52,2020.5898013,0,0,0
2021-11-09T23:00:00+00:00Z,2021-11-10T00:00:00+00:00Z,3.01753,3.02053,2.9459,2.96839,763.91,2282.9580847,0,0,0
2021-11-10T00:00:00+00:00Z,2021-11-10T01:00:00+00:00Z,2.96839,3.08767,2.95406,3.07112,877.87,2666.2096338,0,0,0
2021-11-10T01:00:00+00:00Z,2021-11-10T02:00:00+00:00Z,3.07112,3.09385,2.97823,3.02612,2437.12,7350.8335359,0,0,0
2021-11-10T02:00:00+00:00Z,2021-11-10T03:00:00+00:00Z,3.02612,3.06317,3.00762,3.0213,673.84,2048.6263873,0,0,0
2021-11-10T03:00:00+00:00Z,2021-11-10T04:00:00+00:00Z,3.0213,3.08944,2.99854,3.03874,1234.9,3753.1049017,0,0,0
2021-11-10T04:00:00+00:00Z,2021-11-10T05:00:00+00:00Z,3.03874,3.13051,3.03631,3.09614,4802.06,14900.5766312,0,0,0
2021-11-10T05:00:00+00:00Z,2021-11-10T06:00:00+00:00Z,3.09614,3.11428,3.04917,3.09337,1201.46,3691.6907421,0,0,0
2021-11-10T06:00:00+00:00Z,2021-11-10T07:00:00+00:00Z,3.09337,3.137,3.07525,3.13235,1188.56,3702.3967463,0,0,0
2021-11-10T07:00:00+00:00Z,2021-11-10T08:00:00+00:00Z,3.13235,3.13235,3.07967,3.10614,3083.18,9605.8773572,0,0,0
2021-11-10T08:00:00+00:00Z,2021-11-10T09:00:00+00:00Z,3.10614,3.18251,3.09197,3.13269,2989.46,9388.0217398,0,0,0
2021-11-10T09:00:00+00:00Z,2021-11-10T10:00:00+00:00Z,3.13269,3.19652,3.10486,3.16436,1903.86,6056.8346476,0,0,0
2021-11-10T10:00:00+00:00Z,2021-11-10T11:00:00+00:00Z,3.16436,3.17756,3.13233,3.13711,1301.88,4109.9814232,0,0,0
2021-11-10T11:00:00+00:00Z,2021-11-10T12:00:00+00:00Z,3.13711,3.14715,3.05922,3.08573,1607.43,5002.2514011,0,0,0
2021-11-10T12:00:00+00:00Z,2021-11-10T13:00:00+00:00Z,3.08573,3.11514,3.00285,3.01001,735.88,2252.6297295,0,0,0
2021-11-10T13:00:00+00:00Z,2021-11-10T14:00:00+00:00Z,3.01001,3.10889,2.99029,3.10441,898.26,2733.2584012,0,0,0
2021-11-10T14:00:00+00:00Z,2021-11-10T15:00:00+00:00Z,3.10441,3.12937,3.08502,3.09415,976.56,3027.5087215,0,0,0
2021-11-10T15:00:00+00:00Z,2021-11-10T16:00:00+00:00Z,3.09415,3.13382,3.09071,3.11953,1100.72,3432.6538113,0,0,0
2021-11-10T16:00:00+00:00Z,2021-11-10T17:00:00+00:00Z,3.11953,3.13335,3.0665,3.09223,1199.48,3712.0149815,0,0,0
2021-11-10T17:00:00+00:00Z,2021-11-10T18:00:00+00:00Z,3.09223,3.10262,3.05134,3.05613,697.42,2145.9131249,0,0,0
2021-11-10T18:00:00+00:00Z,2021-11-10T19:00:00+00:00Z,3.05613,3.081,3.01549,3.03003,2206.0,6745.5965205,0,0,0
2021-11-10T19:00:00+00:00Z,2021-11-10T20:00:00+00:00Z,3.03003,3.06199,2.91143,2.91143,791.52,2388.2328457,0,0,0
2021-11-10T20:00:00+00:00Z,2021-11-10T21:00:00+00:00Z,2.91143,2.94766,2.77768,2.83485,1126.14,3257.7767498,0,0,0
2021-11-10T21:00:00+00:00Z,2021-11-10T22:00:00+00:00Z,2.83485,2.87074,2.59226,2.75767,23557.05,64743.6100789,0,0,0
2021-11-10T22:00:00+00:00Z,2021-11-10T23:00:00+00:00Z,2.75767,2.87342,2.67264,2.82318,19983.62,54835.9652048,0,0,0
2021-11-10T23:00:00+00:00Z,2021-11-11T00:00:00+00:00Z,2.82318,2.85153,2.77707,2.83285,838.11,2354.0866014,0,0,0
2021-11-11T00:00:00+00:00Z,2021-11-11T01:00:00+00:00Z,2.83285,2.86823,2.76851,2.86078,1006.32,2830.8022409,0,0,0
2021-11-11T01:00:00+00:00Z,2021-11-11T02:00:00+00:00Z,2.86078,2.88011,2.81396,2.84337,1112.46,3162.2448922,0,0,0
2021-11-11T02:00:00+00:00Z,2021-11-11T03:00:00+00:00Z,2.84337,2.85088,2.78731,2.85088,1089.82,3063.9065533,0,0,0
2021-11-11T03:00:00+00:00Z,2021-11-11T04:00:00+00:00Z,2.85088,2.90797,2.83468,2.88278,2144.33,6160.2513745,0,0,0
2021-11-11T04:00:00+00:00Z,2021-11-11T05:00:00+00:00Z,2.88278,2.96687,2.87567,2.94562,715.63,2086.1053371,0,0,0
2021-11-11T05:00:00+00:00Z,2021-11-11T06:00:00+00:00Z,2.94562,3.07252,2.94169,3.03109,2928.05,8846.6979421,0,0,0
2021-11-11T06:00:00+00:00Z,2021-11-11T07:00:00+00:00Z,3.03109,3.03535,2.96715,2.97308,2301.26,6908.767832,0,0,0
2021-11-11T07:00:00+00:00Z,2021-11-11T08:00:00+00:00Z,2.97308,3.02891,2.97308,3.00661,791.58,2379.4689842,0,0,0
2021-11-11T08:00:00+00:00Z,2021-11-11T09:00:00+00:00Z,3.00661,3.01974,2.94467,3.01127,798.87,2381.8235348,0,0,0
2021-11-11T09:00:00+00:00Z,2021-11-11T10:00:00+00:00Z,3.01127,3.01127,2.96763,2.98963,1518.98,4543.4208711,0,0,0
2021-11-11T10:00:00+00:00Z,2021-11-11T11:00:00+00:00Z,2.98963,3.00648,2.95903,2.96523,814.19,2426.5387332,0,0,0
2021-11-11T11:00:00+00:00Z,2021-11-11T12:00:00+00:00Z,2.96523,2.99195,2.95903,2.97158,874.54,2598.7895667,0,0,0
