# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,G3USDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-04-09T10:00:00+00:00Z
# t0_final_iso,2024-04-09T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,5052e0c5a96b1857
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-04-09T10:00:00+00:00Z,2024-04-09T11:00:00+00:00Z,0.04,0.322,0.04,0.19447,16848673.62,3718411.5244459,0,0,0
2024-04-09T11:00:00+00:00Z,2024-04-09T12:00:00+00:00Z,0.19447,0.229,0.19447,0.229,6148261.05,1317719.4483606,0,0,0
2024-04-09T12:00:00+00:00Z,2024-04-09T13:00:00+00:00Z,0.229,0.23351,0.1925,0.21084,4460964.33,947111.5237562,0,0,0
2024-04-09T13:00:00+00:00Z,2024-04-09T14:00:00+00:00Z,0.21084,0.21169,0.19061,0.19088,2211915.78,439080.6650942,0,0,0
2024-04-09T14:00:00+00:00Z,2024-04-09T15:00:00+00:00Z,0.19088,0.192,0.17539,0.17978,1908875.03,347618.9995564,0,0,0
2024-04-09T15:00:00+00:00Z,2024-04-09T16:00:00+00:00Z,0.17978,0.1952,0.1795,0.19,1662159.84,310401.1812601,0,0,0
2024-04-09T16:00:00+00:00Z,2024-04-09T17:00:00+00:00Z,0.19,0.19,0.18,0.1801,1049417.18,194916.8425745,0,0,0
2024-04-09T17:00:00+00:00Z,2024-04-09T18:00:00+00:00Z,0.1801,0.1852,0.18,0.18427,1064838.06,194650.156902,0,0,0
2024-04-09T18:00:00+00:00Z,2024-04-09T19:00:00+00:00Z,0.18427,0.19727,0.184,0.19712,1319299.84,250246.3293146,0,0,0
2024-04-09T19:00:00+00:00Z,2024-04-09T20:00:00+00:00Z,0.19712,0.19766,0.18543,0.1857,1180380.85,224182.701799,0,0,0
2024-04-09T20:00:00+00:00Z,2024-04-09T21:00:00+00:00Z,0.1857,0.1895,0.18101,0.1895,1003830.94,185564.9221663,0,0,0
2024-04-09T21:00:00+00:00Z,2024-04-09T22:00:00+00:00Z,0.1895,0.19478,0.18461,0.19478,950544.27,180274.9668651,0,0,0
2024-04-09T22:00:00+00:00Z,2024-04-09T23:00:00+00:00Z,0.19478,0.19497,0.1884,0.19248,596569.21,113777.090949,0,0,0
2024-04-09T23:00:00+00:00Z,2024-04-10T00:00:00+00:00Z,0.19248,0.2,0.19189,0.19285,564276.71,110628.5918189,0,0,0
2024-04-10T00:00:00+00:00Z,2024-04-10T01:00:00+00:00Z,0.19285,0.21028,0.19259,0.20268,726660.77,147429.4169689,0,0,0
2024-04-10T01:00:00+00:00Z,2024-04-10T02:00:00+00:00Z,0.20268,0.215,0.20268,0.2115,647255.89,136212.7188541,0,0,0
2024-04-10T02:00:00+00:00Z,2024-04-10T03:00:00+00:00Z,0.2115,0.222,0.2115,0.22001,1169167.54,254335.6616586,0,0,0
2024-04-10T03:00:00+00:00Z,2024-04-10T04:00:00+00:00Z,0.22001,0.223,0.20476,0.20665,673471.81,143971.1394668,0,0,0
2024-04-10T04:00:00+00:00Z,2024-04-10T05:00:00+00:00Z,0.20665,0.20709,0.197,0.20071,566227.6,113560.3478436,0,0,0
2024-04-10T05:00:00+00:00Z,2024-04-10T06:00:00+00:00Z,0.20071,0.20491,0.19905,0.20362,454752.25,92135.0568576,0,0,0
2024-04-10T06:00:00+00:00Z,2024-04-10T07:00:00+00:00Z,0.20362,0.21282,0.20358,0.20614,721099.92,150918.7477402,0,0,0
2024-04-10T07:00:00+00:00Z,2024-04-10T08:00:00+00:00Z,0.20614,0.20719,0.1971,0.20167,645678.59,129478.2154797,0,0,0
2024-04-10T08:00:00+00:00Z,2024-04-10T09:00:00+00:00Z,0.20167,0.20402,0.198,0.19808,646034.14,129889.6029111,0,0,0
2024-04-10T09:00:00+00:00Z,2024-04-10T10:00:00+00:00Z,0.19808,0.20005,0.19805,0.19964,589755.1,117580.9892682,0,0,0
2024-04-10T10:00:00+00:00Z,2024-04-10T11:00:00+00:00Z,0.19964,0.20392,0.19454,0.19454,1304187.45,260863.5945544,0,0,0
2024-04-10T11:00:00+00:00Z,2024-04-10T12:00:00+00:00Z,0.19454,0.195,0.187,0.19139,740503.69,141722.7725099,0,0,0
2024-04-10T12:00:00+00:00Z,2024-04-10T13:00:00+00:00Z,0.19139,0.1919,0.17713,0.17852,1037019.42,189694.5331932,0,0,0
2024-04-10T13:00:00+00:00Z,2024-04-10T14:00:00+00:00Z,0.17852,0.18048,0.17792,0.17891,617418.77,110726.8010634,0,0,0
2024-04-10T14:00:00+00:00Z,2024-04-10T15:00:00+00:00Z,0.17891,0.18662,0.17891,0.18626,742837.06,135668.5980795,0,0,0
2024-04-10T15:00:00+00:00Z,2024-04-10T16:00:00+00:00Z,0.18626,0.18725,0.17925,0.18097,897635.07,164522.505524,0,0,0
2024-04-10T16:00:00+00:00Z,2024-04-10T17:00:00+00:00Z,0.18097,0.18405,0.18013,0.18246,671385.33,122021.6373939,0,0,0
2024-04-10T17:00:00+00:00Z,2024-04-10T18:00:00+00:00Z,0.18246,0.18617,0.18219,0.18442,689885.62,126791.6515329,0,0,0
2024-04-10T18:00:00+00:00Z,2024-04-10T19:00:00+00:00Z,0.18442,0.18715,0.18321,0.187,643499.53,119172.4125315,0,0,0
