# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,AVNTUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-09-09T14:00:00+00:00Z
# t0_final_iso,2025-09-09T14:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,55039f5ce8052f8a
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-09-09T14:00:00+00:00Z,2025-09-09T15:00:00+00:00Z,0.05,0.4796,0.05,0.24353,16364362.5,4218950.519401,0,0,0
2025-09-09T15:00:00+00:00Z,2025-09-09T16:00:00+00:00Z,0.24353,0.275,0.17543,0.19172,19700410.5,3974023.893468,0,0,0
2025-09-09T16:00:00+00:00Z,2025-09-09T17:00:00+00:00Z,0.19172,0.24558,0.1825,0.22271,11910581.4,2454185.098085,0,0,0
2025-09-09T17:00:00+00:00Z,2025-09-09T18:00:00+00:00Z,0.22271,0.2444,0.21189,0.22878,6973541.0,1597146.130046,0,0,0
2025-09-09T18:00:00+00:00Z,2025-09-09T19:00:00+00:00Z,0.22878,0.27506,0.20507,0.25305,12490210.7,2989878.836457,0,0,0
2025-09-09T19:00:00+00:00Z,2025-09-09T20:00:00+00:00Z,0.25305,0.3381,0.25255,0.33086,17075652.0,4910900.253768,0,0,0
2025-09-09T20:00:00+00:00Z,2025-09-09T21:00:00+00:00Z,0.33086,0.33254,0.2644,0.27045,8890897.2,2572288.799327,0,0,0
2025-09-09T21:00:00+00:00Z,2025-09-09T22:00:00+00:00Z,0.27045,0.2787,0.22674,0.24368,6842809.0,1706946.00042,0,0,0
2025-09-09T22:00:00+00:00Z,2025-09-09T23:00:00+00:00Z,0.24368,0.24875,0.208,0.2226,5933204.5,1380662.3279,0,0,0
2025-09-09T23:00:00+00:00Z,2025-09-10T00:00:00+00:00Z,0.2226,0.22773,0.21012,0.21132,5540161.8,1214124.854326,0,0,0
2025-09-10T00:00:00+00:00Z,2025-09-10T01:00:00+00:00Z,0.21132,0.21514,0.19007,0.19482,7067910.5,1423742.708174,0,0,0
2025-09-10T01:00:00+00:00Z,2025-09-10T02:00:00+00:00Z,0.19482,0.2521,0.19342,0.2345,9016340.1,2068881.137729,0,0,0
2025-09-10T02:00:00+00:00Z,2025-09-10T03:00:00+00:00Z,0.2345,0.25489,0.21767,0.2486,11993567.7,2915609.966354,0,0,0
2025-09-10T03:00:00+00:00Z,2025-09-10T04:00:00+00:00Z,0.2486,0.24874,0.22929,0.2381,4227418.4,1012861.667317,0,0,0
2025-09-10T04:00:00+00:00Z,2025-09-10T05:00:00+00:00Z,0.2381,0.252,0.21434,0.24856,6077029.8,1392136.916628,0,0,0
2025-09-10T05:00:00+00:00Z,2025-09-10T06:00:00+00:00Z,0.24856,0.25298,0.22486,0.24596,3868102.9,938121.866979,0,0,0
2025-09-10T06:00:00+00:00Z,2025-09-10T07:00:00+00:00Z,0.24596,0.258,0.22267,0.23022,6546530.8,1591876.734627,0,0,0
2025-09-10T07:00:00+00:00Z,2025-09-10T08:00:00+00:00Z,0.23022,0.23027,0.21067,0.21458,5058160.0,1115962.396555,0,0,0
2025-09-10T08:00:00+00:00Z,2025-09-10T09:00:00+00:00Z,0.21458,0.2524,0.20524,0.23513,6717060.8,1545114.895164,0,0,0
2025-09-10T09:00:00+00:00Z,2025-09-10T10:00:00+00:00Z,0.23513,0.3,0.23469,0.26428,12339432.9,3348771.333034,0,0,0
2025-09-10T10:00:00+00:00Z,2025-09-10T11:00:00+00:00Z,0.26428,0.325,0.25869,0.31375,10344708.6,3091686.844284,0,0,0
2025-09-10T11:00:00+00:00Z,2025-09-10T12:00:00+00:00Z,0.31375,0.33188,0.28211,0.29056,9472619.4,2932790.291553,0,0,0
2025-09-10T12:00:00+00:00Z,2025-09-10T13:00:00+00:00Z,0.29056,0.32316,0.27083,0.31026,6814310.9,2059151.198702,0,0,0
2025-09-10T13:00:00+00:00Z,2025-09-10T14:00:00+00:00Z,0.31026,0.36247,0.30194,0.31333,11289087.3,3780362.444158,0,0,0
2025-09-10T14:00:00+00:00Z,2025-09-10T15:00:00+00:00Z,0.31333,0.34139,0.278,0.33067,8637296.8,2697061.824799,0,0,0
2025-09-10T15:00:00+00:00Z,2025-09-10T16:00:00+00:00Z,0.33067,0.36,0.32031,0.34312,7424076.6,2543774.175368,0,0,0
2025-09-10T16:00:00+00:00Z,2025-09-10T17:00:00+00:00Z,0.34312,0.39625,0.3269,0.37167,9432518.4,3435022.414909,0,0,0
2025-09-10T17:00:00+00:00Z,2025-09-10T18:00:00+00:00Z,0.37167,0.3895,0.33794,0.3528,7256817.8,2641379.330673,0,0,0
2025-09-10T18:00:00+00:00Z,2025-09-10T19:00:00+00:00Z,0.3528,0.38166,0.33085,0.3792,5290140.6,1883575.094834,0,0,0
2025-09-10T19:00:00+00:00Z,2025-09-10T20:00:00+00:00Z,0.3792,0.38072,0.3356,0.34758,4528846.9,1610816.612558,0,0,0
2025-09-10T20:00:00+00:00Z,2025-09-10T21:00:00+00:00Z,0.34758,0.36961,0.3418,0.35699,2569536.8,915570.492233,0,0,0
2025-09-10T21:00:00+00:00Z,2025-09-10T22:00:00+00:00Z,0.35699,0.38,0.34815,0.35504,5086214.5,1840785.067497,0,0,0
2025-09-10T22:00:00+00:00Z,2025-09-10T23:00:00+00:00Z,0.35504,0.35725,0.32457,0.33324,3368216.1,1136139.512751,0,0,0
2025-09-10T23:00:00+00:00Z,2025-09-11T00:00:00+00:00Z,0.33324,0.35897,0.32902,0.35168,1753749.8,606427.87705,0,0,0
2025-09-11T00:00:00+00:00Z,2025-09-11T01:00:00+00:00Z,0.35168,0.36836,0.34284,0.3512,1936032.5,686415.76103,0,0,0
2025-09-11T01:00:00+00:00Z,2025-09-11T02:00:00+00:00Z,0.3512,0.36029,0.33521,0.35587,2223685.2,779099.267886,0,0,0
2025-09-11T02:00:00+00:00Z,2025-09-11T03:00:00+00:00Z,0.35587,0.37749,0.34726,0.36164,3615666.5,1298674.764059,0,0,0
2025-09-11T03:00:00+00:00Z,2025-09-11T04:00:00+00:00Z,0.36164,0.36536,0.34581,0.3471,2387632.3,847748.630331,0,0,0
2025-09-11T04:00:00+00:00Z,2025-09-11T05:00:00+00:00Z,0.3471,0.35071,0.3275,0.33468,3565137.0,1212923.327496,0,0,0
2025-09-11T05:00:00+00:00Z,2025-09-11T06:00:00+00:00Z,0.33468,0.33918,0.32569,0.32917,1758608.5,583777.724898,0,0,0
2025-09-11T06:00:00+00:00Z,2025-09-11T07:00:00+00:00Z,0.32917,0.33474,0.30129,0.31069,4363414.7,1369518.376771,0,0,0
2025-09-11T07:00:00+00:00Z,2025-09-11T08:00:00+00:00Z,0.31069,0.315,0.29916,0.30452,2807695.4,864533.639128,0,0,0
2025-09-11T08:00:00+00:00Z,2025-09-11T09:00:00+00:00Z,0.30452,0.31227,0.28628,0.30845,3660483.2,1087678.490241,0,0,0
2025-09-11T09:00:00+00:00Z,2025-09-11T10:00:00+00:00Z,0.30845,0.31329,0.30124,0.3105,2478113.0,761765.815165,0,0,0
2025-09-11T10:00:00+00:00Z,2025-09-11T11:00:00+00:00Z,0.3105,0.31329,0.30484,0.30965,3265293.5,1006284.663024,0,0,0
2025-09-11T11:00:00+00:00Z,2025-09-11T12:00:00+00:00Z,0.30965,0.3225,0.307,0.31434,3506743.5,1108931.009033,0,0,0
2025-09-11T12:00:00+00:00Z,2025-09-11T13:00:00+00:00Z,0.31434,0.3255,0.30763,0.30905,3415465.7,1087656.320311,0,0,0
2025-09-11T13:00:00+00:00Z,2025-09-11T14:00:00+00:00Z,0.30905,0.31597,0.30222,0.30409,2674164.3,822009.640462,0,0,0
2025-09-11T14:00:00+00:00Z,2025-09-11T15:00:00+00:00Z,0.30409,0.30411,0.27936,0.2835,5434658.6,1565331.448499,0,0,0
2025-09-11T15:00:00+00:00Z,2025-09-11T16:00:00+00:00Z,0.2835,0.28888,0.27237,0.27938,3516716.9,986820.825337,0,0,0
2025-09-11T16:00:00+00:00Z,2025-09-11T17:00:00+00:00Z,0.27938,0.2855,0.27,0.28329,4488411.3,1248468.339766,0,0,0
2025-09-11T17:00:00+00:00Z,2025-09-11T18:00:00+00:00Z,0.28329,0.2915,0.275,0.28849,2849198.8,804684.475657,0,0,0
2025-09-11T18:00:00+00:00Z,2025-09-11T19:00:00+00:00Z,0.28849,0.29926,0.28424,0.28583,2826429.9,822019.578996,0,0,0
2025-09-11T19:00:00+00:00Z,2025-09-11T20:00:00+00:00Z,0.28583,0.29709,0.28152,0.29124,1950913.6,565896.509594,0,0,0
2025-09-11T20:00:00+00:00Z,2025-09-11T21:00:00+00:00Z,0.29124,0.30423,0.29033,0.30107,2480098.2,737278.99179,0,0,0
2025-09-11T21:00:00+00:00Z,2025-09-11T22:00:00+00:00Z,0.30107,0.302,0.2932,0.29359,1492306.2,445373.167325,0,0,0
2025-09-11T22:00:00+00:00Z,2025-09-11T23:00:00+00:00Z,0.29359,0.29807,0.29232,0.2938,896173.3,264311.443585,0,0,0
2025-09-11T23:00:00+00:00Z,2025-09-12T00:00:00+00:00Z,0.2938,0.31608,0.29308,0.30838,1834561.0,560444.211119,0,0,0
2025-09-12T00:00:00+00:00Z,2025-09-12T01:00:00+00:00Z,0.30838,0.31375,0.29928,0.30558,2225201.9,678860.453905,0,0,0
2025-09-12T01:00:00+00:00Z,2025-09-12T02:00:00+00:00Z,0.30558,0.30605,0.29284,0.29465,1694933.2,506202.460387,0,0,0
2025-09-12T02:00:00+00:00Z,2025-09-12T03:00:00+00:00Z,0.29465,0.2951,0.28271,0.28929,2750355.4,792029.957902,0,0,0
2025-09-12T03:00:00+00:00Z,2025-09-12T04:00:00+00:00Z,0.28929,0.30296,0.28612,0.30124,1122158.8,328702.399638,0,0,0
2025-09-12T04:00:00+00:00Z,2025-09-12T05:00:00+00:00Z,0.30124,0.3288,0.30035,0.31739,3672406.3,1166544.876369,0,0,0
2025-09-12T05:00:00+00:00Z,2025-09-12T06:00:00+00:00Z,0.31739,0.32557,0.31366,0.31589,1773636.8,564912.33986,0,0,0
2025-09-12T06:00:00+00:00Z,2025-09-12T07:00:00+00:00Z,0.31589,0.32196,0.30116,0.30314,2122026.4,660207.128833,0,0,0
2025-09-12T07:00:00+00:00Z,2025-09-12T08:00:00+00:00Z,0.30314,0.30545,0.2918,0.29365,1532651.2,455265.246678,0,0,0
2025-09-12T08:00:00+00:00Z,2025-09-12T09:00:00+00:00Z,0.29365,0.30703,0.29032,0.3057,1540981.2,457054.116237,0,0,0
2025-09-12T09:00:00+00:00Z,2025-09-12T10:00:00+00:00Z,0.3057,0.30886,0.2926,0.29421,1794641.4,540663.944471,0,0,0
2025-09-12T10:00:00+00:00Z,2025-09-12T11:00:00+00:00Z,0.29421,0.29714,0.2868,0.2956,1763304.0,515424.627944,0,0,0
2025-09-12T11:00:00+00:00Z,2025-09-12T12:00:00+00:00Z,0.2956,0.31125,0.29178,0.31024,3181146.3,968064.545342,0,0,0
2025-09-12T12:00:00+00:00Z,2025-09-12T13:00:00+00:00Z,0.31024,0.32467,0.30919,0.31805,4509472.5,1433464.89692,0,0,0
