# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,PYTHUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2023-11-20T14:00:00+00:00Z
# t0_final_iso,2023-11-20T14:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,1c822ca83f509673
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-11-20T14:00:00+00:00Z,2023-11-20T15:00:00+00:00Z,0.01,0.87758,0.01,0.32096,23264732.6,7851414.0297255,0,0,0
2023-11-20T15:00:00+00:00Z,2023-11-20T16:00:00+00:00Z,0.32096,0.35959,0.305,0.359,12228513.07,4041284.1308307,0,0,0
2023-11-20T16:00:00+00:00Z,2023-11-20T17:00:00+00:00Z,0.359,0.37057,0.33298,0.33298,6264734.55,2212044.428674,0,0,0
2023-11-20T17:00:00+00:00Z,2023-11-20T18:00:00+00:00Z,0.33298,0.34,0.32072,0.33715,2848664.42,943783.6238444,0,0,0
2023-11-20T18:00:00+00:00Z,2023-11-20T19:00:00+00:00Z,0.33715,0.35619,0.33531,0.34929,1693571.63,587627.3970951,0,0,0
2023-11-20T19:00:00+00:00Z,2023-11-20T20:00:00+00:00Z,0.34929,0.34947,0.333,0.34112,1587221.28,542447.9140648,0,0,0
2023-11-20T20:00:00+00:00Z,2023-11-20T21:00:00+00:00Z,0.34112,0.34901,0.3289,0.33176,2612401.91,882888.8405676,0,0,0
2023-11-20T21:00:00+00:00Z,2023-11-20T22:00:00+00:00Z,0.33176,0.3349,0.307,0.31312,2864175.44,913993.6106881,0,0,0
2023-11-20T22:00:00+00:00Z,2023-11-20T23:00:00+00:00Z,0.31312,0.31744,0.30444,0.3086,1406188.07,437858.285186,0,0,0
2023-11-20T23:00:00+00:00Z,2023-11-21T00:00:00+00:00Z,0.3086,0.30903,0.28,0.29141,1976241.2,579656.574381,0,0,0
2023-11-21T00:00:00+00:00Z,2023-11-21T01:00:00+00:00Z,0.29141,0.30406,0.2796,0.28092,1947067.29,558572.8335706,0,0,0
2023-11-21T01:00:00+00:00Z,2023-11-21T02:00:00+00:00Z,0.28092,0.3133,0.28048,0.30464,933209.53,277426.9223303,0,0,0
2023-11-21T02:00:00+00:00Z,2023-11-21T03:00:00+00:00Z,0.30464,0.30547,0.28958,0.29105,528719.63,157854.1262929,0,0,0
2023-11-21T03:00:00+00:00Z,2023-11-21T04:00:00+00:00Z,0.29105,0.32,0.29063,0.31103,1049773.6,326505.0071316,0,0,0
2023-11-21T04:00:00+00:00Z,2023-11-21T05:00:00+00:00Z,0.31103,0.32629,0.30695,0.31629,800610.99,255490.7378749,0,0,0
2023-11-21T05:00:00+00:00Z,2023-11-21T06:00:00+00:00Z,0.31629,0.33592,0.3155,0.33592,1067895.75,348604.6972042,0,0,0
2023-11-21T06:00:00+00:00Z,2023-11-21T07:00:00+00:00Z,0.33592,0.36,0.33592,0.35358,1832260.86,637506.2670052,0,0,0
2023-11-21T07:00:00+00:00Z,2023-11-21T08:00:00+00:00Z,0.35358,0.38041,0.34467,0.34925,3455797.61,1266919.9058629,0,0,0
2023-11-21T08:00:00+00:00Z,2023-11-21T09:00:00+00:00Z,0.34925,0.3718,0.34577,0.36615,4955336.19,1798242.7055823,0,0,0
2023-11-21T09:00:00+00:00Z,2023-11-21T10:00:00+00:00Z,0.36615,0.368,0.35006,0.3562,2491958.68,894842.1138149,0,0,0
2023-11-21T10:00:00+00:00Z,2023-11-21T11:00:00+00:00Z,0.3562,0.363,0.32507,0.36015,3005654.17,1043044.2433587,0,0,0
2023-11-21T11:00:00+00:00Z,2023-11-21T12:00:00+00:00Z,0.36015,0.36044,0.33756,0.34146,1598173.14,555037.0532063,0,0,0
2023-11-21T12:00:00+00:00Z,2023-11-21T13:00:00+00:00Z,0.34146,0.34976,0.33408,0.34552,1164726.42,399145.7428543,0,0,0
2023-11-21T13:00:00+00:00Z,2023-11-21T14:00:00+00:00Z,0.34552,0.34698,0.32,0.32307,2364858.65,788611.5620483,0,0,0
2023-11-21T14:00:00+00:00Z,2023-11-21T15:00:00+00:00Z,0.32307,0.32816,0.31,0.31248,2836480.94,904731.2028932,0,0,0
2023-11-21T15:00:00+00:00Z,2023-11-21T16:00:00+00:00Z,0.31248,0.33964,0.3,0.32578,4144466.45,1310674.4343013,0,0,0
2023-11-21T16:00:00+00:00Z,2023-11-21T17:00:00+00:00Z,0.32578,0.33442,0.31556,0.32788,2291751.04,751753.9858288,0,0,0
2023-11-21T17:00:00+00:00Z,2023-11-21T18:00:00+00:00Z,0.32788,0.34897,0.3,0.31837,4067362.25,1322273.8779739,0,0,0
2023-11-21T18:00:00+00:00Z,2023-11-21T19:00:00+00:00Z,0.31837,0.31877,0.29,0.308,3232694.72,980136.9308779,0,0,0
2023-11-21T19:00:00+00:00Z,2023-11-21T20:00:00+00:00Z,0.308,0.31851,0.30282,0.30884,1003919.43,312511.1496351,0,0,0
2023-11-21T20:00:00+00:00Z,2023-11-21T21:00:00+00:00Z,0.30884,0.32478,0.29952,0.32186,997271.72,312122.4572936,0,0,0
2023-11-21T21:00:00+00:00Z,2023-11-21T22:00:00+00:00Z,0.32186,0.32396,0.29442,0.29638,1129903.14,347657.3741483,0,0,0
2023-11-21T22:00:00+00:00Z,2023-11-21T23:00:00+00:00Z,0.29638,0.30941,0.29625,0.3024,907055.16,274961.5214804,0,0,0
2023-11-21T23:00:00+00:00Z,2023-11-22T00:00:00+00:00Z,0.3024,0.30849,0.29105,0.29246,703931.62,211810.221412,0,0,0
2023-11-22T00:00:00+00:00Z,2023-11-22T01:00:00+00:00Z,0.29246,0.32956,0.29,0.32789,1793896.83,553460.4369803,0,0,0
2023-11-22T01:00:00+00:00Z,2023-11-22T02:00:00+00:00Z,0.32789,0.33598,0.32167,0.33315,1523382.18,504658.1534441,0,0,0
2023-11-22T02:00:00+00:00Z,2023-11-22T03:00:00+00:00Z,0.33315,0.34,0.32473,0.33152,1567769.05,525011.2753023,0,0,0
2023-11-22T03:00:00+00:00Z,2023-11-22T04:00:00+00:00Z,0.33152,0.34267,0.32893,0.34076,312929.7,105067.9128973,0,0,0
