# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,ZILUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2021-12-29T12:00:00+00:00Z
# t0_final_iso,2021-12-29T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,da8c4e7e3afac1b6
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-12-29T12:00:00+00:00Z,2021-12-29T13:00:00+00:00Z,0.08047,0.08049,0.07631,0.07749,19499.4,1519.80709,0,0,0
2021-12-29T13:00:00+00:00Z,2021-12-29T14:00:00+00:00Z,0.07749,0.07908,0.0756,0.07847,21055.9,1625.983332,0,0,0
2021-12-29T14:00:00+00:00Z,2021-12-29T15:00:00+00:00Z,0.07847,0.08096,0.07847,0.08026,18359.2,1468.721576,0,0,0
2021-12-29T15:00:00+00:00Z,2021-12-29T16:00:00+00:00Z,0.08026,0.08096,0.0795,0.07968,63013.3,5033.998532,0,0,0
2021-12-29T16:00:00+00:00Z,2021-12-29T17:00:00+00:00Z,0.07968,0.08035,0.0795,0.07993,67994.1,5408.931513,0,0,0
2021-12-29T17:00:00+00:00Z,2021-12-29T18:00:00+00:00Z,0.07993,0.081,0.0795,0.07955,26110.1,2089.49166,0,0,0
2021-12-29T18:00:00+00:00Z,2021-12-29T19:00:00+00:00Z,0.07955,0.08087,0.0795,0.0795,83636.6,6657.609463,0,0,0
2021-12-29T19:00:00+00:00Z,2021-12-29T20:00:00+00:00Z,0.0795,0.0795,0.078,0.078,83815.5,6542.706155,0,0,0
2021-12-29T20:00:00+00:00Z,2021-12-29T21:00:00+00:00Z,0.078,0.08004,0.078,0.07864,77168.0,6032.0627,0,0,0
2021-12-29T21:00:00+00:00Z,2021-12-29T22:00:00+00:00Z,0.07864,0.07954,0.078,0.07919,20608.1,1619.825917,0,0,0
2021-12-29T22:00:00+00:00Z,2021-12-29T23:00:00+00:00Z,0.07919,0.08098,0.07813,0.07909,16086.1,1275.654254,0,0,0
2021-12-29T23:00:00+00:00Z,2021-12-30T00:00:00+00:00Z,0.07909,0.08279,0.07894,0.08086,21582.2,1738.929597,0,0,0
2021-12-30T00:00:00+00:00Z,2021-12-30T01:00:00+00:00Z,0.08086,0.08092,0.07637,0.07835,23982.5,1874.205511,0,0,0
2021-12-30T01:00:00+00:00Z,2021-12-30T02:00:00+00:00Z,0.07835,0.07917,0.07671,0.07785,16898.9,1312.475246,0,0,0
2021-12-30T02:00:00+00:00Z,2021-12-30T03:00:00+00:00Z,0.07785,0.07802,0.07581,0.07691,18547.3,1422.58916,0,0,0
2021-12-30T03:00:00+00:00Z,2021-12-30T04:00:00+00:00Z,0.07691,0.07763,0.07589,0.07681,17719.6,1358.99455,0,0,0
2021-12-30T04:00:00+00:00Z,2021-12-30T05:00:00+00:00Z,0.07681,0.07822,0.07621,0.07806,13518.5,1048.49189,0,0,0
2021-12-30T05:00:00+00:00Z,2021-12-30T06:00:00+00:00Z,0.07806,0.07868,0.07699,0.07838,19132.6,1485.435246,0,0,0
2021-12-30T06:00:00+00:00Z,2021-12-30T07:00:00+00:00Z,0.07838,0.07913,0.07736,0.07877,15400.6,1204.130954,0,0,0
2021-12-30T07:00:00+00:00Z,2021-12-30T08:00:00+00:00Z,0.07877,0.07989,0.07791,0.07976,14733.4,1165.106729,0,0,0
2021-12-30T08:00:00+00:00Z,2021-12-30T09:00:00+00:00Z,0.07976,0.08022,0.0783,0.0783,14783.3,1171.396657,0,0,0
2021-12-30T09:00:00+00:00Z,2021-12-30T10:00:00+00:00Z,0.0783,0.07983,0.0783,0.0787,14583.3,1151.12192,0,0,0
2021-12-30T10:00:00+00:00Z,2021-12-30T11:00:00+00:00Z,0.0787,0.08129,0.0787,0.08039,15349.7,1229.825408,0,0,0
2021-12-30T11:00:00+00:00Z,2021-12-30T12:00:00+00:00Z,0.08039,0.08328,0.0791,0.08226,73235.9,5916.696895,0,0,0
2021-12-30T12:00:00+00:00Z,2021-12-30T13:00:00+00:00Z,0.08226,0.08347,0.0814,0.08229,15673.4,1298.152729,0,0,0
2021-12-30T13:00:00+00:00Z,2021-12-30T14:00:00+00:00Z,0.08229,0.08281,0.08064,0.08065,17252.5,1405.915091,0,0,0
2021-12-30T14:00:00+00:00Z,2021-12-30T15:00:00+00:00Z,0.08065,0.0816,0.07937,0.08023,20165.8,1619.622028,0,0,0
2021-12-30T15:00:00+00:00Z,2021-12-30T16:00:00+00:00Z,0.08023,0.0818,0.0795,0.0795,16679.3,1342.519378,0,0,0
2021-12-30T16:00:00+00:00Z,2021-12-30T17:00:00+00:00Z,0.0795,0.08204,0.0795,0.081,81365.8,6600.713884,0,0,0
2021-12-30T17:00:00+00:00Z,2021-12-30T18:00:00+00:00Z,0.081,0.0819,0.0805,0.08072,19973.9,1620.074744,0,0,0
2021-12-30T18:00:00+00:00Z,2021-12-30T19:00:00+00:00Z,0.08072,0.08143,0.08,0.08091,25644.6,2066.113178,0,0,0
2021-12-30T19:00:00+00:00Z,2021-12-30T20:00:00+00:00Z,0.08091,0.08098,0.07945,0.07948,28065.7,2247.931237,0,0,0
2021-12-30T20:00:00+00:00Z,2021-12-30T21:00:00+00:00Z,0.07948,0.08058,0.07726,0.078,14969.0,1189.56302,0,0,0
2021-12-30T21:00:00+00:00Z,2021-12-30T22:00:00+00:00Z,0.078,0.07954,0.078,0.07871,37180.2,2927.304819,0,0,0
2021-12-30T22:00:00+00:00Z,2021-12-30T23:00:00+00:00Z,0.07871,0.07949,0.07744,0.07813,14919.4,1171.981511,0,0,0
2021-12-30T23:00:00+00:00Z,2021-12-31T00:00:00+00:00Z,0.07813,0.07917,0.07795,0.07861,16747.1,1314.528725,0,0,0
2021-12-31T00:00:00+00:00Z,2021-12-31T01:00:00+00:00Z,0.07861,0.07943,0.07704,0.07807,19819.0,1554.961329,0,0,0
2021-12-31T01:00:00+00:00Z,2021-12-31T02:00:00+00:00Z,0.07807,0.0792,0.07706,0.07829,19037.2,1492.271516,0,0,0
2021-12-31T02:00:00+00:00Z,2021-12-31T03:00:00+00:00Z,0.07829,0.07908,0.07734,0.07819,29229.8,2273.534446,0,0,0
2021-12-31T03:00:00+00:00Z,2021-12-31T04:00:00+00:00Z,0.07819,0.0791,0.07789,0.0791,18979.4,1493.01721,0,0,0
2021-12-31T04:00:00+00:00Z,2021-12-31T05:00:00+00:00Z,0.0791,0.07915,0.07857,0.07883,14738.1,1163.057937,0,0,0
2021-12-31T05:00:00+00:00Z,2021-12-31T06:00:00+00:00Z,0.07883,0.07926,0.07863,0.07912,16107.4,1273.998304,0,0,0
2021-12-31T06:00:00+00:00Z,2021-12-31T07:00:00+00:00Z,0.07912,0.07912,0.0782,0.07865,12903.6,1013.828999,0,0,0
2021-12-31T07:00:00+00:00Z,2021-12-31T08:00:00+00:00Z,0.07865,0.07865,0.07749,0.07804,13126.4,1026.13473,0,0,0
2021-12-31T08:00:00+00:00Z,2021-12-31T09:00:00+00:00Z,0.07804,0.08117,0.07776,0.08001,22895.5,1807.959779,0,0,0
2021-12-31T09:00:00+00:00Z,2021-12-31T10:00:00+00:00Z,0.08001,0.08087,0.07929,0.07939,20358.9,1631.44537,0,0,0
2021-12-31T10:00:00+00:00Z,2021-12-31T11:00:00+00:00Z,0.07939,0.08076,0.07939,0.08008,24618.4,1972.39902,0,0,0
2021-12-31T11:00:00+00:00Z,2021-12-31T12:00:00+00:00Z,0.08008,0.081,0.07873,0.0798,51965.9,4153.308669,0,0,0
2021-12-31T12:00:00+00:00Z,2021-12-31T13:00:00+00:00Z,0.0798,0.08044,0.07913,0.07983,18476.7,1472.540436,0,0,0
2021-12-31T13:00:00+00:00Z,2021-12-31T14:00:00+00:00Z,0.07983,0.0803,0.07888,0.08004,27969.9,2225.626683,0,0,0
2021-12-31T14:00:00+00:00Z,2021-12-31T15:00:00+00:00Z,0.08004,0.08004,0.07863,0.07918,20799.5,1646.35647,0,0,0
2021-12-31T15:00:00+00:00Z,2021-12-31T16:00:00+00:00Z,0.07918,0.08061,0.07885,0.08019,15599.5,1240.279307,0,0,0
2021-12-31T16:00:00+00:00Z,2021-12-31T17:00:00+00:00Z,0.08019,0.08041,0.07821,0.07881,16056.7,1276.20038,0,0,0
2021-12-31T17:00:00+00:00Z,2021-12-31T18:00:00+00:00Z,0.07881,0.07904,0.07664,0.07735,18412.4,1431.355759,0,0,0
2021-12-31T18:00:00+00:00Z,2021-12-31T19:00:00+00:00Z,0.07735,0.07808,0.07614,0.07647,17041.7,1315.436281,0,0,0
2021-12-31T19:00:00+00:00Z,2021-12-31T20:00:00+00:00Z,0.07647,0.07678,0.07428,0.07451,16485.0,1244.196805,0,0,0
2021-12-31T20:00:00+00:00Z,2021-12-31T21:00:00+00:00Z,0.07451,0.0753,0.07356,0.07412,15631.9,1161.669868,0,0,0
2021-12-31T21:00:00+00:00Z,2021-12-31T22:00:00+00:00Z,0.07412,0.07563,0.0735,0.07563,19493.7,1460.582752,0,0,0
2021-12-31T22:00:00+00:00Z,2021-12-31T23:00:00+00:00Z,0.07563,0.0761,0.07467,0.07486,13716.6,1032.978304,0,0,0
2021-12-31T23:00:00+00:00Z,2022-01-01T00:00:00+00:00Z,0.07486,0.07591,0.07486,0.07538,16482.2,1243.947951,0,0,0
2022-01-01T00:00:00+00:00Z,2022-01-01T01:00:00+00:00Z,0.07538,0.07668,0.07481,0.0758,15702.9,1188.534902,0,0,0
2022-01-01T01:00:00+00:00Z,2022-01-01T02:00:00+00:00Z,0.0758,0.07692,0.07567,0.07606,15129.5,1155.301417,0,0,0
2022-01-01T02:00:00+00:00Z,2022-01-01T03:00:00+00:00Z,0.07606,0.07696,0.07597,0.07612,16697.7,1276.001377,0,0,0
2022-01-01T03:00:00+00:00Z,2022-01-01T04:00:00+00:00Z,0.07612,0.0767,0.07578,0.07639,16052.6,1224.927275,0,0,0
2022-01-01T04:00:00+00:00Z,2022-01-01T05:00:00+00:00Z,0.07639,0.07653,0.07518,0.07578,16359.6,1240.488916,0,0,0
2022-01-01T05:00:00+00:00Z,2022-01-01T06:00:00+00:00Z,0.07578,0.07732,0.07546,0.07611,16959.4,1293.668638,0,0,0
2022-01-01T06:00:00+00:00Z,2022-01-01T07:00:00+00:00Z,0.07611,0.07695,0.07558,0.07561,16525.7,1260.370279,0,0,0
2022-01-01T07:00:00+00:00Z,2022-01-01T08:00:00+00:00Z,0.07561,0.07745,0.07524,0.07745,17134.7,1304.056795,0,0,0
2022-01-01T08:00:00+00:00Z,2022-01-01T09:00:00+00:00Z,0.07745,0.07745,0.07587,0.07621,20369.8,1552.232482,0,0,0
2022-01-01T09:00:00+00:00Z,2022-01-01T10:00:00+00:00Z,0.07621,0.07672,0.07547,0.07563,18307.3,1390.453278,0,0,0
2022-01-01T10:00:00+00:00Z,2022-01-01T11:00:00+00:00Z,0.07563,0.0764,0.07517,0.07554,20362.1,1541.822469,0,0,0
2022-01-01T11:00:00+00:00Z,2022-01-01T12:00:00+00:00Z,0.07554,0.07605,0.07517,0.07518,16862.9,1274.643745,0,0,0
