# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,KILOUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-03-27T13:00:00+00:00Z
# t0_final_iso,2025-03-27T13:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,7e554fb8a9d05244
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-03-27T13:00:00+00:00Z,2025-03-27T14:00:00+00:00Z,0.02,0.155,0.015,0.14237,5133804.1,693678.298122,0,0,0
2025-03-27T14:00:00+00:00Z,2025-03-27T15:00:00+00:00Z,0.14237,0.1425,0.1088,0.11031,8866973.1,1093861.74501,0,0,0
2025-03-27T15:00:00+00:00Z,2025-03-27T16:00:00+00:00Z,0.11031,0.12233,0.10798,0.11012,7104901.9,811772.012164,0,0,0
2025-03-27T16:00:00+00:00Z,2025-03-27T17:00:00+00:00Z,0.11012,0.125,0.11,0.1242,3590744.9,415544.796365,0,0,0
2025-03-27T17:00:00+00:00Z,2025-03-27T18:00:00+00:00Z,0.1242,0.1296,0.11192,0.11541,3699428.3,448801.589385,0,0,0
2025-03-27T18:00:00+00:00Z,2025-03-27T19:00:00+00:00Z,0.11541,0.1178,0.11099,0.11199,2892331.3,330619.839871,0,0,0
2025-03-27T19:00:00+00:00Z,2025-03-27T20:00:00+00:00Z,0.11199,0.1232,0.11172,0.12011,1973001.6,234994.584625,0,0,0
2025-03-27T20:00:00+00:00Z,2025-03-27T21:00:00+00:00Z,0.12011,0.12025,0.1106,0.11362,1071344.2,122689.959774,0,0,0
2025-03-27T21:00:00+00:00Z,2025-03-27T22:00:00+00:00Z,0.11362,0.11458,0.11082,0.11209,1093108.9,122836.286114,0,0,0
2025-03-27T22:00:00+00:00Z,2025-03-27T23:00:00+00:00Z,0.11209,0.11648,0.10906,0.11573,1558445.2,173741.726304,0,0,0
2025-03-27T23:00:00+00:00Z,2025-03-28T00:00:00+00:00Z,0.11573,0.12423,0.1135,0.12155,1120889.2,132858.790131,0,0,0
2025-03-28T00:00:00+00:00Z,2025-03-28T01:00:00+00:00Z,0.12155,0.1249,0.11374,0.11697,1473370.9,176357.460761,0,0,0
2025-03-28T01:00:00+00:00Z,2025-03-28T02:00:00+00:00Z,0.11697,0.11713,0.11162,0.1158,1019678.1,116023.300331,0,0,0
2025-03-28T02:00:00+00:00Z,2025-03-28T03:00:00+00:00Z,0.1158,0.11957,0.11185,0.11534,1184265.8,137397.240558,0,0,0
2025-03-28T03:00:00+00:00Z,2025-03-28T04:00:00+00:00Z,0.11534,0.121,0.11477,0.11933,1095112.0,129616.54727,0,0,0
2025-03-28T04:00:00+00:00Z,2025-03-28T05:00:00+00:00Z,0.11933,0.1195,0.1123,0.11378,873984.8,101554.575598,0,0,0
2025-03-28T05:00:00+00:00Z,2025-03-28T06:00:00+00:00Z,0.11378,0.11455,0.09211,0.09211,2857001.0,290524.557659,0,0,0
2025-03-28T06:00:00+00:00Z,2025-03-28T07:00:00+00:00Z,0.09211,0.0975,0.08661,0.09478,2699519.6,249123.437921,0,0,0
2025-03-28T07:00:00+00:00Z,2025-03-28T08:00:00+00:00Z,0.09478,0.09478,0.08904,0.09106,893875.3,81442.558611,0,0,0
2025-03-28T08:00:00+00:00Z,2025-03-28T09:00:00+00:00Z,0.09106,0.09476,0.08998,0.0901,1268005.1,117728.436011,0,0,0
2025-03-28T09:00:00+00:00Z,2025-03-28T10:00:00+00:00Z,0.0901,0.09267,0.08284,0.087,1894000.5,165570.926842,0,0,0
2025-03-28T10:00:00+00:00Z,2025-03-28T11:00:00+00:00Z,0.087,0.092,0.08309,0.08773,3025301.4,261432.320212,0,0,0
2025-03-28T11:00:00+00:00Z,2025-03-28T12:00:00+00:00Z,0.08773,0.08799,0.08273,0.08557,1736158.7,147588.591142,0,0,0
2025-03-28T12:00:00+00:00Z,2025-03-28T13:00:00+00:00Z,0.08557,0.08753,0.0839,0.08563,624562.7,53440.119438,0,0,0
2025-03-28T13:00:00+00:00Z,2025-03-28T14:00:00+00:00Z,0.08563,0.08861,0.08483,0.08846,1184609.6,102506.997777,0,0,0
