# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,AIXBTUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-01-10T10:00:00+00:00Z
# t0_final_iso,2025-01-10T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,b02da5d2b1cdea7d
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-01-10T10:00:00+00:00Z,2025-01-10T11:00:00+00:00Z,0.25,0.63,0.25,0.5712,4513408.4,2634967.486227,0,0,0
2025-01-10T11:00:00+00:00Z,2025-01-10T12:00:00+00:00Z,0.5712,0.5725,0.5431,0.5597,1235891.49,689011.142399,0,0,0
2025-01-10T12:00:00+00:00Z,2025-01-10T13:00:00+00:00Z,0.5597,0.585,0.5556,0.5806,1686861.97,963227.10432,0,0,0
2025-01-10T13:00:00+00:00Z,2025-01-10T14:00:00+00:00Z,0.5806,0.5829,0.4824,0.5131,3293285.26,1721440.973305,0,0,0
2025-01-10T14:00:00+00:00Z,2025-01-10T15:00:00+00:00Z,0.5131,0.5387,0.5034,0.5329,1565801.68,822772.189091,0,0,0
2025-01-10T15:00:00+00:00Z,2025-01-10T16:00:00+00:00Z,0.5329,0.5329,0.5059,0.5083,1226600.7,638407.596001,0,0,0
2025-01-10T16:00:00+00:00Z,2025-01-10T17:00:00+00:00Z,0.5083,0.536,0.5062,0.519,869211.06,456377.775465,0,0,0
2025-01-10T17:00:00+00:00Z,2025-01-10T18:00:00+00:00Z,0.519,0.5627,0.5129,0.5617,1154913.66,623056.201767,0,0,0
2025-01-10T18:00:00+00:00Z,2025-01-10T19:00:00+00:00Z,0.5617,0.5768,0.5427,0.5433,950739.74,531436.616409,0,0,0
2025-01-10T19:00:00+00:00Z,2025-01-10T20:00:00+00:00Z,0.5433,0.547,0.52,0.5273,643620.23,343431.897874,0,0,0
2025-01-10T20:00:00+00:00Z,2025-01-10T21:00:00+00:00Z,0.5273,0.5335,0.5124,0.5194,613599.58,320155.258528,0,0,0
2025-01-10T21:00:00+00:00Z,2025-01-10T22:00:00+00:00Z,0.5194,0.5244,0.5111,0.5131,321020.0,166468.287513,0,0,0
2025-01-10T22:00:00+00:00Z,2025-01-10T23:00:00+00:00Z,0.5131,0.5191,0.504,0.5063,382743.45,195611.748745,0,0,0
2025-01-10T23:00:00+00:00Z,2025-01-11T00:00:00+00:00Z,0.5063,0.512,0.5,0.5058,375662.27,189791.313134,0,0,0
2025-01-11T00:00:00+00:00Z,2025-01-11T01:00:00+00:00Z,0.5058,0.5087,0.4819,0.4886,610078.74,299948.066993,0,0,0
2025-01-11T01:00:00+00:00Z,2025-01-11T02:00:00+00:00Z,0.4886,0.4965,0.4699,0.4832,786738.97,377314.103936,0,0,0
2025-01-11T02:00:00+00:00Z,2025-01-11T03:00:00+00:00Z,0.4832,0.4863,0.4738,0.4756,406998.31,194889.2088,0,0,0
