# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,KDAUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2022-08-05T10:00:00+00:00Z
# t0_final_iso,2022-08-05T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,c0092a8cf69876bc
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-08-05T10:00:00+00:00Z,2022-08-05T11:00:00+00:00Z,2.027,2.0509,1.96,2.0298,1950.17,3954.89055,0,0,0
2022-08-05T11:00:00+00:00Z,2022-08-05T12:00:00+00:00Z,2.0298,2.0777,1.9937,2.0776,1003.12,2074.464116,0,0,0
2022-08-05T12:00:00+00:00Z,2022-08-05T13:00:00+00:00Z,2.0776,2.123,2.01,2.0568,1270.8,2616.295028,0,0,0
2022-08-05T13:00:00+00:00Z,2022-08-05T14:00:00+00:00Z,2.0568,2.0866,2.01,2.0585,192.73,395.632546,0,0,0
2022-08-05T14:00:00+00:00Z,2022-08-05T15:00:00+00:00Z,2.0585,2.0946,2.034,2.0341,922.65,1917.21999,0,0,0
2022-08-05T15:00:00+00:00Z,2022-08-05T16:00:00+00:00Z,2.0341,2.0452,1.9808,2.0332,1257.72,2522.351807,0,0,0
2022-08-05T16:00:00+00:00Z,2022-08-05T17:00:00+00:00Z,2.0332,2.0896,1.9809,2.0402,769.65,1586.24083,0,0,0
2022-08-05T17:00:00+00:00Z,2022-08-05T18:00:00+00:00Z,2.0402,2.1,2.0194,2.0194,185.31,379.877362,0,0,0
2022-08-05T18:00:00+00:00Z,2022-08-05T19:00:00+00:00Z,2.0194,2.0758,2.0098,2.052,88.09,178.900444,0,0,0
2022-08-05T19:00:00+00:00Z,2022-08-05T20:00:00+00:00Z,2.052,2.1329,2.0205,2.0673,1728.71,3620.736679,0,0,0
2022-08-05T20:00:00+00:00Z,2022-08-05T21:00:00+00:00Z,2.0673,2.1319,2.0535,2.1016,8863.23,18536.374895,0,0,0
2022-08-05T21:00:00+00:00Z,2022-08-05T22:00:00+00:00Z,2.1016,2.1073,2.0512,2.1003,111.87,234.786833,0,0,0
