# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,TACUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-07-15T10:00:00+00:00Z
# t0_final_iso,2025-07-15T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,81cff1a2465af41a
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-07-15T10:00:00+00:00Z,2025-07-15T11:00:00+00:00Z,0.005,0.05,0.005,0.024809,197577143.7,3940986.2982682,0,0,0
2025-07-15T11:00:00+00:00Z,2025-07-15T12:00:00+00:00Z,0.024809,0.0256,0.020519,0.02104,151551258.3,3354574.8228985,0,0,0
2025-07-15T12:00:00+00:00Z,2025-07-15T13:00:00+00:00Z,0.02104,0.021551,0.018241,0.020168,101069630.2,1970656.6905722,0,0,0
2025-07-15T13:00:00+00:00Z,2025-07-15T14:00:00+00:00Z,0.020168,0.021699,0.01873,0.019334,82176814.5,1671910.6511577,0,0,0
2025-07-15T14:00:00+00:00Z,2025-07-15T15:00:00+00:00Z,0.019334,0.02114,0.018888,0.020793,59478817.0,1202221.445072,0,0,0
2025-07-15T15:00:00+00:00Z,2025-07-15T16:00:00+00:00Z,0.020793,0.021893,0.020027,0.021429,80573098.6,1705311.7917594,0,0,0
2025-07-15T16:00:00+00:00Z,2025-07-15T17:00:00+00:00Z,0.021429,0.022781,0.0208,0.022639,95773623.9,2073042.4332882,0,0,0
2025-07-15T17:00:00+00:00Z,2025-07-15T18:00:00+00:00Z,0.022639,0.023497,0.022391,0.0234,56938010.8,1309712.6060307,0,0,0
2025-07-15T18:00:00+00:00Z,2025-07-15T19:00:00+00:00Z,0.0234,0.023588,0.021375,0.021762,53123734.2,1203078.5646901,0,0,0
2025-07-15T19:00:00+00:00Z,2025-07-15T20:00:00+00:00Z,0.021762,0.023119,0.019858,0.021437,110927370.7,2374897.1515107,0,0,0
2025-07-15T20:00:00+00:00Z,2025-07-15T21:00:00+00:00Z,0.021437,0.021759,0.020385,0.020406,40424109.4,847319.8693215,0,0,0
2025-07-15T21:00:00+00:00Z,2025-07-15T22:00:00+00:00Z,0.020406,0.0215,0.019856,0.020811,30223009.8,622835.6017699,0,0,0
2025-07-15T22:00:00+00:00Z,2025-07-15T23:00:00+00:00Z,0.020811,0.020891,0.020053,0.020332,18209502.4,372484.5922637,0,0,0
2025-07-15T23:00:00+00:00Z,2025-07-16T00:00:00+00:00Z,0.020332,0.021119,0.02015,0.020444,29329806.7,604605.2313375,0,0,0
2025-07-16T00:00:00+00:00Z,2025-07-16T01:00:00+00:00Z,0.020444,0.021351,0.020247,0.020978,32037022.2,667468.8577218,0,0,0
2025-07-16T01:00:00+00:00Z,2025-07-16T02:00:00+00:00Z,0.020978,0.021772,0.020629,0.021147,23685990.9,500840.5372667,0,0,0
2025-07-16T02:00:00+00:00Z,2025-07-16T03:00:00+00:00Z,0.021147,0.021369,0.018622,0.018979,30047929.4,591460.8697691,0,0,0
2025-07-16T03:00:00+00:00Z,2025-07-16T04:00:00+00:00Z,0.018979,0.018979,0.017075,0.01716,53140205.7,958124.0905152,0,0,0
2025-07-16T04:00:00+00:00Z,2025-07-16T05:00:00+00:00Z,0.01716,0.019557,0.01716,0.018382,126707634.0,2315045.8922576,0,0,0
2025-07-16T05:00:00+00:00Z,2025-07-16T06:00:00+00:00Z,0.018382,0.019434,0.018159,0.019066,31633629.4,589163.166005,0,0,0
2025-07-16T06:00:00+00:00Z,2025-07-16T07:00:00+00:00Z,0.019066,0.019446,0.018587,0.018777,25734217.9,489534.6152447,0,0,0
2025-07-16T07:00:00+00:00Z,2025-07-16T08:00:00+00:00Z,0.018777,0.019008,0.01833,0.018843,22357385.5,416444.800797,0,0,0
2025-07-16T08:00:00+00:00Z,2025-07-16T09:00:00+00:00Z,0.018843,0.019049,0.018104,0.018409,25846824.7,478781.2783117,0,0,0
2025-07-16T09:00:00+00:00Z,2025-07-16T10:00:00+00:00Z,0.018409,0.018661,0.018084,0.018219,17897372.4,329652.7497391,0,0,0
2025-07-16T10:00:00+00:00Z,2025-07-16T11:00:00+00:00Z,0.018219,0.018446,0.0177,0.01772,29085983.8,524964.4675493,0,0,0
