# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,AFGUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-01-30T10:00:00+00:00Z
# t0_final_iso,2024-01-30T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,da8a4c72516f1542
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-01-30T10:00:00+00:00Z,2024-01-30T11:00:00+00:00Z,0.035,0.3625,0.035,0.23313,3849078.99,1094029.1055109,0,0,0
2024-01-30T11:00:00+00:00Z,2024-01-30T12:00:00+00:00Z,0.23313,0.26,0.2043,0.20461,789048.93,177744.7076343,0,0,0
2024-01-30T12:00:00+00:00Z,2024-01-30T13:00:00+00:00Z,0.20461,0.21,0.1653,0.17792,1280338.2,241848.7234046,0,0,0
2024-01-30T13:00:00+00:00Z,2024-01-30T14:00:00+00:00Z,0.17792,0.22308,0.1655,0.22103,715167.63,141079.1846279,0,0,0
2024-01-30T14:00:00+00:00Z,2024-01-30T15:00:00+00:00Z,0.22103,0.24,0.19221,0.22,567540.61,122695.5296404,0,0,0
2024-01-30T15:00:00+00:00Z,2024-01-30T16:00:00+00:00Z,0.22,0.26712,0.2143,0.23108,894638.71,215759.4003828,0,0,0
2024-01-30T16:00:00+00:00Z,2024-01-30T17:00:00+00:00Z,0.23108,0.245,0.215,0.2224,336261.26,76969.7758006,0,0,0
2024-01-30T17:00:00+00:00Z,2024-01-30T18:00:00+00:00Z,0.2224,0.2265,0.20429,0.22563,168951.38,36637.284379,0,0,0
2024-01-30T18:00:00+00:00Z,2024-01-30T19:00:00+00:00Z,0.22563,0.22599,0.2,0.20941,170601.88,36143.7314682,0,0,0
2024-01-30T19:00:00+00:00Z,2024-01-30T20:00:00+00:00Z,0.20941,0.22254,0.19712,0.205,212463.71,43949.6443681,0,0,0
2024-01-30T20:00:00+00:00Z,2024-01-30T21:00:00+00:00Z,0.205,0.20744,0.19,0.19817,173693.57,34586.7717548,0,0,0
2024-01-30T21:00:00+00:00Z,2024-01-30T22:00:00+00:00Z,0.19817,0.20729,0.18999,0.19232,139298.03,27259.305861,0,0,0
2024-01-30T22:00:00+00:00Z,2024-01-30T23:00:00+00:00Z,0.19232,0.2,0.19232,0.19655,87565.49,17127.3256844,0,0,0
2024-01-30T23:00:00+00:00Z,2024-01-31T00:00:00+00:00Z,0.19655,0.19765,0.18101,0.18129,58116.42,11062.0278612,0,0,0
2024-01-31T00:00:00+00:00Z,2024-01-31T01:00:00+00:00Z,0.18129,0.1986,0.181,0.1936,62286.46,11962.1289403,0,0,0
2024-01-31T01:00:00+00:00Z,2024-01-31T02:00:00+00:00Z,0.1936,0.19999,0.19297,0.19298,34246.63,6702.502679,0,0,0
2024-01-31T02:00:00+00:00Z,2024-01-31T03:00:00+00:00Z,0.19298,0.1943,0.182,0.18208,27544.33,5226.754194,0,0,0
2024-01-31T03:00:00+00:00Z,2024-01-31T04:00:00+00:00Z,0.18208,0.18623,0.17806,0.17898,58916.34,10708.4475874,0,0,0
2024-01-31T04:00:00+00:00Z,2024-01-31T05:00:00+00:00Z,0.17898,0.1935,0.17792,0.18773,71519.45,13275.852522,0,0,0
2024-01-31T05:00:00+00:00Z,2024-01-31T06:00:00+00:00Z,0.18773,0.1935,0.18,0.18187,110289.22,20248.4474905,0,0,0
2024-01-31T06:00:00+00:00Z,2024-01-31T07:00:00+00:00Z,0.18187,0.18904,0.18101,0.18408,57699.2,10648.8784562,0,0,0
2024-01-31T07:00:00+00:00Z,2024-01-31T08:00:00+00:00Z,0.18408,0.18661,0.18174,0.18426,50825.77,9410.5032316,0,0,0
2024-01-31T08:00:00+00:00Z,2024-01-31T09:00:00+00:00Z,0.18426,0.18461,0.17435,0.18,98646.29,17750.5532134,0,0,0
2024-01-31T09:00:00+00:00Z,2024-01-31T10:00:00+00:00Z,0.18,0.181,0.16401,0.16403,134222.58,23226.6394828,0,0,0
2024-01-31T10:00:00+00:00Z,2024-01-31T11:00:00+00:00Z,0.16403,0.16749,0.151,0.15513,383097.05,60475.3593555,0,0,0
2024-01-31T11:00:00+00:00Z,2024-01-31T12:00:00+00:00Z,0.15513,0.156,0.1309,0.14469,689239.84,98639.4540868,0,0,0
2024-01-31T12:00:00+00:00Z,2024-01-31T13:00:00+00:00Z,0.14469,0.15654,0.13801,0.15306,192645.12,28276.6588438,0,0,0
2024-01-31T13:00:00+00:00Z,2024-01-31T14:00:00+00:00Z,0.15306,0.15306,0.14123,0.14701,158373.38,23247.9993743,0,0,0
2024-01-31T14:00:00+00:00Z,2024-01-31T15:00:00+00:00Z,0.14701,0.14988,0.13691,0.13916,152976.29,22049.2544234,0,0,0
2024-01-31T15:00:00+00:00Z,2024-01-31T16:00:00+00:00Z,0.13916,0.13972,0.12317,0.131,234033.58,30633.0887343,0,0,0
2024-01-31T16:00:00+00:00Z,2024-01-31T17:00:00+00:00Z,0.131,0.15306,0.1275,0.15221,255826.23,35296.2928045,0,0,0
2024-01-31T17:00:00+00:00Z,2024-01-31T18:00:00+00:00Z,0.15221,0.15995,0.14322,0.15615,186655.67,28889.5866509,0,0,0
2024-01-31T18:00:00+00:00Z,2024-01-31T19:00:00+00:00Z,0.15615,0.15815,0.147,0.14925,72408.71,11010.5736423,0,0,0
2024-01-31T19:00:00+00:00Z,2024-01-31T20:00:00+00:00Z,0.14925,0.15483,0.13986,0.14137,119726.37,17587.9291192,0,0,0
2024-01-31T20:00:00+00:00Z,2024-01-31T21:00:00+00:00Z,0.14137,0.14493,0.13,0.144,116043.45,16086.4109976,0,0,0
2024-01-31T21:00:00+00:00Z,2024-01-31T22:00:00+00:00Z,0.144,0.15337,0.14203,0.15101,135468.95,19984.8928739,0,0,0
2024-01-31T22:00:00+00:00Z,2024-01-31T23:00:00+00:00Z,0.15101,0.15671,0.146,0.1556,87139.22,13207.6774132,0,0,0
2024-01-31T23:00:00+00:00Z,2024-02-01T00:00:00+00:00Z,0.1556,0.162,0.14015,0.14812,88453.71,13439.5247819,0,0,0
2024-02-01T00:00:00+00:00Z,2024-02-01T01:00:00+00:00Z,0.14812,0.15849,0.1414,0.15817,33612.77,5041.9481224,0,0,0
2024-02-01T01:00:00+00:00Z,2024-02-01T02:00:00+00:00Z,0.15817,0.16178,0.14694,0.14694,38402.02,5842.8931414,0,0,0
2024-02-01T02:00:00+00:00Z,2024-02-01T03:00:00+00:00Z,0.14694,0.14694,0.13923,0.143,30187.5,4317.4568097,0,0,0
2024-02-01T03:00:00+00:00Z,2024-02-01T04:00:00+00:00Z,0.143,0.14685,0.14247,0.14473,68967.96,10027.1300685,0,0,0
2024-02-01T04:00:00+00:00Z,2024-02-01T05:00:00+00:00Z,0.14473,0.14614,0.139,0.14055,33759.03,4824.9724382,0,0,0
2024-02-01T05:00:00+00:00Z,2024-02-01T06:00:00+00:00Z,0.14055,0.14065,0.13,0.13502,119796.92,16137.7087704,0,0,0
2024-02-01T06:00:00+00:00Z,2024-02-01T07:00:00+00:00Z,0.13502,0.1415,0.13179,0.13666,46387.63,6344.5160215,0,0,0
2024-02-01T07:00:00+00:00Z,2024-02-01T08:00:00+00:00Z,0.13666,0.1391,0.13178,0.13511,35176.5,4781.029604,0,0,0
2024-02-01T08:00:00+00:00Z,2024-02-01T09:00:00+00:00Z,0.13511,0.13748,0.13026,0.13641,41457.1,5541.1057975,0,0,0
2024-02-01T09:00:00+00:00Z,2024-02-01T10:00:00+00:00Z,0.13641,0.13805,0.13,0.13,49384.25,6502.7774844,0,0,0
2024-02-01T10:00:00+00:00Z,2024-02-01T11:00:00+00:00Z,0.13,0.13366,0.128,0.1287,86271.97,11239.3434006,0,0,0
2024-02-01T11:00:00+00:00Z,2024-02-01T12:00:00+00:00Z,0.1287,0.1302,0.12362,0.12443,39906.95,5050.7870748,0,0,0
2024-02-01T12:00:00+00:00Z,2024-02-01T13:00:00+00:00Z,0.12443,0.12528,0.11714,0.12105,76275.89,9248.2672782,0,0,0
2024-02-01T13:00:00+00:00Z,2024-02-01T14:00:00+00:00Z,0.12105,0.125,0.11654,0.12002,96430.73,11709.3192328,0,0,0
2024-02-01T14:00:00+00:00Z,2024-02-01T15:00:00+00:00Z,0.12002,0.125,0.11391,0.1219,129087.31,15421.5922419,0,0,0
2024-02-01T15:00:00+00:00Z,2024-02-01T16:00:00+00:00Z,0.1219,0.123,0.11835,0.12158,35651.69,4303.103128,0,0,0
2024-02-01T16:00:00+00:00Z,2024-02-01T17:00:00+00:00Z,0.12158,0.12299,0.1145,0.11914,59776.26,7055.1073584,0,0,0
2024-02-01T17:00:00+00:00Z,2024-02-01T18:00:00+00:00Z,0.11914,0.12424,0.11793,0.12097,35917.65,4354.6251352,0,0,0
2024-02-01T18:00:00+00:00Z,2024-02-01T19:00:00+00:00Z,0.12097,0.12499,0.12068,0.12387,38946.5,4765.6683151,0,0,0
2024-02-01T19:00:00+00:00Z,2024-02-01T20:00:00+00:00Z,0.12387,0.12387,0.1216,0.12212,26210.77,3204.1041387,0,0,0
2024-02-01T20:00:00+00:00Z,2024-02-01T21:00:00+00:00Z,0.12212,0.12486,0.12195,0.12402,21080.27,2591.7130552,0,0,0
2024-02-01T21:00:00+00:00Z,2024-02-01T22:00:00+00:00Z,0.12402,0.12405,0.12121,0.12127,22898.23,2803.4631169,0,0,0
2024-02-01T22:00:00+00:00Z,2024-02-01T23:00:00+00:00Z,0.12127,0.12406,0.12127,0.12406,25272.03,3125.4309944,0,0,0
2024-02-01T23:00:00+00:00Z,2024-02-02T00:00:00+00:00Z,0.12406,0.12406,0.11679,0.11679,23001.13,2796.9351602,0,0,0
2024-02-02T00:00:00+00:00Z,2024-02-02T01:00:00+00:00Z,0.11679,0.11842,0.112,0.11297,23964.97,2736.1820725,0,0,0
2024-02-02T01:00:00+00:00Z,2024-02-02T02:00:00+00:00Z,0.11297,0.11839,0.112,0.11578,20083.39,2323.3480515,0,0,0
2024-02-02T02:00:00+00:00Z,2024-02-02T03:00:00+00:00Z,0.11578,0.11663,0.112,0.1129,13135.32,1498.2438504,0,0,0
2024-02-02T03:00:00+00:00Z,2024-02-02T04:00:00+00:00Z,0.1129,0.11433,0.10735,0.11174,30766.94,3414.0274191,0,0,0
2024-02-02T04:00:00+00:00Z,2024-02-02T05:00:00+00:00Z,0.11174,0.11359,0.10839,0.10922,22030.4,2458.4385639,0,0,0
2024-02-02T05:00:00+00:00Z,2024-02-02T06:00:00+00:00Z,0.10922,0.10922,0.10399,0.10672,31005.99,3299.8172641,0,0,0
2024-02-02T06:00:00+00:00Z,2024-02-02T07:00:00+00:00Z,0.10672,0.11404,0.1056,0.10744,35025.1,3789.3164173,0,0,0
2024-02-02T07:00:00+00:00Z,2024-02-02T08:00:00+00:00Z,0.10744,0.11295,0.10423,0.11019,46102.48,4984.2178817,0,0,0
2024-02-02T08:00:00+00:00Z,2024-02-02T09:00:00+00:00Z,0.11019,0.11019,0.1024,0.10346,57524.99,6111.7298637,0,0,0
2024-02-02T09:00:00+00:00Z,2024-02-02T10:00:00+00:00Z,0.10346,0.10604,0.1,0.10037,90189.08,9169.3214849,0,0,0
2024-02-02T10:00:00+00:00Z,2024-02-02T11:00:00+00:00Z,0.10037,0.10387,0.085,0.085,205034.02,19324.3450886,0,0,0
2024-02-02T11:00:00+00:00Z,2024-02-02T12:00:00+00:00Z,0.085,0.09393,0.085,0.09158,150639.68,13584.1454101,0,0,0
2024-02-02T12:00:00+00:00Z,2024-02-02T13:00:00+00:00Z,0.09158,0.09379,0.08575,0.08699,99075.68,8823.4968244,0,0,0
2024-02-02T13:00:00+00:00Z,2024-02-02T14:00:00+00:00Z,0.08699,0.08699,0.078,0.083,247612.34,20146.2915285,0,0,0
2024-02-02T14:00:00+00:00Z,2024-02-02T15:00:00+00:00Z,0.083,0.08522,0.08087,0.08522,65424.56,5396.7338302,0,0,0
2024-02-02T15:00:00+00:00Z,2024-02-02T16:00:00+00:00Z,0.08522,0.09033,0.08143,0.0881,112235.04,9575.0310042,0,0,0
2024-02-02T16:00:00+00:00Z,2024-02-02T17:00:00+00:00Z,0.0881,0.09116,0.079,0.08252,163988.88,13993.5688208,0,0,0
2024-02-02T17:00:00+00:00Z,2024-02-02T18:00:00+00:00Z,0.08252,0.08763,0.08234,0.08491,37648.31,3172.7028319,0,0,0
2024-02-02T18:00:00+00:00Z,2024-02-02T19:00:00+00:00Z,0.08491,0.08763,0.07995,0.082,72506.96,6044.7085383,0,0,0
