# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,LUNAIUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-12-17T08:00:00+00:00Z
# t0_final_iso,2024-12-17T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,5820d17adbceb678
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-12-17T08:00:00+00:00Z,2024-12-17T09:00:00+00:00Z,0.05,0.10598,0.05,0.0985,11193253.5,1090538.617982,0,0,0
2024-12-17T09:00:00+00:00Z,2024-12-17T10:00:00+00:00Z,0.0985,0.11655,0.09832,0.09982,6259718.7,638575.259909,0,0,0
2024-12-17T10:00:00+00:00Z,2024-12-17T11:00:00+00:00Z,0.09982,0.10014,0.0961,0.09682,4150706.4,405013.482278,0,0,0
2024-12-17T11:00:00+00:00Z,2024-12-17T12:00:00+00:00Z,0.09682,0.097,0.09501,0.09503,5017563.0,481142.262876,0,0,0
2024-12-17T12:00:00+00:00Z,2024-12-17T13:00:00+00:00Z,0.09503,0.09581,0.08859,0.0896,3943172.1,368306.96928,0,0,0
2024-12-17T13:00:00+00:00Z,2024-12-17T14:00:00+00:00Z,0.0896,0.09233,0.087,0.08943,3514695.9,316756.892143,0,0,0
2024-12-17T14:00:00+00:00Z,2024-12-17T15:00:00+00:00Z,0.08943,0.0916,0.0814,0.08391,2931879.7,256924.60114,0,0,0
2024-12-17T15:00:00+00:00Z,2024-12-17T16:00:00+00:00Z,0.08391,0.08756,0.0766,0.08471,2221837.2,182624.398092,0,0,0
2024-12-17T16:00:00+00:00Z,2024-12-17T17:00:00+00:00Z,0.08471,0.0873,0.08125,0.08295,1978528.9,165965.698269,0,0,0
2024-12-17T17:00:00+00:00Z,2024-12-17T18:00:00+00:00Z,0.08295,0.086,0.0744,0.0785,2643901.5,214294.428966,0,0,0
2024-12-17T18:00:00+00:00Z,2024-12-17T19:00:00+00:00Z,0.0785,0.082,0.07749,0.07977,3380645.3,270878.891867,0,0,0
2024-12-17T19:00:00+00:00Z,2024-12-17T20:00:00+00:00Z,0.07977,0.08157,0.07748,0.0792,1545807.5,122643.96006,0,0,0
2024-12-17T20:00:00+00:00Z,2024-12-17T21:00:00+00:00Z,0.0792,0.08607,0.07794,0.07914,2277548.4,184970.528268,0,0,0
2024-12-17T21:00:00+00:00Z,2024-12-17T22:00:00+00:00Z,0.07914,0.07914,0.0735,0.07455,1563978.4,117854.014811,0,0,0
2024-12-17T22:00:00+00:00Z,2024-12-17T23:00:00+00:00Z,0.07455,0.07882,0.06829,0.0685,1819740.0,133864.179519,0,0,0
2024-12-17T23:00:00+00:00Z,2024-12-18T00:00:00+00:00Z,0.0685,0.07521,0.06515,0.07134,956390.8,67220.329307,0,0,0
2024-12-18T00:00:00+00:00Z,2024-12-18T01:00:00+00:00Z,0.07134,0.07872,0.06772,0.0723,696819.0,50048.336116,0,0,0
2024-12-18T01:00:00+00:00Z,2024-12-18T02:00:00+00:00Z,0.0723,0.0793,0.0717,0.07929,837941.7,63950.963121,0,0,0
2024-12-18T02:00:00+00:00Z,2024-12-18T03:00:00+00:00Z,0.07929,0.085,0.07721,0.08005,1135754.7,91153.000336,0,0,0
2024-12-18T03:00:00+00:00Z,2024-12-18T04:00:00+00:00Z,0.08005,0.08754,0.08,0.08522,934948.6,78504.71822,0,0,0
2024-12-18T04:00:00+00:00Z,2024-12-18T05:00:00+00:00Z,0.08522,0.08923,0.0841,0.08563,1035583.6,89765.357318,0,0,0
2024-12-18T05:00:00+00:00Z,2024-12-18T06:00:00+00:00Z,0.08563,0.08596,0.08333,0.08478,719563.5,61141.433767,0,0,0
2024-12-18T06:00:00+00:00Z,2024-12-18T07:00:00+00:00Z,0.08478,0.08787,0.08231,0.08399,1379064.4,117375.153638,0,0,0
2024-12-18T07:00:00+00:00Z,2024-12-18T08:00:00+00:00Z,0.08399,0.09,0.08399,0.08821,1222802.2,106666.038897,0,0,0
2024-12-18T08:00:00+00:00Z,2024-12-18T09:00:00+00:00Z,0.08821,0.08848,0.08171,0.08173,1468873.1,126644.385544,0,0,0
2024-12-18T09:00:00+00:00Z,2024-12-18T10:00:00+00:00Z,0.08173,0.09208,0.07981,0.09085,1684561.6,145462.076174,0,0,0
2024-12-18T10:00:00+00:00Z,2024-12-18T11:00:00+00:00Z,0.09085,0.09085,0.08728,0.08804,1995058.1,177398.652842,0,0,0
2024-12-18T11:00:00+00:00Z,2024-12-18T12:00:00+00:00Z,0.08804,0.08934,0.0876,0.08883,1324484.9,117162.505429,0,0,0
2024-12-18T12:00:00+00:00Z,2024-12-18T13:00:00+00:00Z,0.08883,0.09014,0.08594,0.08728,1196782.8,105615.375634,0,0,0
2024-12-18T13:00:00+00:00Z,2024-12-18T14:00:00+00:00Z,0.08728,0.08827,0.08362,0.08432,1026536.9,88540.89319,0,0,0
2024-12-18T14:00:00+00:00Z,2024-12-18T15:00:00+00:00Z,0.08432,0.08575,0.08267,0.08335,1782338.7,150314.064944,0,0,0
2024-12-18T15:00:00+00:00Z,2024-12-18T16:00:00+00:00Z,0.08335,0.08542,0.08291,0.0845,760659.7,64157.687006,0,0,0
2024-12-18T16:00:00+00:00Z,2024-12-18T17:00:00+00:00Z,0.0845,0.08559,0.08314,0.08398,798333.5,67316.832769,0,0,0
2024-12-18T17:00:00+00:00Z,2024-12-18T18:00:00+00:00Z,0.08398,0.08693,0.08263,0.08672,571713.8,48533.97015,0,0,0
2024-12-18T18:00:00+00:00Z,2024-12-18T19:00:00+00:00Z,0.08672,0.08687,0.08462,0.08551,857015.0,73516.739277,0,0,0
2024-12-18T19:00:00+00:00Z,2024-12-18T20:00:00+00:00Z,0.08551,0.08559,0.0805,0.08061,880774.6,73589.597539,0,0,0
2024-12-18T20:00:00+00:00Z,2024-12-18T21:00:00+00:00Z,0.08061,0.0808,0.07718,0.07869,880252.5,69832.388541,0,0,0
2024-12-18T21:00:00+00:00Z,2024-12-18T22:00:00+00:00Z,0.07869,0.08072,0.0786,0.07888,773819.5,61615.491462,0,0,0
2024-12-18T22:00:00+00:00Z,2024-12-18T23:00:00+00:00Z,0.07888,0.07888,0.07679,0.07724,646489.5,50202.778328,0,0,0
2024-12-18T23:00:00+00:00Z,2024-12-19T00:00:00+00:00Z,0.07724,0.07835,0.07607,0.07615,968032.8,74601.676801,0,0,0
2024-12-19T00:00:00+00:00Z,2024-12-19T01:00:00+00:00Z,0.07615,0.07759,0.07456,0.07461,649657.8,49677.479128,0,0,0
2024-12-19T01:00:00+00:00Z,2024-12-19T02:00:00+00:00Z,0.07461,0.07475,0.07122,0.07136,773823.9,56778.166964,0,0,0
2024-12-19T02:00:00+00:00Z,2024-12-19T03:00:00+00:00Z,0.07136,0.07148,0.06787,0.06912,1177520.7,81841.228439,0,0,0
2024-12-19T03:00:00+00:00Z,2024-12-19T04:00:00+00:00Z,0.06912,0.0738,0.06912,0.07322,974406.2,69187.773761,0,0,0
2024-12-19T04:00:00+00:00Z,2024-12-19T05:00:00+00:00Z,0.07322,0.0737,0.07117,0.0718,651798.6,47036.118591,0,0,0
2024-12-19T05:00:00+00:00Z,2024-12-19T06:00:00+00:00Z,0.0718,0.07295,0.07102,0.07231,1054227.7,75658.234979,0,0,0
2024-12-19T06:00:00+00:00Z,2024-12-19T07:00:00+00:00Z,0.07231,0.07403,0.07136,0.07262,1077302.5,77879.378259,0,0,0
2024-12-19T07:00:00+00:00Z,2024-12-19T08:00:00+00:00Z,0.07262,0.07383,0.07214,0.0725,1023409.5,74591.47267,0,0,0
2024-12-19T08:00:00+00:00Z,2024-12-19T09:00:00+00:00Z,0.0725,0.07405,0.07151,0.07343,731895.4,53340.45225,0,0,0
2024-12-19T09:00:00+00:00Z,2024-12-19T10:00:00+00:00Z,0.07343,0.07642,0.07343,0.07641,1370696.6,102527.8003,0,0,0
2024-12-19T10:00:00+00:00Z,2024-12-19T11:00:00+00:00Z,0.07641,0.08338,0.07641,0.08271,2546378.8,201883.870036,0,0,0
2024-12-19T11:00:00+00:00Z,2024-12-19T12:00:00+00:00Z,0.08271,0.08377,0.08126,0.08147,1961400.5,162273.860387,0,0,0
2024-12-19T12:00:00+00:00Z,2024-12-19T13:00:00+00:00Z,0.08147,0.0828,0.07948,0.08003,1656929.3,135024.494631,0,0,0
2024-12-19T13:00:00+00:00Z,2024-12-19T14:00:00+00:00Z,0.08003,0.08218,0.07989,0.08082,1283716.0,103661.077375,0,0,0
2024-12-19T14:00:00+00:00Z,2024-12-19T15:00:00+00:00Z,0.08082,0.08158,0.07789,0.07807,1307346.6,104647.991012,0,0,0
2024-12-19T15:00:00+00:00Z,2024-12-19T16:00:00+00:00Z,0.07807,0.07827,0.07434,0.07714,1522192.9,116602.502626,0,0,0
2024-12-19T16:00:00+00:00Z,2024-12-19T17:00:00+00:00Z,0.07714,0.07732,0.07475,0.07628,1293127.9,98748.992741,0,0,0
2024-12-19T17:00:00+00:00Z,2024-12-19T18:00:00+00:00Z,0.07628,0.07662,0.07141,0.07348,1188345.2,88029.724728,0,0,0
2024-12-19T18:00:00+00:00Z,2024-12-19T19:00:00+00:00Z,0.07348,0.07376,0.0697,0.07356,1281105.1,92760.626622,0,0,0
2024-12-19T19:00:00+00:00Z,2024-12-19T20:00:00+00:00Z,0.07356,0.074,0.0697,0.07019,727384.2,52264.013871,0,0,0
2024-12-19T20:00:00+00:00Z,2024-12-19T21:00:00+00:00Z,0.07019,0.07052,0.06672,0.06964,929226.4,64105.68167,0,0,0
2024-12-19T21:00:00+00:00Z,2024-12-19T22:00:00+00:00Z,0.06964,0.074,0.0693,0.07241,796913.9,57670.827318,0,0,0
2024-12-19T22:00:00+00:00Z,2024-12-19T23:00:00+00:00Z,0.07241,0.07435,0.07134,0.0741,687645.4,50011.754535,0,0,0
