# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,ACSUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2023-02-15T17:00:00+00:00Z
# t0_final_iso,2023-02-15T17:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,d75518d7da300cef
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-02-15T17:00:00+00:00Z,2023-02-15T18:00:00+00:00Z,0.00035,0.0184,0.00035,0.0084814,267798427.33,1891087.709589918,0,0,0
2023-02-15T18:00:00+00:00Z,2023-02-15T19:00:00+00:00Z,0.0084814,0.0093801,0.0068044,0.0070348,37892386.19,322222.691480303,0,0,0
2023-02-15T19:00:00+00:00Z,2023-02-15T20:00:00+00:00Z,0.0070348,0.00886,0.0055299,0.008378,39310301.39,286121.146484588,0,0,0
2023-02-15T20:00:00+00:00Z,2023-02-15T21:00:00+00:00Z,0.008378,0.0134,0.008318,0.011889,60047845.07,627651.961578093,0,0,0
2023-02-15T21:00:00+00:00Z,2023-02-15T22:00:00+00:00Z,0.011889,0.01358,0.0109998,0.01234,30016890.36,367697.408965871,0,0,0
2023-02-15T22:00:00+00:00Z,2023-02-15T23:00:00+00:00Z,0.01234,0.016,0.01125,0.0148984,22039371.15,289124.599830984,0,0,0
2023-02-15T23:00:00+00:00Z,2023-02-16T00:00:00+00:00Z,0.0148984,0.0162185,0.014,0.0149047,24893478.29,379893.290257142,0,0,0
2023-02-16T00:00:00+00:00Z,2023-02-16T01:00:00+00:00Z,0.0149047,0.0180887,0.0145944,0.017966,21942672.46,364983.378862149,0,0,0
2023-02-16T01:00:00+00:00Z,2023-02-16T02:00:00+00:00Z,0.017966,0.0272,0.0179222,0.0208,38921135.32,853286.645860421,0,0,0
2023-02-16T02:00:00+00:00Z,2023-02-16T03:00:00+00:00Z,0.0208,0.0223687,0.0181333,0.01965,24979588.98,506328.086233808,0,0,0
2023-02-16T03:00:00+00:00Z,2023-02-16T04:00:00+00:00Z,0.01965,0.0202566,0.0163662,0.0171806,14745175.12,267962.294838128,0,0,0
2023-02-16T04:00:00+00:00Z,2023-02-16T05:00:00+00:00Z,0.0171806,0.0199999,0.014,0.0186696,20968801.45,354607.052063993,0,0,0
2023-02-16T05:00:00+00:00Z,2023-02-16T06:00:00+00:00Z,0.0186696,0.0186847,0.0166522,0.0174103,12544601.39,218358.3327627,0,0,0
2023-02-16T06:00:00+00:00Z,2023-02-16T07:00:00+00:00Z,0.0174103,0.0222,0.0161,0.0208681,17483561.18,335655.6123807,0,0,0
2023-02-16T07:00:00+00:00Z,2023-02-16T08:00:00+00:00Z,0.0208681,0.0225199,0.0185054,0.0191989,16781990.23,336652.300806484,0,0,0
2023-02-16T08:00:00+00:00Z,2023-02-16T09:00:00+00:00Z,0.0191989,0.0207824,0.018645,0.0201327,10604272.18,208604.0359737,0,0,0
2023-02-16T09:00:00+00:00Z,2023-02-16T10:00:00+00:00Z,0.0201327,0.0202495,0.0189542,0.0191583,7262630.68,141315.477278375,0,0,0
2023-02-16T10:00:00+00:00Z,2023-02-16T11:00:00+00:00Z,0.0191583,0.0194037,0.01646,0.0183508,16892458.81,302928.440630023,0,0,0
2023-02-16T11:00:00+00:00Z,2023-02-16T12:00:00+00:00Z,0.0183508,0.0184712,0.0168242,0.0171863,12827720.52,227652.24576208,0,0,0
