# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,MODEUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-05-07T11:00:00+00:00Z
# t0_final_iso,2024-05-07T11:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,acd9474af57cfdca
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-05-07T11:00:00+00:00Z,2024-05-07T12:00:00+00:00Z,0.1,0.16,0.069,0.0722,50300230.56,5195300.923348,0,0,0
2024-05-07T12:00:00+00:00Z,2024-05-07T13:00:00+00:00Z,0.0722,0.0816,0.043,0.0543,106730084.83,6043654.352185,0,0,0
2024-05-07T13:00:00+00:00Z,2024-05-07T14:00:00+00:00Z,0.0543,0.0594,0.0479,0.0563,39972186.02,2099547.241015,0,0,0
2024-05-07T14:00:00+00:00Z,2024-05-07T15:00:00+00:00Z,0.0563,0.06,0.055,0.0584,14495800.93,843619.722361,0,0,0
2024-05-07T15:00:00+00:00Z,2024-05-07T16:00:00+00:00Z,0.0584,0.059,0.0555,0.0578,14160950.93,816447.306595,0,0,0
2024-05-07T16:00:00+00:00Z,2024-05-07T17:00:00+00:00Z,0.0578,0.0586,0.0549,0.0553,11339485.68,641901.830601,0,0,0
2024-05-07T17:00:00+00:00Z,2024-05-07T18:00:00+00:00Z,0.0553,0.056,0.0549,0.0556,3258142.76,180227.467006,0,0,0
2024-05-07T18:00:00+00:00Z,2024-05-07T19:00:00+00:00Z,0.0556,0.056,0.0549,0.0551,3124066.58,173289.131741,0,0,0
2024-05-07T19:00:00+00:00Z,2024-05-07T20:00:00+00:00Z,0.0551,0.0583,0.054,0.0579,6223822.61,353788.657857,0,0,0
2024-05-07T20:00:00+00:00Z,2024-05-07T21:00:00+00:00Z,0.0579,0.0588,0.0558,0.0584,3084983.12,178276.95954,0,0,0
2024-05-07T21:00:00+00:00Z,2024-05-07T22:00:00+00:00Z,0.0584,0.0605,0.0576,0.058,6097482.39,361164.32123,0,0,0
2024-05-07T22:00:00+00:00Z,2024-05-07T23:00:00+00:00Z,0.058,0.059,0.0575,0.0579,2642466.4,154144.017382,0,0,0
2024-05-07T23:00:00+00:00Z,2024-05-08T00:00:00+00:00Z,0.0579,0.0585,0.0559,0.0563,3446614.69,197343.010927,0,0,0
2024-05-08T00:00:00+00:00Z,2024-05-08T01:00:00+00:00Z,0.0563,0.0572,0.0553,0.0554,2985844.28,167642.948129,0,0,0
2024-05-08T01:00:00+00:00Z,2024-05-08T02:00:00+00:00Z,0.0554,0.0558,0.0537,0.0539,2926625.68,160094.548793,0,0,0
2024-05-08T02:00:00+00:00Z,2024-05-08T03:00:00+00:00Z,0.0539,0.054,0.0512,0.0515,3298731.29,173544.20849,0,0,0
2024-05-08T03:00:00+00:00Z,2024-05-08T04:00:00+00:00Z,0.0515,0.0524,0.0507,0.0522,2415642.37,124168.542222,0,0,0
2024-05-08T04:00:00+00:00Z,2024-05-08T05:00:00+00:00Z,0.0522,0.0535,0.0498,0.0504,4823750.6,248292.359976,0,0,0
2024-05-08T05:00:00+00:00Z,2024-05-08T06:00:00+00:00Z,0.0504,0.0526,0.0496,0.0518,3005822.57,153125.038495,0,0,0
2024-05-08T06:00:00+00:00Z,2024-05-08T07:00:00+00:00Z,0.0518,0.0523,0.0479,0.0488,6399744.47,320255.016653,0,0,0
2024-05-08T07:00:00+00:00Z,2024-05-08T08:00:00+00:00Z,0.0488,0.0495,0.0475,0.0477,3425827.0,165514.988484,0,0,0
2024-05-08T08:00:00+00:00Z,2024-05-08T09:00:00+00:00Z,0.0477,0.0489,0.0474,0.0482,4107022.37,196917.406813,0,0,0
2024-05-08T09:00:00+00:00Z,2024-05-08T10:00:00+00:00Z,0.0482,0.05,0.048,0.0486,3460171.02,169252.061704,0,0,0
2024-05-08T10:00:00+00:00Z,2024-05-08T11:00:00+00:00Z,0.0486,0.0503,0.0484,0.0502,3345191.36,164917.701323,0,0,0
2024-05-08T11:00:00+00:00Z,2024-05-08T12:00:00+00:00Z,0.0502,0.0524,0.05,0.0516,8133513.44,418626.091305,0,0,0
2024-05-08T12:00:00+00:00Z,2024-05-08T13:00:00+00:00Z,0.0516,0.054,0.0513,0.0531,6155248.3,323642.539781,0,0,0
2024-05-08T13:00:00+00:00Z,2024-05-08T14:00:00+00:00Z,0.0531,0.0577,0.0526,0.0568,8250419.38,457010.65834,0,0,0
2024-05-08T14:00:00+00:00Z,2024-05-08T15:00:00+00:00Z,0.0568,0.0588,0.0544,0.0547,6050636.22,337476.724941,0,0,0
2024-05-08T15:00:00+00:00Z,2024-05-08T16:00:00+00:00Z,0.0547,0.0551,0.0524,0.0525,5256539.73,281727.677894,0,0,0
2024-05-08T16:00:00+00:00Z,2024-05-08T17:00:00+00:00Z,0.0525,0.0528,0.0514,0.0522,5214484.79,271132.912848,0,0,0
2024-05-08T17:00:00+00:00Z,2024-05-08T18:00:00+00:00Z,0.0522,0.0532,0.0522,0.0527,3708596.63,196236.644101,0,0,0
2024-05-08T18:00:00+00:00Z,2024-05-08T19:00:00+00:00Z,0.0527,0.053,0.0517,0.0525,2125746.19,111374.066234,0,0,0
2024-05-08T19:00:00+00:00Z,2024-05-08T20:00:00+00:00Z,0.0525,0.053,0.0525,0.0529,1285656.61,67829.231178,0,0,0
2024-05-08T20:00:00+00:00Z,2024-05-08T21:00:00+00:00Z,0.0529,0.0533,0.0525,0.0527,1334822.41,70495.559629,0,0,0
2024-05-08T21:00:00+00:00Z,2024-05-08T22:00:00+00:00Z,0.0527,0.0535,0.0525,0.0528,1558548.29,82503.630119,0,0,0
2024-05-08T22:00:00+00:00Z,2024-05-08T23:00:00+00:00Z,0.0528,0.0532,0.0525,0.0525,1172946.06,61886.181318,0,0,0
2024-05-08T23:00:00+00:00Z,2024-05-09T00:00:00+00:00Z,0.0525,0.0529,0.0525,0.0529,614418.65,32407.312506,0,0,0
2024-05-09T00:00:00+00:00Z,2024-05-09T01:00:00+00:00Z,0.0529,0.0529,0.0525,0.0528,1052650.99,55360.253055,0,0,0
2024-05-09T01:00:00+00:00Z,2024-05-09T02:00:00+00:00Z,0.0528,0.0531,0.0525,0.0525,1091068.04,57474.745815,0,0,0
2024-05-09T02:00:00+00:00Z,2024-05-09T03:00:00+00:00Z,0.0525,0.0528,0.0525,0.0525,791062.07,41598.933402,0,0,0
2024-05-09T03:00:00+00:00Z,2024-05-09T04:00:00+00:00Z,0.0525,0.053,0.0525,0.0525,1375931.11,72379.853686,0,0,0
2024-05-09T04:00:00+00:00Z,2024-05-09T05:00:00+00:00Z,0.0525,0.0529,0.0525,0.0526,1176012.06,61833.657162,0,0,0
2024-05-09T05:00:00+00:00Z,2024-05-09T06:00:00+00:00Z,0.0526,0.0528,0.0525,0.0525,1190813.47,62598.459776,0,0,0
2024-05-09T06:00:00+00:00Z,2024-05-09T07:00:00+00:00Z,0.0525,0.0531,0.0525,0.0528,1921938.43,101341.308312,0,0,0
2024-05-09T07:00:00+00:00Z,2024-05-09T08:00:00+00:00Z,0.0528,0.0528,0.0525,0.0525,1137889.87,59885.058143,0,0,0
2024-05-09T08:00:00+00:00Z,2024-05-09T09:00:00+00:00Z,0.0525,0.0528,0.0525,0.0526,1358364.89,71577.242883,0,0,0
2024-05-09T09:00:00+00:00Z,2024-05-09T10:00:00+00:00Z,0.0526,0.0528,0.0503,0.0504,10179986.67,520581.254621,0,0,0
2024-05-09T10:00:00+00:00Z,2024-05-09T11:00:00+00:00Z,0.0504,0.0509,0.0499,0.0499,2644565.14,133199.536925,0,0,0
2024-05-09T11:00:00+00:00Z,2024-05-09T12:00:00+00:00Z,0.0499,0.0503,0.0498,0.0501,1877699.7,94053.313771,0,0,0
2024-05-09T12:00:00+00:00Z,2024-05-09T13:00:00+00:00Z,0.0501,0.0505,0.05,0.0503,2346826.66,117815.284387,0,0,0
