# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,ENSUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2021-11-09T02:00:00+00:00Z
# t0_final_iso,2021-11-09T02:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,b386baea9ff38c15
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-11-09T02:00:00+00:00Z,2021-11-09T03:00:00+00:00Z,23.626,29.5,23.551,27.83,8984.59,246430.9236,0,0,0
2021-11-09T03:00:00+00:00Z,2021-11-09T04:00:00+00:00Z,27.83,32.518,25.735,30.509,11227.63,325869.44426,0,0,0
2021-11-09T04:00:00+00:00Z,2021-11-09T05:00:00+00:00Z,30.509,35.607,29.0,32.591,10001.68,329129.04625,0,0,0
2021-11-09T05:00:00+00:00Z,2021-11-09T06:00:00+00:00Z,32.591,33.234,28.923,29.313,5954.97,183876.79026,0,0,0
2021-11-09T06:00:00+00:00Z,2021-11-09T07:00:00+00:00Z,29.313,30.0,27.162,28.748,3877.98,110865.78868,0,0,0
2021-11-09T07:00:00+00:00Z,2021-11-09T08:00:00+00:00Z,28.748,29.339,27.164,28.309,3261.79,91929.26669,0,0,0
2021-11-09T08:00:00+00:00Z,2021-11-09T09:00:00+00:00Z,28.309,31.2,28.08,30.827,1841.9,53978.02698,0,0,0
2021-11-09T09:00:00+00:00Z,2021-11-09T10:00:00+00:00Z,30.827,34.65,30.771,34.65,4986.16,162261.66496,0,0,0
2021-11-09T10:00:00+00:00Z,2021-11-09T11:00:00+00:00Z,34.65,40.99,34.338,40.848,7794.22,290665.4276,0,0,0
2021-11-09T11:00:00+00:00Z,2021-11-09T12:00:00+00:00Z,40.848,47.526,38.753,45.0,11359.91,481958.87618,0,0,0
