# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,ONDOUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-01-18T12:00:00+00:00Z
# t0_final_iso,2024-01-18T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,cfa5271a3a0d447e
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-01-18T12:00:00+00:00Z,2024-01-18T13:00:00+00:00Z,0.01,0.29997,0.01,0.095,103190290.65,11270040.7766251,0,0,0
2024-01-18T13:00:00+00:00Z,2024-01-18T14:00:00+00:00Z,0.095,0.09903,0.0865,0.09683,36760122.73,3454475.611862,0,0,0
2024-01-18T14:00:00+00:00Z,2024-01-18T15:00:00+00:00Z,0.09683,0.138,0.09651,0.138,44438968.78,5154045.799957,0,0,0
2024-01-18T15:00:00+00:00Z,2024-01-18T16:00:00+00:00Z,0.138,0.186,0.12595,0.17339,54831093.15,8664167.9798335,0,0,0
2024-01-18T16:00:00+00:00Z,2024-01-18T17:00:00+00:00Z,0.17339,0.19764,0.15426,0.15894,49395504.61,8789173.3331305,0,0,0
2024-01-18T17:00:00+00:00Z,2024-01-18T18:00:00+00:00Z,0.15894,0.19,0.153,0.17355,20505890.15,3540629.5815653,0,0,0
2024-01-18T18:00:00+00:00Z,2024-01-18T19:00:00+00:00Z,0.17355,0.1775,0.158,0.17295,10629110.95,1775825.6548217,0,0,0
2024-01-18T19:00:00+00:00Z,2024-01-18T20:00:00+00:00Z,0.17295,0.17365,0.16054,0.16501,5027475.63,837160.3597538,0,0,0
2024-01-18T20:00:00+00:00Z,2024-01-18T21:00:00+00:00Z,0.16501,0.193,0.1632,0.1863,10016882.72,1787761.3465559,0,0,0
2024-01-18T21:00:00+00:00Z,2024-01-18T22:00:00+00:00Z,0.1863,0.21,0.1862,0.19997,13876053.65,2734594.267759,0,0,0
2024-01-18T22:00:00+00:00Z,2024-01-18T23:00:00+00:00Z,0.19997,0.235,0.19845,0.20362,20164689.06,4395983.6760076,0,0,0
2024-01-18T23:00:00+00:00Z,2024-01-19T00:00:00+00:00Z,0.20362,0.22482,0.18466,0.22257,12785130.64,2643247.6597413,0,0,0
2024-01-19T00:00:00+00:00Z,2024-01-19T01:00:00+00:00Z,0.22257,0.22482,0.19681,0.21628,10098001.07,2164251.7478593,0,0,0
2024-01-19T01:00:00+00:00Z,2024-01-19T02:00:00+00:00Z,0.21628,0.2248,0.2055,0.22016,6345643.16,1372239.3771924,0,0,0
2024-01-19T02:00:00+00:00Z,2024-01-19T03:00:00+00:00Z,0.22016,0.22754,0.21499,0.2274,8481596.35,1881382.6895259,0,0,0
2024-01-19T03:00:00+00:00Z,2024-01-19T04:00:00+00:00Z,0.2274,0.233,0.188,0.19121,10922925.36,2343158.8706759,0,0,0
2024-01-19T04:00:00+00:00Z,2024-01-19T05:00:00+00:00Z,0.19121,0.2013,0.17763,0.18423,8278317.25,1564820.2632224,0,0,0
2024-01-19T05:00:00+00:00Z,2024-01-19T06:00:00+00:00Z,0.18423,0.206,0.17544,0.19529,6913100.3,1310295.0747144,0,0,0
2024-01-19T06:00:00+00:00Z,2024-01-19T07:00:00+00:00Z,0.19529,0.19954,0.1865,0.196,4241527.8,821672.1929119,0,0,0
2024-01-19T07:00:00+00:00Z,2024-01-19T08:00:00+00:00Z,0.196,0.21598,0.19578,0.19999,6737850.77,1379840.0043768,0,0,0
2024-01-19T08:00:00+00:00Z,2024-01-19T09:00:00+00:00Z,0.19999,0.207,0.195,0.2052,6283781.67,1255785.8250911,0,0,0
2024-01-19T09:00:00+00:00Z,2024-01-19T10:00:00+00:00Z,0.2052,0.2099,0.1869,0.18746,7822942.12,1562016.6250746,0,0,0
2024-01-19T10:00:00+00:00Z,2024-01-19T11:00:00+00:00Z,0.18746,0.2047,0.1812,0.19985,9628251.35,1896215.3986461,0,0,0
2024-01-19T11:00:00+00:00Z,2024-01-19T12:00:00+00:00Z,0.19985,0.206,0.19938,0.20247,4618294.36,935494.0365475,0,0,0
2024-01-19T12:00:00+00:00Z,2024-01-19T13:00:00+00:00Z,0.20247,0.2042,0.19279,0.19601,4722061.73,939021.8056506,0,0,0
2024-01-19T13:00:00+00:00Z,2024-01-19T14:00:00+00:00Z,0.19601,0.203,0.19501,0.19801,3799772.73,754435.119361,0,0,0
2024-01-19T14:00:00+00:00Z,2024-01-19T15:00:00+00:00Z,0.19801,0.202,0.18703,0.20052,7935718.22,1539300.972615,0,0,0
2024-01-19T15:00:00+00:00Z,2024-01-19T16:00:00+00:00Z,0.20052,0.22339,0.19979,0.21188,15201217.39,3241633.5026068,0,0,0
2024-01-19T16:00:00+00:00Z,2024-01-19T17:00:00+00:00Z,0.21188,0.21497,0.181,0.18709,10988990.47,2143839.0879163,0,0,0
2024-01-19T17:00:00+00:00Z,2024-01-19T18:00:00+00:00Z,0.18709,0.19658,0.1745,0.18697,9220435.97,1697752.6429498,0,0,0
2024-01-19T18:00:00+00:00Z,2024-01-19T19:00:00+00:00Z,0.18697,0.1925,0.17913,0.19209,4878754.52,897494.2004913,0,0,0
2024-01-19T19:00:00+00:00Z,2024-01-19T20:00:00+00:00Z,0.19209,0.20461,0.18561,0.19331,7554261.98,1492859.8459437,0,0,0
2024-01-19T20:00:00+00:00Z,2024-01-19T21:00:00+00:00Z,0.19331,0.19872,0.18633,0.19141,3675999.29,707465.4941834,0,0,0
2024-01-19T21:00:00+00:00Z,2024-01-19T22:00:00+00:00Z,0.19141,0.19544,0.188,0.19219,4004187.2,767528.1269617,0,0,0
2024-01-19T22:00:00+00:00Z,2024-01-19T23:00:00+00:00Z,0.19219,0.19312,0.177,0.18729,6597894.78,1229180.5305739,0,0,0
2024-01-19T23:00:00+00:00Z,2024-01-20T00:00:00+00:00Z,0.18729,0.20195,0.18398,0.2009,7204841.09,1391549.4204496,0,0,0
2024-01-20T00:00:00+00:00Z,2024-01-20T01:00:00+00:00Z,0.2009,0.218,0.19921,0.21731,9488558.4,1988844.0419269,0,0,0
2024-01-20T01:00:00+00:00Z,2024-01-20T02:00:00+00:00Z,0.21731,0.221,0.20675,0.21593,4730066.65,1021757.5651692,0,0,0
2024-01-20T02:00:00+00:00Z,2024-01-20T03:00:00+00:00Z,0.21593,0.221,0.20803,0.20898,2518048.46,540426.0276902,0,0,0
2024-01-20T03:00:00+00:00Z,2024-01-20T04:00:00+00:00Z,0.20898,0.221,0.20844,0.21123,3503973.0,748745.2746416,0,0,0
2024-01-20T04:00:00+00:00Z,2024-01-20T05:00:00+00:00Z,0.21123,0.21203,0.20576,0.20796,1769415.92,368214.2226814,0,0,0
2024-01-20T05:00:00+00:00Z,2024-01-20T06:00:00+00:00Z,0.20796,0.20823,0.20187,0.20323,1646626.54,336459.1466752,0,0,0
2024-01-20T06:00:00+00:00Z,2024-01-20T07:00:00+00:00Z,0.20323,0.2089,0.20206,0.20838,1734284.08,356132.7655644,0,0,0
2024-01-20T07:00:00+00:00Z,2024-01-20T08:00:00+00:00Z,0.20838,0.22,0.2067,0.21332,2861541.74,607149.7240227,0,0,0
2024-01-20T08:00:00+00:00Z,2024-01-20T09:00:00+00:00Z,0.21332,0.2249,0.20261,0.2067,6532641.16,1399837.5461524,0,0,0
2024-01-20T09:00:00+00:00Z,2024-01-20T10:00:00+00:00Z,0.2067,0.20877,0.20377,0.20377,2047717.6,421383.2602108,0,0,0
2024-01-20T10:00:00+00:00Z,2024-01-20T11:00:00+00:00Z,0.20377,0.20499,0.1975,0.19962,3085632.7,618661.5201162,0,0,0
2024-01-20T11:00:00+00:00Z,2024-01-20T12:00:00+00:00Z,0.19962,0.219,0.185,0.20288,23568357.32,4775933.6860697,0,0,0
