# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,HNTUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2022-01-06T11:00:00+00:00Z
# t0_final_iso,2022-01-06T11:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,4914851bbd847dcd
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-01-06T11:00:00+00:00Z,2022-01-06T12:00:00+00:00Z,37.5281,37.94,37.1675,37.6488,37.123,1396.0802064,0,0,0
2022-01-06T12:00:00+00:00Z,2022-01-06T13:00:00+00:00Z,37.6488,38.0974,37.1717,37.641,38.984,1464.704533,0,0,0
2022-01-06T13:00:00+00:00Z,2022-01-06T14:00:00+00:00Z,37.641,38.8829,37.641,38.8707,55.165,2116.5634553,0,0,0
2022-01-06T14:00:00+00:00Z,2022-01-06T15:00:00+00:00Z,38.8707,39.0297,37.7522,37.7522,48.945,1883.6277827,0,0,0
2022-01-06T15:00:00+00:00Z,2022-01-06T16:00:00+00:00Z,37.7522,38.5178,37.4089,38.285,43.443,1652.9055649,0,0,0
2022-01-06T16:00:00+00:00Z,2022-01-06T17:00:00+00:00Z,38.285,38.7106,37.9992,38.6654,39.165,1503.6164244,0,0,0
2022-01-06T17:00:00+00:00Z,2022-01-06T18:00:00+00:00Z,38.6654,38.716,38.1696,38.5317,33.825,1301.01967,0,0,0
2022-01-06T18:00:00+00:00Z,2022-01-06T19:00:00+00:00Z,38.5317,40.0995,38.3462,39.859,34.985,1367.7170243,0,0,0
2022-01-06T19:00:00+00:00Z,2022-01-06T20:00:00+00:00Z,39.859,40.1937,39.6554,40.1937,36.013,1436.8945213,0,0,0
2022-01-06T20:00:00+00:00Z,2022-01-06T21:00:00+00:00Z,40.1937,40.354,39.6562,40.0477,34.134,1365.1238646,0,0,0
2022-01-06T21:00:00+00:00Z,2022-01-06T22:00:00+00:00Z,40.0477,40.7691,39.9934,40.6048,33.283,1342.7332461,0,0,0
2022-01-06T22:00:00+00:00Z,2022-01-06T23:00:00+00:00Z,40.6048,40.6048,40.2321,40.5648,27.509,1112.4034678,0,0,0
2022-01-06T23:00:00+00:00Z,2022-01-07T00:00:00+00:00Z,40.5648,40.9592,40.0035,40.1987,138.963,5658.6659516,0,0,0
2022-01-07T00:00:00+00:00Z,2022-01-07T01:00:00+00:00Z,40.1987,40.5413,39.6248,39.6569,22.505,899.1984156,0,0,0
2022-01-07T01:00:00+00:00Z,2022-01-07T02:00:00+00:00Z,39.6569,39.9412,38.9762,39.6128,31.65,1250.3719667,0,0,0
2022-01-07T02:00:00+00:00Z,2022-01-07T03:00:00+00:00Z,39.6128,39.6982,39.1067,39.2752,33.942,1336.1957452,0,0,0
2022-01-07T03:00:00+00:00Z,2022-01-07T04:00:00+00:00Z,39.2752,39.2752,37.2458,37.585,42.899,1636.2089647,0,0,0
2022-01-07T04:00:00+00:00Z,2022-01-07T05:00:00+00:00Z,37.585,37.7888,36.0935,37.1689,38.277,1416.722334,0,0,0
2022-01-07T05:00:00+00:00Z,2022-01-07T06:00:00+00:00Z,37.1689,37.4733,36.8105,37.2067,35.719,1324.177346,0,0,0
2022-01-07T06:00:00+00:00Z,2022-01-07T07:00:00+00:00Z,37.2067,37.2161,36.1106,36.3419,36.612,1340.921476,0,0,0
2022-01-07T07:00:00+00:00Z,2022-01-07T08:00:00+00:00Z,36.3419,37.6466,36.2402,37.4396,38.255,1411.616306,0,0,0
2022-01-07T08:00:00+00:00Z,2022-01-07T09:00:00+00:00Z,37.4396,38.7575,37.4396,38.2125,42.916,1638.1067445,0,0,0
2022-01-07T09:00:00+00:00Z,2022-01-07T10:00:00+00:00Z,38.2125,39.5846,38.0501,39.1777,30.399,1179.437249,0,0,0
2022-01-07T10:00:00+00:00Z,2022-01-07T11:00:00+00:00Z,39.1777,39.2765,38.1398,38.1398,29.238,1135.6553441,0,0,0
2022-01-07T11:00:00+00:00Z,2022-01-07T12:00:00+00:00Z,38.1398,38.5006,37.4899,37.506,24.8,944.3270486,0,0,0
2022-01-07T12:00:00+00:00Z,2022-01-07T13:00:00+00:00Z,37.506,38.4606,37.506,37.9169,9.892,376.4994779,0,0,0
2022-01-07T13:00:00+00:00Z,2022-01-07T14:00:00+00:00Z,37.9169,38.3451,36.695,36.8829,31.486,1191.380207,0,0,0
2022-01-07T14:00:00+00:00Z,2022-01-07T15:00:00+00:00Z,36.8829,37.783,36.8829,37.783,24.201,906.5212405,0,0,0
2022-01-07T15:00:00+00:00Z,2022-01-07T16:00:00+00:00Z,37.783,37.783,36.4259,36.7921,19.346,718.9821033,0,0,0
