# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,CSPRUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-02-22T10:00:00+00:00Z
# t0_final_iso,2024-02-22T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,08b7ac8de01d6d2b
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-02-22T10:00:00+00:00Z,2024-02-22T11:00:00+00:00Z,0.03,0.0439,0.03,0.04159,12702143.61,536456.2016634,0,0,0
2024-02-22T11:00:00+00:00Z,2024-02-22T12:00:00+00:00Z,0.04159,0.04191,0.04153,0.0418,1885821.58,78781.2547546,0,0,0
2024-02-22T12:00:00+00:00Z,2024-02-22T13:00:00+00:00Z,0.0418,0.04187,0.04104,0.04136,939225.97,39001.0483964,0,0,0
2024-02-22T13:00:00+00:00Z,2024-02-22T14:00:00+00:00Z,0.04136,0.0414,0.04017,0.04074,1047320.78,42866.9416935,0,0,0
2024-02-22T14:00:00+00:00Z,2024-02-22T15:00:00+00:00Z,0.04074,0.04084,0.04054,0.04079,812926.16,33068.6075387,0,0,0
2024-02-22T15:00:00+00:00Z,2024-02-22T16:00:00+00:00Z,0.04079,0.04081,0.04029,0.0407,1772857.05,71724.4219801,0,0,0
2024-02-22T16:00:00+00:00Z,2024-02-22T17:00:00+00:00Z,0.0407,0.04094,0.04062,0.0409,837134.63,34129.018041,0,0,0
2024-02-22T17:00:00+00:00Z,2024-02-22T18:00:00+00:00Z,0.0409,0.0415,0.04085,0.04148,1259456.18,51973.8208828,0,0,0
2024-02-22T18:00:00+00:00Z,2024-02-22T19:00:00+00:00Z,0.04148,0.04177,0.04138,0.04163,1848570.26,76793.0116826,0,0,0
2024-02-22T19:00:00+00:00Z,2024-02-22T20:00:00+00:00Z,0.04163,0.04163,0.04108,0.04111,481334.26,19924.0229974,0,0,0
2024-02-22T20:00:00+00:00Z,2024-02-22T21:00:00+00:00Z,0.04111,0.04141,0.04106,0.04121,443277.41,18294.9055089,0,0,0
2024-02-22T21:00:00+00:00Z,2024-02-22T22:00:00+00:00Z,0.04121,0.04133,0.04086,0.04102,405338.71,16665.3517215,0,0,0
2024-02-22T22:00:00+00:00Z,2024-02-22T23:00:00+00:00Z,0.04102,0.04118,0.04061,0.04076,336221.2,13745.0701766,0,0,0
2024-02-22T23:00:00+00:00Z,2024-02-23T00:00:00+00:00Z,0.04076,0.04082,0.04049,0.04059,233135.78,9472.698027,0,0,0
2024-02-23T00:00:00+00:00Z,2024-02-23T01:00:00+00:00Z,0.04059,0.04101,0.04058,0.04083,159954.17,6521.5610768,0,0,0
2024-02-23T01:00:00+00:00Z,2024-02-23T02:00:00+00:00Z,0.04083,0.04103,0.04072,0.04078,330437.14,13519.4090274,0,0,0
2024-02-23T02:00:00+00:00Z,2024-02-23T03:00:00+00:00Z,0.04078,0.04082,0.04026,0.04026,390007.51,15816.2414397,0,0,0
