# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,GMTUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2022-04-08T11:00:00+00:00Z
# t0_final_iso,2022-04-08T11:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,f78030cc17335229
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-04-08T11:00:00+00:00Z,2022-04-08T12:00:00+00:00Z,2.0,2.19,2.0,2.1708,6871.12,14831.718454,0,0,0
2022-04-08T12:00:00+00:00Z,2022-04-08T13:00:00+00:00Z,2.1708,2.2487,2.1708,2.2359,10472.17,23143.375346,0,0,0
2022-04-08T13:00:00+00:00Z,2022-04-08T14:00:00+00:00Z,2.2359,2.2585,2.1512,2.2014,8279.54,18178.17014,0,0,0
2022-04-08T14:00:00+00:00Z,2022-04-08T15:00:00+00:00Z,2.2014,2.2262,2.1765,2.2013,7951.51,17516.844225,0,0,0
2022-04-08T15:00:00+00:00Z,2022-04-08T16:00:00+00:00Z,2.2013,2.2653,2.2013,2.2515,5754.17,12891.704089,0,0,0
2022-04-08T16:00:00+00:00Z,2022-04-08T17:00:00+00:00Z,2.2515,2.2515,2.2042,2.2218,2214.25,4913.812489,0,0,0
2022-04-08T17:00:00+00:00Z,2022-04-08T18:00:00+00:00Z,2.2218,2.2218,2.1467,2.1551,9822.85,21392.977905,0,0,0
2022-04-08T18:00:00+00:00Z,2022-04-08T19:00:00+00:00Z,2.1551,2.1576,2.1127,2.1536,11327.67,24271.944357,0,0,0
2022-04-08T19:00:00+00:00Z,2022-04-08T20:00:00+00:00Z,2.1536,2.1575,2.1329,2.1497,518.0,1108.161733,0,0,0
2022-04-08T20:00:00+00:00Z,2022-04-08T21:00:00+00:00Z,2.1497,2.1497,2.123,2.123,2793.09,5942.898475,0,0,0
2022-04-08T21:00:00+00:00Z,2022-04-08T22:00:00+00:00Z,2.123,2.1685,2.123,2.1685,1325.55,2850.467995,0,0,0
2022-04-08T22:00:00+00:00Z,2022-04-08T23:00:00+00:00Z,2.1685,2.2453,2.1624,2.2129,6003.97,13267.616194,0,0,0
2022-04-08T23:00:00+00:00Z,2022-04-09T00:00:00+00:00Z,2.2129,2.2129,2.1659,2.1708,5173.43,11325.85407,0,0,0
2022-04-09T00:00:00+00:00Z,2022-04-09T01:00:00+00:00Z,2.1708,2.2261,2.1678,2.2261,3889.66,8541.262854,0,0,0
2022-04-09T01:00:00+00:00Z,2022-04-09T02:00:00+00:00Z,2.2261,2.2423,2.1765,2.2,3810.48,8416.248556,0,0,0
2022-04-09T02:00:00+00:00Z,2022-04-09T03:00:00+00:00Z,2.2,2.2054,2.1293,2.1304,4673.02,10122.3059,0,0,0
