# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,YFIUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2021-09-22T12:00:00+00:00Z
# t0_final_iso,2021-09-22T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,79c9d6286638805c
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-09-22T12:00:00+00:00Z,2021-09-22T13:00:00+00:00Z,28891.56,29425.22,28891.56,29344.25,0.15346,4476.3106567,0,0,0
2021-09-22T13:00:00+00:00Z,2021-09-22T14:00:00+00:00Z,29344.25,29740.63,29228.87,29626.28,0.16251,4788.7279359,0,0,0
2021-09-22T14:00:00+00:00Z,2021-09-22T15:00:00+00:00Z,29626.28,29708.53,29442.08,29642.87,0.14811,4384.6606639,0,0,0
2021-09-22T15:00:00+00:00Z,2021-09-22T16:00:00+00:00Z,29642.87,30123.5,29642.87,30093.3,0.15443,4612.3520346,0,0,0
2021-09-22T16:00:00+00:00Z,2021-09-22T17:00:00+00:00Z,30093.3,30339.26,29978.38,30293.86,0.14546,4387.4931647,0,0,0
2021-09-22T17:00:00+00:00Z,2021-09-22T18:00:00+00:00Z,30293.86,30328.54,29782.42,29914.3,0.14673,4400.5572031,0,0,0
2021-09-22T18:00:00+00:00Z,2021-09-22T19:00:00+00:00Z,29914.3,30599.51,29738.54,29798.07,0.14278,4326.3156392,0,0,0
2021-09-22T19:00:00+00:00Z,2021-09-22T20:00:00+00:00Z,29798.07,30354.25,29717.82,30166.0,0.1483,4463.730561,0,0,0
2021-09-22T20:00:00+00:00Z,2021-09-22T21:00:00+00:00Z,30166.0,30340.66,30078.41,30323.05,0.15071,4553.0236683,0,0,0
2021-09-22T21:00:00+00:00Z,2021-09-22T22:00:00+00:00Z,30323.05,30597.85,30078.65,30298.25,0.17587,5337.6254183,0,0,0
2021-09-22T22:00:00+00:00Z,2021-09-22T23:00:00+00:00Z,30298.25,30526.58,30081.01,30454.52,0.14405,4370.4338913,0,0,0
2021-09-22T23:00:00+00:00Z,2021-09-23T00:00:00+00:00Z,30454.52,30545.81,30208.72,30511.15,0.16673,5067.892106,0,0,0
2021-09-23T00:00:00+00:00Z,2021-09-23T01:00:00+00:00Z,30511.15,30625.08,30081.33,30132.89,0.14517,4406.2887573,0,0,0
2021-09-23T01:00:00+00:00Z,2021-09-23T02:00:00+00:00Z,30132.89,30450.0,30078.68,30387.32,0.14564,4401.7877312,0,0,0
2021-09-23T02:00:00+00:00Z,2021-09-23T03:00:00+00:00Z,30387.32,30624.41,30273.26,30615.59,0.14383,4380.5011474,0,0,0
2021-09-23T03:00:00+00:00Z,2021-09-23T04:00:00+00:00Z,30615.59,30932.45,30482.52,30927.08,0.14709,4517.5523862,0,0,0
2021-09-23T04:00:00+00:00Z,2021-09-23T05:00:00+00:00Z,30927.08,31030.16,30703.73,30800.61,0.14069,4341.2809303,0,0,0
2021-09-23T05:00:00+00:00Z,2021-09-23T06:00:00+00:00Z,30800.61,30968.3,30602.93,30687.52,0.14834,4561.6991627,0,0,0
2021-09-23T06:00:00+00:00Z,2021-09-23T07:00:00+00:00Z,30687.52,30982.02,30480.49,30976.82,0.14431,4423.9643559,0,0,0
2021-09-23T07:00:00+00:00Z,2021-09-23T08:00:00+00:00Z,30976.82,31276.89,30827.81,31122.14,0.13448,4179.1700118,0,0,0
2021-09-23T08:00:00+00:00Z,2021-09-23T09:00:00+00:00Z,31122.14,31122.14,30827.17,30848.49,0.19163,5939.8521793,0,0,0
2021-09-23T09:00:00+00:00Z,2021-09-23T10:00:00+00:00Z,30848.49,30985.72,30671.36,30732.63,0.15372,4735.8384888,0,0,0
2021-09-23T10:00:00+00:00Z,2021-09-23T11:00:00+00:00Z,30732.63,30877.39,30278.1,30566.37,0.17096,5230.4960609,0,0,0
2021-09-23T11:00:00+00:00Z,2021-09-23T12:00:00+00:00Z,30566.37,30604.44,30076.08,30231.16,0.16255,4933.0765069,0,0,0
2021-09-23T12:00:00+00:00Z,2021-09-23T13:00:00+00:00Z,30231.16,30510.05,30082.95,30381.34,0.15197,4599.4426714,0,0,0
2021-09-23T13:00:00+00:00Z,2021-09-23T14:00:00+00:00Z,30381.34,30943.51,30236.54,30910.27,0.15227,4649.9037705,0,0,0
2021-09-23T14:00:00+00:00Z,2021-09-23T15:00:00+00:00Z,30910.27,31116.78,30832.81,31069.48,0.1468,4555.4079025,0,0,0
2021-09-23T15:00:00+00:00Z,2021-09-23T16:00:00+00:00Z,31069.48,31104.22,30625.84,30638.18,0.14323,4416.4568415,0,0,0
2021-09-23T16:00:00+00:00Z,2021-09-23T17:00:00+00:00Z,30638.18,31018.62,30577.97,30859.94,0.15527,4775.5843466,0,0,0
2021-09-23T17:00:00+00:00Z,2021-09-23T18:00:00+00:00Z,30859.94,31386.44,30859.94,31200.01,0.1484,4626.6236256,0,0,0
2021-09-23T18:00:00+00:00Z,2021-09-23T19:00:00+00:00Z,31200.01,31387.75,31066.37,31293.02,0.14686,4586.0316156,0,0,0
2021-09-23T19:00:00+00:00Z,2021-09-23T20:00:00+00:00Z,31293.02,31399.22,31165.25,31256.93,0.14853,4650.1615177,0,0,0
2021-09-23T20:00:00+00:00Z,2021-09-23T21:00:00+00:00Z,31256.93,31340.86,31004.74,31117.1,0.16321,5083.2772184,0,0,0
2021-09-23T21:00:00+00:00Z,2021-09-23T22:00:00+00:00Z,31117.1,31144.66,30972.39,30980.82,0.14953,4644.6208032,0,0,0
2021-09-23T22:00:00+00:00Z,2021-09-23T23:00:00+00:00Z,30980.82,31124.21,30893.7,31048.39,0.16028,4968.9478262,0,0,0
2021-09-23T23:00:00+00:00Z,2021-09-24T00:00:00+00:00Z,31048.39,31317.75,30982.1,31257.14,0.15019,4670.9724239,0,0,0
2021-09-24T00:00:00+00:00Z,2021-09-24T01:00:00+00:00Z,31257.14,31365.75,31095.13,31096.79,0.16091,5025.3281407,0,0,0
2021-09-24T01:00:00+00:00Z,2021-09-24T02:00:00+00:00Z,31096.79,31259.12,30680.0,30747.07,0.14675,4557.3247794,0,0,0
2021-09-24T02:00:00+00:00Z,2021-09-24T03:00:00+00:00Z,30747.07,30805.55,30453.5,30537.8,0.14628,4480.748671,0,0,0
2021-09-24T03:00:00+00:00Z,2021-09-24T04:00:00+00:00Z,30537.8,30700.23,30300.0,30384.98,0.20777,6357.9316722,0,0,0
2021-09-24T04:00:00+00:00Z,2021-09-24T05:00:00+00:00Z,30384.98,30516.18,30166.16,30408.28,0.21743,6612.5625844,0,0,0
2021-09-24T05:00:00+00:00Z,2021-09-24T06:00:00+00:00Z,30408.28,30535.18,30086.42,30501.18,0.14786,4483.1097686,0,0,0
2021-09-24T06:00:00+00:00Z,2021-09-24T07:00:00+00:00Z,30501.18,30712.15,30203.75,30209.85,0.14942,4558.2130702,0,0,0
2021-09-24T07:00:00+00:00Z,2021-09-24T08:00:00+00:00Z,30209.85,30767.41,30159.02,30572.44,0.14817,4521.2820417,0,0,0
2021-09-24T08:00:00+00:00Z,2021-09-24T09:00:00+00:00Z,30572.44,30826.34,30189.07,30285.91,0.14195,4356.2731793,0,0,0
2021-09-24T09:00:00+00:00Z,2021-09-24T10:00:00+00:00Z,30285.91,30289.95,28346.46,28359.47,0.18738,5459.1109109,0,0,0
2021-09-24T10:00:00+00:00Z,2021-09-24T11:00:00+00:00Z,28359.47,28767.23,28054.79,28248.84,0.16738,4750.1388806,0,0,0
2021-09-24T11:00:00+00:00Z,2021-09-24T12:00:00+00:00Z,28248.84,28254.11,27112.52,28134.18,0.18349,5104.6514944,0,0,0
2021-09-24T12:00:00+00:00Z,2021-09-24T13:00:00+00:00Z,28134.18,28211.48,27712.9,27826.1,0.17574,4904.4812101,0,0,0
2021-09-24T13:00:00+00:00Z,2021-09-24T14:00:00+00:00Z,27826.1,28470.1,27552.16,28328.45,0.17594,4921.9948943,0,0,0
2021-09-24T14:00:00+00:00Z,2021-09-24T15:00:00+00:00Z,28328.45,28825.63,28312.61,28508.92,0.16243,4645.8453357,0,0,0
2021-09-24T15:00:00+00:00Z,2021-09-24T16:00:00+00:00Z,28508.92,28601.12,28168.25,28337.68,0.1649,4679.4202553,0,0,0
2021-09-24T16:00:00+00:00Z,2021-09-24T17:00:00+00:00Z,28337.68,28547.18,28212.09,28464.52,0.15973,4533.866745,0,0,0
2021-09-24T17:00:00+00:00Z,2021-09-24T18:00:00+00:00Z,28464.52,28466.14,27977.83,28073.66,1.1762,33096.5616506,0,0,0
