# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,XAVAUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2022-05-10T10:00:00+00:00Z
# t0_final_iso,2022-05-10T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,bc07333603cdb249
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-05-10T10:00:00+00:00Z,2022-05-10T11:00:00+00:00Z,0.9,1.64,0.9,1.5692,41325.92,66182.88199,0,0,0
2022-05-10T11:00:00+00:00Z,2022-05-10T12:00:00+00:00Z,1.5692,1.5873,1.5614,1.5873,6088.22,9611.750615,0,0,0
2022-05-10T12:00:00+00:00Z,2022-05-10T13:00:00+00:00Z,1.5873,1.6291,1.5855,1.6219,8953.05,14357.168839,0,0,0
2022-05-10T13:00:00+00:00Z,2022-05-10T14:00:00+00:00Z,1.6219,1.6679,1.6219,1.6578,15610.74,25783.033899,0,0,0
2022-05-10T14:00:00+00:00Z,2022-05-10T15:00:00+00:00Z,1.6578,1.6866,1.6105,1.6119,15036.49,24900.646344,0,0,0
2022-05-10T15:00:00+00:00Z,2022-05-10T16:00:00+00:00Z,1.6119,1.6119,1.5749,1.58,7480.55,11860.982102,0,0,0
2022-05-10T16:00:00+00:00Z,2022-05-10T17:00:00+00:00Z,1.58,1.596,1.5749,1.596,2936.4,4660.436735,0,0,0
2022-05-10T17:00:00+00:00Z,2022-05-10T18:00:00+00:00Z,1.596,1.6159,1.5875,1.6156,3130.67,5016.602852,0,0,0
2022-05-10T18:00:00+00:00Z,2022-05-10T19:00:00+00:00Z,1.6156,1.6356,1.6156,1.6356,2016.76,3278.007565,0,0,0
2022-05-10T19:00:00+00:00Z,2022-05-10T20:00:00+00:00Z,1.6356,1.6388,1.6011,1.6011,6117.89,9921.443982,0,0,0
2022-05-10T20:00:00+00:00Z,2022-05-10T21:00:00+00:00Z,1.6011,1.6011,1.5604,1.5604,6591.1,10404.204014,0,0,0
2022-05-10T21:00:00+00:00Z,2022-05-10T22:00:00+00:00Z,1.5604,1.5604,1.5112,1.5112,9232.39,14177.330905,0,0,0
2022-05-10T22:00:00+00:00Z,2022-05-10T23:00:00+00:00Z,1.5112,1.5187,1.4803,1.4803,6718.82,10075.159534,0,0,0
2022-05-10T23:00:00+00:00Z,2022-05-11T00:00:00+00:00Z,1.4803,1.4879,1.4728,1.4728,2719.58,4022.67967,0,0,0
2022-05-11T00:00:00+00:00Z,2022-05-11T01:00:00+00:00Z,1.4728,1.5166,1.4723,1.5079,6398.35,9528.283905,0,0,0
2022-05-11T01:00:00+00:00Z,2022-05-11T02:00:00+00:00Z,1.5079,1.5183,1.4995,1.4995,1870.84,2822.850606,0,0,0
2022-05-11T02:00:00+00:00Z,2022-05-11T03:00:00+00:00Z,1.4995,1.5246,1.4932,1.5159,2758.64,4160.523849,0,0,0
2022-05-11T03:00:00+00:00Z,2022-05-11T04:00:00+00:00Z,1.5159,1.5159,1.47,1.4839,4646.95,6939.201761,0,0,0
2022-05-11T04:00:00+00:00Z,2022-05-11T05:00:00+00:00Z,1.4839,1.4918,1.4329,1.4329,11203.51,16340.02163,0,0,0
2022-05-11T05:00:00+00:00Z,2022-05-11T06:00:00+00:00Z,1.4329,1.4359,1.423,1.423,2457.94,3509.172493,0,0,0
2022-05-11T06:00:00+00:00Z,2022-05-11T07:00:00+00:00Z,1.423,1.4271,1.3562,1.3563,12826.75,17861.043284,0,0,0
2022-05-11T07:00:00+00:00Z,2022-05-11T08:00:00+00:00Z,1.3563,1.3563,1.2408,1.2408,24993.44,32488.579668,0,0,0
2022-05-11T08:00:00+00:00Z,2022-05-11T09:00:00+00:00Z,1.2408,1.2408,1.2296,1.238,3587.55,4431.187335,0,0,0
2022-05-11T09:00:00+00:00Z,2022-05-11T10:00:00+00:00Z,1.238,1.2854,1.238,1.2854,7815.26,9834.196119,0,0,0
2022-05-11T10:00:00+00:00Z,2022-05-11T11:00:00+00:00Z,1.2854,1.2953,1.2854,1.2953,1644.19,2121.007367,0,0,0
2022-05-11T11:00:00+00:00Z,2022-05-11T12:00:00+00:00Z,1.2953,1.3154,1.295,1.3014,5304.56,6919.971784,0,0,0
2022-05-11T12:00:00+00:00Z,2022-05-11T13:00:00+00:00Z,1.3014,1.302,1.209,1.209,14700.92,18376.79167,0,0,0
2022-05-11T13:00:00+00:00Z,2022-05-11T14:00:00+00:00Z,1.209,1.2104,1.1937,1.1956,6411.13,7698.386372,0,0,0
2022-05-11T14:00:00+00:00Z,2022-05-11T15:00:00+00:00Z,1.1956,1.2053,1.1937,1.1987,4238.06,5084.806236,0,0,0
2022-05-11T15:00:00+00:00Z,2022-05-11T16:00:00+00:00Z,1.1987,1.2033,1.1799,1.1819,6066.86,7209.110284,0,0,0
2022-05-11T16:00:00+00:00Z,2022-05-11T17:00:00+00:00Z,1.1819,1.1882,1.1018,1.119,6562.01,7643.575894,0,0,0
2022-05-11T17:00:00+00:00Z,2022-05-11T18:00:00+00:00Z,1.119,1.1236,1.0203,1.0792,675.96,730.605217,0,0,0
2022-05-11T18:00:00+00:00Z,2022-05-11T19:00:00+00:00Z,1.0792,1.1353,1.0532,1.095,906.27,1011.782608,0,0,0
2022-05-11T19:00:00+00:00Z,2022-05-11T20:00:00+00:00Z,1.095,1.0978,1.0273,1.0334,553.32,593.206825,0,0,0
