# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,NFTUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2022-02-21T10:00:00+00:00Z
# t0_final_iso,2022-02-21T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,2ed3298f030f81be
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-02-21T10:00:00+00:00Z,2022-02-21T11:00:00+00:00Z,1.5e-06,1.96e-06,1.5e-06,1.89e-06,26690860828.1,50772.876272358,0,0,0
2022-02-21T11:00:00+00:00Z,2022-02-21T12:00:00+00:00Z,1.89e-06,1.89e-06,1.84e-06,1.84e-06,3213177540.8,6015.986707908,0,0,0
2022-02-21T12:00:00+00:00Z,2022-02-21T13:00:00+00:00Z,1.84e-06,1.89e-06,1.76e-06,1.81e-06,7503505456.0,13489.776185661,0,0,0
2022-02-21T13:00:00+00:00Z,2022-02-21T14:00:00+00:00Z,1.81e-06,1.9e-06,1.8e-06,1.84e-06,5277652557.1,9785.999696002,0,0,0
2022-02-21T14:00:00+00:00Z,2022-02-21T15:00:00+00:00Z,1.84e-06,1.92e-06,1.81e-06,1.89e-06,3802382408.0,7129.581485603,0,0,0
2022-02-21T15:00:00+00:00Z,2022-02-21T16:00:00+00:00Z,1.89e-06,1.95e-06,1.87e-06,1.88e-06,1041538556.6,1975.737503702,0,0,0
2022-02-21T16:00:00+00:00Z,2022-02-21T17:00:00+00:00Z,1.88e-06,1.9e-06,1.81e-06,1.88e-06,876032104.0,1637.16678398,0,0,0
2022-02-21T17:00:00+00:00Z,2022-02-21T18:00:00+00:00Z,1.88e-06,1.9e-06,1.8e-06,1.87e-06,1368908147.1,2508.169553935,0,0,0
2022-02-21T18:00:00+00:00Z,2022-02-21T19:00:00+00:00Z,1.87e-06,1.87e-06,1.82e-06,1.86e-06,310802675.1,575.188589599,0,0,0
2022-02-21T19:00:00+00:00Z,2022-02-21T20:00:00+00:00Z,1.86e-06,1.89e-06,1.82e-06,1.88e-06,362499482.6,676.065269342,0,0,0
2022-02-21T20:00:00+00:00Z,2022-02-21T21:00:00+00:00Z,1.88e-06,1.91e-06,1.78e-06,1.86e-06,1307196321.9,2405.851834453,0,0,0
2022-02-21T21:00:00+00:00Z,2022-02-21T22:00:00+00:00Z,1.86e-06,1.88e-06,1.8e-06,1.82e-06,1109740620.9,2024.261676507,0,0,0
2022-02-21T22:00:00+00:00Z,2022-02-21T23:00:00+00:00Z,1.82e-06,1.85e-06,1.74e-06,1.84e-06,4129047881.8,7308.021837483,0,0,0
2022-02-21T23:00:00+00:00Z,2022-02-22T00:00:00+00:00Z,1.84e-06,1.84e-06,1.73e-06,1.78e-06,2484693940.3,4467.365363083,0,0,0
2022-02-22T00:00:00+00:00Z,2022-02-22T01:00:00+00:00Z,1.78e-06,1.82e-06,1.77e-06,1.8e-06,628760818.9,1128.580781995,0,0,0
2022-02-22T01:00:00+00:00Z,2022-02-22T02:00:00+00:00Z,1.8e-06,1.81e-06,1.76e-06,1.79e-06,410900888.8,732.267704089,0,0,0
2022-02-22T02:00:00+00:00Z,2022-02-22T03:00:00+00:00Z,1.79e-06,1.8e-06,1.75e-06,1.77e-06,650616479.8,1162.157877886,0,0,0
2022-02-22T03:00:00+00:00Z,2022-02-22T04:00:00+00:00Z,1.77e-06,1.78e-06,1.71e-06,1.75e-06,1273169267.7,2211.208800481,0,0,0
2022-02-22T04:00:00+00:00Z,2022-02-22T05:00:00+00:00Z,1.75e-06,1.76e-06,1.73e-06,1.76e-06,612256268.9,1076.749742928,0,0,0
2022-02-22T05:00:00+00:00Z,2022-02-22T06:00:00+00:00Z,1.76e-06,1.78e-06,1.73e-06,1.77e-06,507214194.6,890.811719181,0,0,0
2022-02-22T06:00:00+00:00Z,2022-02-22T07:00:00+00:00Z,1.77e-06,1.79e-06,1.73e-06,1.75e-06,515560494.2,910.011286673,0,0,0
2022-02-22T07:00:00+00:00Z,2022-02-22T08:00:00+00:00Z,1.75e-06,1.8e-06,1.74e-06,1.77e-06,408667573.7,720.580035046,0,0,0
2022-02-22T08:00:00+00:00Z,2022-02-22T09:00:00+00:00Z,1.77e-06,1.81e-06,1.74e-06,1.79e-06,401649180.2,713.531951227,0,0,0
2022-02-22T09:00:00+00:00Z,2022-02-22T10:00:00+00:00Z,1.79e-06,1.8e-06,1.77e-06,1.78e-06,576396916.5,1032.377203724,0,0,0
2022-02-22T10:00:00+00:00Z,2022-02-22T11:00:00+00:00Z,1.78e-06,1.78e-06,1.73e-06,1.77e-06,1904783248.4,3345.205593944,0,0,0
2022-02-22T11:00:00+00:00Z,2022-02-22T12:00:00+00:00Z,1.77e-06,1.83e-06,1.77e-06,1.78e-06,811097681.7,1456.623445303,0,0,0
2022-02-22T12:00:00+00:00Z,2022-02-22T13:00:00+00:00Z,1.78e-06,1.82e-06,1.75e-06,1.78e-06,2676202141.5,4722.211878594,0,0,0
2022-02-22T13:00:00+00:00Z,2022-02-22T14:00:00+00:00Z,1.78e-06,1.82e-06,1.78e-06,1.8e-06,432056517.9,776.136409526,0,0,0
2022-02-22T14:00:00+00:00Z,2022-02-22T15:00:00+00:00Z,1.8e-06,1.84e-06,1.77e-06,1.82e-06,386543733.3,694.684005954,0,0,0
2022-02-22T15:00:00+00:00Z,2022-02-22T16:00:00+00:00Z,1.82e-06,1.85e-06,1.81e-06,1.83e-06,274187884.1,498.345869309,0,0,0
2022-02-22T16:00:00+00:00Z,2022-02-22T17:00:00+00:00Z,1.83e-06,1.83e-06,1.75e-06,1.78e-06,455223071.4,810.151932581,0,0,0
2022-02-22T17:00:00+00:00Z,2022-02-22T18:00:00+00:00Z,1.78e-06,1.8e-06,1.77e-06,1.79e-06,397314511.4,710.762480774,0,0,0
2022-02-22T18:00:00+00:00Z,2022-02-22T19:00:00+00:00Z,1.79e-06,1.8e-06,1.76e-06,1.79e-06,308386380.0,551.20685859,0,0,0
2022-02-22T19:00:00+00:00Z,2022-02-22T20:00:00+00:00Z,1.79e-06,1.8e-06,1.78e-06,1.8e-06,333118954.8,596.204059456,0,0,0
2022-02-22T20:00:00+00:00Z,2022-02-22T21:00:00+00:00Z,1.8e-06,1.8e-06,1.77e-06,1.78e-06,297283482.9,531.236776197,0,0,0
2022-02-22T21:00:00+00:00Z,2022-02-22T22:00:00+00:00Z,1.78e-06,1.81e-06,1.78e-06,1.78e-06,293749949.7,526.056864127,0,0,0
2022-02-22T22:00:00+00:00Z,2022-02-22T23:00:00+00:00Z,1.78e-06,1.81e-06,1.78e-06,1.81e-06,274347029.6,492.369636974,0,0,0
2022-02-22T23:00:00+00:00Z,2022-02-23T00:00:00+00:00Z,1.81e-06,1.83e-06,1.78e-06,1.8e-06,841332695.9,1502.848362102,0,0,0
2022-02-23T00:00:00+00:00Z,2022-02-23T01:00:00+00:00Z,1.8e-06,1.83e-06,1.79e-06,1.83e-06,275173031.2,501.512431864,0,0,0
2022-02-23T01:00:00+00:00Z,2022-02-23T02:00:00+00:00Z,1.83e-06,1.83e-06,1.81e-06,1.82e-06,236627589.5,430.565063729,0,0,0
